subject,z_pe_T2W10,z_l1_T2W10,z_l2_T2W10,z_l3_T2W10,z_lsc_T2W10,z_density_T2W10,z_diameter_T2W10,z_asp_T2W10
CSO-13-6A-ANASA,-0.0844011286815162,-0.1762272173439291,-0.1477890506819361,0.1561935891175074,0.1694583857839392,0.2181291642229451,-0.127118468426973,-0.138619659115373
CSO-13-6B-JETAVE,0.3746954261759049,-0.2168862378913567,0.2375333949315513,0.0123645868922749,-0.0607827580128617,-0.132703147131554,0.212428088493093,0.197805960113386
CSO-13-6B-LFMIES,0.0833130089928928,-0.208323579737879,0.0833130089928928,0.1461154690034889,0.1026365721438172,0.1218330245140972,-0.153117258166335,-0.2253565693754699
CSO-13-6B-LJMAHU,0.5456081290510146,-0.1235513891902855,0.5453996544177485,-0.3502235553449079,-0.1205736469737018,-0.321865959498286,0.1179326809080348,0.1071269288775694
CSO-13-7A-CAPAMU,0.1626803471474732,-0.2370666873448684,0.0898414191529967,0.0696957365950802,0.0406092526767239,0.0022639364017912,-0.0295082246695559,-0.0046412147595582
CSO-13-7A-CDDITR,0.1180290202220161,-0.4152837437828225,0.117404448889034,0.3461996170047912,0.1816901707274393,0.2444719721549222,-0.2205254098624374,-0.2133751812960757
CSO-13-7A-JJATFL,-0.0102528678658461,-0.2411637725482058,-0.0105969745441001,0.4941103331172511,0.0671505386673857,-0.0419771603033148,0.055434593788116,0.1226244896450378
CSO-13-7A-KRAMA,0.198367669001553,0.1886242778237334,0.1958169638369764,0.1594894247233386,-0.1951484450799211,-0.2768974644352753,0.2190834137703577,0.2910217204382799
CSO-13-7A-RXCHLU,0.2337416731184837,-0.412271967519995,0.2331462763988107,-0.2274611850817231,0.3031903234954388,-0.0053241144968915,-0.1350477535072021,-0.1471058338976584
CSO-13-7A-YAMEZA,-0.0049525237950005,-0.2320773338259479,-0.0035754157722954,0.0516005232463503,0.0369477594754582,0.0522431062081829,0.0171009700642457,-0.0102777455155261
CSO-13-8A-KIGAGU,0.1551492340384481,0.4755010454967924,0.0601754176178909,0.074321157837956,-0.6449155480069921,-0.5824430656182528,0.7007097184729455,0.6943362385254207
CSO-13-8A-MBUAN,-0.2180482302691555,-0.2510710126937558,-0.2180482302691555,0.4573549810963073,0.1398138902996027,0.3979307327501675,-0.0347997214107081,-0.075387465085917
CSO-13-8A-MGAAN,-0.0773384841420506,0.0559345685879548,-0.078534712440986,0.0227377546152065,-0.058665601098065,-0.0810155315921161,0.0777978594645627,0.0746376393333923
CSO-13-8A-MGAHE,0.2938307391235115,-0.2744254914025056,0.2304732009291429,-0.1483475175289225,0.2415071733840671,-0.0147855547289536,-0.1439193522307708,-0.1086127066388684
