subject,diameter_T2W10,asp_T2W10
CSO-16-10B-VVILI,7.640287769784172,3.2466598150051387
CSO-16-10C-ACALGU,6.809523809523809,2.984282354917276
CSO-16-10C-MAVAVE,7.654411764705882,3.2543183940242764
CSO-16-11A-JAVABO,6.941176470588236,3.0541083099906627
CSO-16-11A-JDMUVA,7.734939759036145,3.2685264868999813
CSO-16-11A-VZAOR,7.570422535211268,3.228694388553543
CSO-16-11B-KRORE,7.404411764705882,3.16530112044818
CSO-16-11B-LLOZA,7.224137931034483,3.104565772669221
CSO-16-11B-YAROMO,7.428015564202335,3.1778055709962323
CSO-16-9A-JALEMO,7.626728110599078,3.243050983834394
CSO-16-9A-JPROSO,7.288617886178862,3.1301458252677765
CSO-16-9A-JSMAGU,7.013888888888889,3.034617504409171
CSO-16-9B-SJPAJI,6.0227272727272725,2.7058982683982684
CSO-17-10A-YVGOCA,7.846153846153846,3.307030932030932
CSO-17-10B-EHECO,7.495049504950495,3.2055241238409558
CSO-17-10B-YCQUVE,7.189944134078212,3.0971889686973486
CSO-17-11A-DJAPA,6.078125,2.713169642857143
CSO-17-11A-JDAMO,6.4603174603174605,2.881204333585286
CSO-17-11A-NPAHE,6.716129032258064,2.950332821300563
CSO-17-11A-RLPAIG,6.669642857142857,2.9538690476190474
CSO-17-11A-SPUVA,6.904761904761905,2.976039304610733
CSO-17-11B-CDBEBU,6.2967032967032965,2.8156985871271583
CSO-17-11C-JDAAG,7.54,3.2173544973544974
CSO-17-11C-MAPAMA,7.467065868263473,3.1954662104362703
CSO-17-11C-MCAAG,7.596330275229357,3.2241153342070774
CSO-17-11C-SARJA,7.325757575757576,3.1591810966810967
CSO-18-11A-ADBAHO,7.541666666666667,3.199041005291005
CSO-18-11B-YLLRE,7.547619047619047,3.215561224489796
CSO-18-9B-MAMOLO,6.615598885793872,2.896332404828226
CSO-8-3A-AIPRBR,5.25,2.4166666666666665
CSO-8-3A-DAPAVA,6.956709956709957,3.020638356352642
CSO-8-3A-KVPECO,5.790697674418604,2.6272425249169435
CSO-8-4A-ARAGR,6.382716049382716,2.820987654320988
CSO-8-4A-JRAAR,5.851851851851852,2.633656672545561
CSO-9-2A-EXMOCO,7.503597122302159,3.191903619961174
CSO-9-4A-AGAPE,7.621951219512195,3.228779519938056
CSO-9-4A-DKVIMO,7.6075949367088604,3.2317058468957205
CSO-9-4A-DSMOMU,6.886524822695035,3.027637059551953
CSO-9-4A-DVGATO,6.714285714285714,2.9537414965986395
CSO-9-4A-FAGIGA,7.196261682242991,3.09411808337042
CSO-9-4A-GSBRCO,7.232876712328767,3.123929115025005
CSO-9-4A-KEMOCO,6.372549019607843,2.8285869903516963
CSO-9-4A-LCOMO,6.104477611940299,2.7503672115612416
CSO-9-4A-MLORO,6.096774193548387,2.7422043010752684
CSO-9-4A-MPAME,6.666666666666667,2.9341581076875194
CSO-9-4A-NSARPA,7.357142857142857,3.1494671201814057
CSO-9-4A-SLOCA,6.15,2.7548809523809523
CSO-9-4A-YVDITR,6.821428571428571,2.9637188208616783
