subject,diameter_T2W10,asp_T2W10,y_true,y_pred
CDMS-8-4A-DOSTR,0.0,0.0,9,8.0
CDMS-8-4A-LGOPA,0.0,0.0,8,8.0
CDMS-8-4C-JDBUTU,0.0,0.0,6,8.0
CDMS-9-4A-ACDUTR,0.0,0.0,7,8.0
CDMS-9-4A-CARGA,0.0,0.0,8,8.0
CDMS-9-4A-CRAAG,0.0,0.0,4,8.0
CDMS-9-4A-EROHI,0.0,0.0,5,8.0
CDMS-9-4A-ILOSE,0.0,0.0,7,8.0
CDMS-9-4A-TGAFR,0.0,0.0,6,8.0
CDMS-9-4C-SCAMO,0.0,0.0,2,8.0
CDMS-9-5A-ABERO,0.0,0.0,8,8.0
CDMS-9-5A-VVAAR,0.0,0.0,11,8.0
CDMS-9-5C-JDMADE,0.0,0.0,12,8.0
CDMS-9-5C-LVIZAC,0.0,0.0,8,8.0
CDMS-9-5C-MLOGO,0.0,0.0,5,8.0
CDMS-9-5C-SCAAG,0.0,0.0,9,8.0
CDMS-XX-10A-VGILO,0.0,0.0,8,8.0
CDMS-XX-5C-MPCAQU,0.0,0.0,5,8.0
CDMS-XX-6B-SPUCA,0.0,0.0,10,8.0
CSO-10-4A-KCOMO,0.0,0.0,7,8.0
CSO-10-4A-LRAVI,0.0,0.0,3,8.0
CSO-10-4A-LSCAVA,0.0,0.0,8,8.0
CSO-10-5A-ACAVA,0.0,0.0,6,8.0
CSO-10-5A-ARACA,0.0,0.0,7,8.0
CSO-10-5A-DABRZA,0.0,0.0,6,8.0
CSO-10-5A-GZAMA,0.0,0.0,6,8.0
CSO-10-5A-IPECA,0.0,0.0,7,8.0
CSO-10-5A-JANORO,0.0,0.0,7,8.0
CSO-10-5A-JBUVE,0.0,0.0,9,8.0
CSO-10-5A-JJSEMO,0.0,0.0,10,8.0
CSO-10-5A-JLCARI,0.0,0.0,9,8.0
CSO-10-5A-MAARAN,0.0,0.0,9,8.0
CSO-10-5A-RVMOIB,0.0,0.0,4,8.0
CSO-10-5A-SVHEES,0.0,0.0,6,8.0
CSO-11-5A-MDVOSPE,0.0,0.0,7,8.0
CSO-11-5A-MTAGA,0.0,0.0,6,8.0
CSO-11-6A-CAPAMU,0.0,0.0,9,8.0
CSO-11-6A-DSCACH,0.0,0.0,7,8.0
CSO-11-6A-EROMO,0.0,0.0,7,8.0
CSO-11-6A-FSOVRE,0.0,0.0,7,8.0
CSO-11-6B-ANREVA,0.0,0.0,11,8.0
CSO-11-6B-DISEMO,0.0,0.0,8,8.0
CSO-11-6B-LHFDLACH,0.0,0.0,6,8.0
CSO-11-6B-RJGIHE,0.0,0.0,8,8.0
CSO-11-6B-SFLVA,0.0,0.0,8,8.0
CSO-11-6B-VCOMA,0.0,0.0,9,8.0
CSO-12-6A-DGISE,0.0,0.0,5,8.0
CSO-12-6A-FJOVRE,0.0,0.0,7,8.0
CSO-12-6B-GQULO,0.0,0.0,7,8.0
CSO-12-6B-LJHEFE,0.0,0.0,6,8.0
CSO-12-6B-VPAMA,0.0,0.0,9,8.0
CSO-12-7A-DALRE,0.0,0.0,11,8.0
CSO-12-7A-ESALA,0.0,0.0,7,8.0
CSO-12-7A-IMERO,0.0,0.0,10,8.0
CSO-12-7A-JHEZA,0.0,0.0,10,8.0
CSO-12-7A-LSARAR,0.0,0.0,8,8.0
CSO-12-7A-SCAHO,0.0,0.0,8,8.0
CSO-12-7B-DVAGRO,0.0,0.0,12,8.0
CSO-12-7B-SMUGU,0.0,0.0,7,8.0
CSO-12-7B-SSARA,0.0,0.0,8,8.0
CSO-12-7B-VHOMA,0.0,0.0,9,8.0
CSO-12-8A-YTOME,0.0,0.0,10,8.0
CSO-13-6A-ANASA,0.0,0.0,10,8.0
CSO-13-6B-JETAVE,0.0,0.0,5,8.0
CSO-13-6B-LFMIES,0.0,0.0,14,8.0
CSO-13-6B-LJMAHU,0.0,0.0,10,8.0
CSO-13-7A-CAPAMU,0.0,0.0,3,8.0
CSO-13-7A-CDDITR,0.0,0.0,13,8.0
CSO-13-7A-JJATFL,0.0,0.0,6,8.0
CSO-13-7A-KRAMA,0.0,0.0,9,8.0
CSO-13-7A-RXCHLU,0.0,0.0,8,8.0
CSO-13-7A-YAMEZA,0.0,0.0,7,8.0
CSO-13-8A-KIGAGU,0.0,0.0,7,8.0
CSO-13-8A-MBUAN,0.0,0.0,7,8.0
CSO-13-8A-MGAAN,0.0,0.0,10,8.0
CSO-13-8A-MGAHE,0.0,0.0,9,8.0
CSO-13-8A-MJAGA,0.0,0.0,6,8.0
CSO-13-8A-VHODU,0.0,0.0,8,8.0
CSO-13-8B-FCJISA,0.0,0.0,3,8.0
CSO-13-8B-JEMABE,0.0,0.0,5,8.0
CSO-13-9B-DMLLLU,0.0,0.0,7,8.0
CSO-14-7A-MVEBE,0.0,0.0,10,8.0
CSO-14-7B-EALHU,0.0,0.0,5,8.0
CSO-14-7B-EVEGO,0.0,0.0,8,8.0
CSO-14-8A-AQUMA,0.0,0.0,8,8.0
CSO-14-8A-MCIDOS,0.0,0.0,6,8.0
CSO-14-8A-SZARA,0.0,0.0,11,8.0
CSO-14-8B-JLLORA,0.0,0.0,11,8.0
CSO-14-9A-AEDCAGO,0.0,0.0,4,8.0
CSO-14-9A-HASACA,0.0,0.0,11,8.0
CSO-14-9A-JSMAAL,0.0,0.0,9,8.0
CSO-14-9A-MARJA,0.0,0.0,8,8.0
CSO-14-9A-SORZU,0.0,0.0,10,8.0
CSO-14-9B-ERAGA,0.0,0.0,6,8.0
CSO-14-9B-MFEGA,0.0,0.0,9,8.0
CSO-15-10A-LJRAGU,0.0,0.0,7,8.0
CSO-15-10A-MAARLO,0.0,0.0,10,8.0
CSO-15-10A-SFEGA,0.0,0.0,9,8.0
CSO-15-10B-MEBUAR,0.0,0.0,8,8.0
CSO-15-10B-YVBUAN,0.0,0.0,9,8.0
CSO-15-10C-ALBAHO,0.0,0.0,7,8.0
CSO-15-10C-SSCAMO,0.0,0.0,9,8.0
CSO-15-11C-JETALO,0.0,0.0,8,8.0
CSO-15-7B-JCRAGA,0.0,0.0,12,8.0
CSO-15-8A-VBMABR,0.0,0.0,11,8.0
CSO-15-8B-KEPOGO,0.0,0.0,5,8.0
CSO-15-9B-ALRIHE,0.0,0.0,7,8.0
CSO-15-9B-AMSAGO,0.0,0.0,11,8.0
CSO-15-9B-JCAPA,0.0,0.0,9,8.0
CSO-15-9B-KSBEJA,0.0,0.0,11,8.0
CSO-15-9B-RMCHLU,0.0,0.0,7,8.0
CSO-16-10A-JEGAHE,0.0,0.0,5,8.0
CSO-16-10A-MSACO,0.0,0.0,9,8.0
CSO-16-10A-SMOUT,0.0,0.0,8,8.0
CSO-16-10A-YKMUJO,0.0,0.0,7,8.0
CSO-16-10B-JESUGU,0.0,0.0,6,8.0
CSO-16-10B-LTVIFA,0.0,0.0,7,8.0
CSO-16-10B-VVILI,0.0,0.0,11,8.0
CSO-16-10C-ACALGU,0.0,0.0,12,8.0
CSO-16-10C-MAVAVE,0.0,0.0,9,8.0
CSO-16-11A-JAVABO,0.0,0.0,7,8.0
CSO-16-11A-JDMUVA,0.0,0.0,15,8.0
CSO-16-11A-VZAOR,0.0,0.0,9,8.0
CSO-16-11B-KRORE,0.0,0.0,10,8.0
CSO-16-11B-LLOZA,0.0,0.0,9,8.0
CSO-16-11B-YAROMO,0.0,0.0,11,8.0
CSO-16-9A-JALEMO,0.0,0.0,13,8.0
CSO-16-9A-JPROSO,0.0,0.0,8,8.0
CSO-16-9A-JSMAGU,0.0,0.0,12,8.0
CSO-16-9B-SJPAJI,0.0,0.0,10,8.0
CSO-17-10A-YVGOCA,0.0,0.0,12,8.0
CSO-17-10B-EHECO,0.0,0.0,8,8.0
CSO-17-10B-YCQUVE,0.0,0.0,8,8.0
CSO-17-11A-DJAPA,0.0,0.0,9,8.0
CSO-17-11A-JDAMO,0.0,0.0,8,8.0
CSO-17-11A-NPAHE,0.0,0.0,11,8.0
CSO-17-11A-RLPAIG,0.0,0.0,6,8.0
CSO-17-11A-SPUVA,0.0,0.0,9,8.0
CSO-17-11B-CDBEBU,0.0,0.0,7,8.0
CSO-17-11C-JDAAG,0.0,0.0,7,8.0
CSO-17-11C-MAPAMA,0.0,0.0,8,8.0
CSO-17-11C-MCAAG,0.0,0.0,7,8.0
CSO-17-11C-SARJA,0.0,0.0,10,8.0
CSO-18-11A-ADBAHO,0.0,0.0,8,8.0
CSO-18-11B-YLLRE,0.0,0.0,7,8.0
CSO-18-9B-MAMOLO,0.0,0.0,8,8.0
CSO-8-3A-AIPRBR,0.0,0.0,8,8.0
CSO-8-3A-DAPAVA,0.0,0.0,5,8.0
CSO-8-3A-KVPECO,0.0,0.0,8,8.0
CSO-8-4A-ARAGR,0.0,0.0,9,8.0
CSO-8-4A-JRAAR,0.0,0.0,4,8.0
CSO-9-2A-EXMOCO,0.0,0.0,2,8.0
CSO-9-4A-AGAPE,0.0,0.0,9,8.0
CSO-9-4A-DKVIMO,0.0,0.0,7,8.0
CSO-9-4A-DSMOMU,0.0,0.0,12,8.0
CSO-9-4A-DVGATO,0.0,0.0,7,8.0
CSO-9-4A-FAGIGA,0.0,0.0,9,8.0
CSO-9-4A-GSBRCO,0.0,0.0,9,8.0
CSO-9-4A-KEMOCO,0.0,0.0,6,8.0
CSO-9-4A-LCOMO,0.0,0.0,10,8.0
CSO-9-4A-MLORO,0.0,0.0,5,8.0
CSO-9-4A-MPAME,0.0,0.0,11,8.0
CSO-9-4A-NSARPA,0.0,0.0,8,8.0
CSO-9-4A-SLOCA,0.0,0.0,6,8.0
CSO-9-4A-YVDITR,0.0,0.0,9,8.0
