feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
lsc,raw,7,T7W40,248,0.05228418693761456,0.4123453241165881,0.0493558823597376,0.43998139439829,0.1135549304513486,0.07425994383603399,0.07109926469152017,0.26564235877255793,0.05228418693761456,0.0493558823597376,0.1135549304513486,0.07109926469152017
atd,raw,7,T7W40,248,0.01444746370053476,0.8209048979651873,0.022177561489713775,0.7287247662314819,-0.07104756555690643,0.26501553580940385,0.0016807661211709912,0.9790329395778408,0.01444746370053476,0.022177561489713775,0.07104756555690643,0.0016807661211709912
density,raw,7,T7W40,248,0.05478216484714952,0.39034206243784575,0.06434920196511136,0.3138187847332273,-0.07321344370943371,0.2506863699799049,-0.004160802147371713,0.9481256591102479,0.05478216484714952,0.06434920196511136,0.07321344370943371,0.004160802147371713
diameter,raw,7,T7W40,248,-0.0974840368122421,0.12575130261745762,-0.10481692568938747,0.10027924823278535,0.027933883537936223,0.6615557263870048,-0.023423634606481065,0.7141306216516345,0.0974840368122421,0.10481692568938747,0.027933883537936223,0.023423634606481065
asp,raw,7,T7W40,248,-0.09454989734142957,0.13760235536848994,-0.10368702395862395,0.10401601780872367,0.0460164580486903,0.4706701536501729,-0.013573420711227217,0.8319114255816289,0.09454989734142957,0.10368702395862395,0.0460164580486903,0.013573420711227217
cc,raw,7,T7W40,248,0.1452539878791953,0.022134394772050623,0.1508008683362392,0.017712321283908143,-0.023226081965929863,0.7158834360042854,0.014379263947224507,0.8220935071647754,0.1452539878791953,0.1508008683362392,0.023226081965929863,0.014379263947224507
nodes,raw,7,T7W50,243,0.00016134898784040828,0.998003525046764,-0.007496295753756839,0.9076423678458423,0.07302372348942333,0.2568061738521922,0.0035569001975564404,0.9561017641180393,0.00016134898784040828,0.007496295753756839,0.07302372348942333,0.0035569001975564404
edges,raw,7,T7W50,243,0.13596533612503064,0.034140490611427314,0.13836276713754644,0.03142613847471589,0.14187280031869046,0.027010080261202482,0.1643517478938893,0.010439739383990699,0.13596533612503064,0.13836276713754644,0.14187280031869046,0.1643517478938893
re,raw,7,T7W50,243,-0.08987058047684889,0.16254965412217595,-0.08708156794633204,0.1769442563349481,-0.093935559332975,0.1442927573036525,-0.047997592299049575,0.45734253738324404,0.08987058047684889,0.08708156794633204,0.093935559332975,0.047997592299049575
pe,raw,7,T7W50,243,-0.04003223497786556,0.5345521842276584,-0.03739812453338837,0.5626103250081651,-0.020226104367222917,0.7537488048987311,0.008642847802053858,0.8935943186964348,0.04003223497786556,0.03739812453338837,0.020226104367222917,0.008642847802053858
l1,raw,7,T7W50,243,-0.03148561319456446,0.6252647692941818,-0.030785438846767182,0.6336880004826202,0.07743991004480555,0.229072593763828,0.08647922466842892,0.17996952659136828,0.03148561319456446,0.030785438846767182,0.07743991004480555,0.08647922466842892
l2,raw,7,T7W50,243,-0.023008065775509328,0.7211979957675128,-0.02038954856917975,0.7523232331976377,-0.023455506773919842,0.7160074233898704,0.0033884957181545073,0.9581782240385206,0.023008065775509328,0.02038954856917975,0.023455506773919842,0.0033884957181545073
l3,raw,7,T7W50,243,0.03835510499268389,0.5518214023883936,0.04155222545180358,0.5200086689612323,-0.07481494351814859,0.24529025977122107,-0.04895254791112009,0.4484302325743087,0.03835510499268389,0.04155222545180358,0.07481494351814859,0.04895254791112009
lcc,raw,7,T7W50,243,0.001227382378319059,0.9848137028126774,-0.00642977999589468,0.9207356934533465,0.07629110068466333,0.23607437567040915,0.006557718763032904,0.9191638256708213,0.001227382378319059,0.00642977999589468,0.07629110068466333,0.006557718763032904
lsc,raw,7,T7W50,243,0.029191216326008924,0.6506954919347505,0.023766259995929327,0.7129821299243114,0.11134487323340403,0.08324950504092324,0.052958559364922594,0.4121294450096097,0.029191216326008924,0.023766259995929327,0.11134487323340403,0.052958559364922594
atd,raw,7,T7W50,243,0.002051286793096927,0.9746223345533859,0.009775259752768842,0.879751987320985,-0.061542203647705594,0.33942235500022094,0.008348761412522264,0.8971946083969494,0.002051286793096927,0.009775259752768842,0.061542203647705594,0.008348761412522264
density,raw,7,T7W50,243,0.037766529524895946,0.5579458042157179,0.046764656049578676,0.4689939335451767,-0.05943274589015171,0.35626601552219755,0.006302117317802824,0.9223044759764502,0.037766529524895946,0.046764656049578676,0.05943274589015171,0.006302117317802824
diameter,raw,7,T7W50,243,-0.09561132969911046,0.1372381848770274,-0.10271093158201468,0.11099157065368827,-0.0016036695981072472,0.9801587751332752,-0.049506747724017995,0.44330333003690187,0.09561132969911046,0.10271093158201468,0.0016036695981072472,0.049506747724017995
asp,raw,7,T7W50,243,-0.09143356614421186,0.1553350516606313,-0.10053208477408308,0.11881448801250924,0.021372850070420592,0.7402746007212759,-0.035754964470947566,0.5799115859778343,0.09143356614421186,0.10053208477408308,0.021372850070420592,0.035754964470947566
cc,raw,7,T7W50,243,0.13587259338835136,0.03426409846060806,0.14157166721113243,0.02766261742588417,-0.020141005783203103,0.7547517426925384,0.01614365963612703,0.8027014914789841,0.13587259338835136,0.14157166721113243,0.020141005783203103,0.01614365963612703
