subject,z_pe_T2W10,z_l3_T2W10
CSO-13-6A-ANASA,-0.3972028960238847,0.48418454856985477
CSO-13-6B-JETAVE,1.2662274577553516,-0.07143553899069233
CSO-13-6B-LFMIES,0.21047055395912187,0.4452521643249316
CSO-13-6B-LJMAHU,1.8854901701431697,-1.4721353437682887
CSO-13-7A-CAPAMU,0.49803977657285126,0.15003814103898938
CSO-13-7A-CDDITR,0.33625600416490453,1.2181892640196823
CSO-13-7A-JJATFL,-0.12854379497915935,1.7895772578601254
CSO-13-7A-KRAMA,0.6273445465369857,0.496916559774587
CSO-13-7A-RXCHLU,0.7555140820306434,-0.9978969227302483
CSO-13-7A-YAMEZA,-0.1093392221727776,0.08013524336398717
CSO-13-8A-KIGAGU,0.47075252727692124,0.1679064215402095
CSO-13-8A-MBUAN,-0.8814423073706737,1.647589122002691
CSO-13-8A-MGAAN,-0.37161303441285864,-0.03136336808409074
CSO-13-8A-MGAHE,0.9732329371722364,-0.6922760659291469
CSO-13-8A-MJAGA,0.7151665118068252,0.5149971681270631
CSO-13-8A-VHODU,0.6014190921972979,0.47085063192762266
CSO-13-8B-FCJISA,0.16418475082563896,0.11117222473905311
CSO-13-8B-JEMABE,0.6946760318097972,0.9295044671181188
CSO-13-9B-DMLLLU,-0.84959910047894,-0.9137220676292395
CSO-14-7A-MVEBE,-0.3543469394698086,-0.40012681481436413
CSO-14-7B-EALHU,2.03490092905085,-0.9433142483381327
CSO-14-7B-EVEGO,0.028076622709722915,-0.03018020882837663
CSO-14-8A-AQUMA,-0.811830126484157,-0.10315072937444279
CSO-14-8A-MCIDOS,3.290058341195586,-2.1667115407681092
CSO-14-8A-SZARA,0.96336526002153,0.3840037682909443
CSO-14-8B-JLLORA,-1.8511750788776533,-0.3033942056002454
CSO-14-9A-AEDCAGO,-0.2054836495098901,-0.9928732676456475
CSO-14-9A-HASACA,-0.7034709705336771,-0.5861185398417886
CSO-14-9A-JSMAAL,-0.29421884872652193,-0.1650487295839917
CSO-14-9A-MARJA,-0.9823820139230267,0.7537606008792694
CSO-14-9A-SORZU,-1.1196478852106528,-0.5236009460614108
CSO-14-9B-ERAGA,-1.5557862324957688,0.4481803514421616
CSO-14-9B-MFEGA,1.5909281776801152,-1.0683194168483428
CSO-15-10A-LJRAGU,1.2034060449033446,0.013074965717877071
CSO-15-10A-MAARLO,-0.2585648416791853,1.332474983789002
CSO-15-10A-SFEGA,-1.008092828457117,-0.9605337307903162
CSO-15-10B-MEBUAR,-0.12103351452098653,1.480707221754594
CSO-15-10B-YVBUAN,-0.7338951501394735,-0.3409142984904387
CSO-15-10C-ALBAHO,-0.09139489581864878,-0.11920068194132971
CSO-15-10C-SSCAMO,-1.4967546325494474,1.6856715279208927
CSO-15-11C-JETALO,-0.2436995994013334,0.9339987607151381
CSO-15-7B-JCRAGA,-1.238208630789731,-1.2521320402502305
CSO-15-8A-VBMABR,-0.4107544547269423,-0.8183994259885852
CSO-15-8B-KEPOGO,-0.03662947207253526,0.12632643133022645
CSO-15-9B-ALRIHE,-0.46514915455980005,-0.1409754788091039
CSO-15-9B-AMSAGO,0.31021872091923436,-0.79382330914418
CSO-15-9B-JCAPA,0.031570974489825245,0.8887026036702721
CSO-15-9B-KSBEJA,-0.8705594396999815,0.43254775175667687
CSO-15-9B-RMCHLU,0.410908397028741,-0.018864916178940167
CSO-16-10A-JEGAHE,-2.888207431033411,2.242717453484768
CSO-16-10A-MSACO,-1.7210105346994287,2.543824804581554
CSO-16-10A-SMOUT,-1.1436382790765556,-1.2392914782695332
CSO-16-10A-YKMUJO,2.271747829844205,-1.449878191047644
CSO-16-10B-JESUGU,-1.4166226302306424,-0.2399954334460668
CSO-16-10B-LTVIFA,0.5307830386053303,1.7620122497814736
CSO-16-10B-VVILI,0.40660517461026613,-0.9952840198297133
CSO-16-10C-ACALGU,-0.21478712285073348,0.6623214676038287
CSO-16-10C-MAVAVE,-0.2590128360306547,0.24236892195691057
CSO-16-11A-JAVABO,0.49112406100886685,0.31895956954834026
CSO-16-11A-JDMUVA,0.42410187116457876,-0.983030859264646
CSO-16-11A-VZAOR,-0.14990560357581767,0.9067102259293921
CSO-16-11B-KRORE,-0.7393621756662322,0.8190612178756013
CSO-16-11B-LLOZA,1.0556580881521216,0.5153622224318962
CSO-16-11B-YAROMO,0.13625181726472146,0.034406828421470526
CSO-16-9A-JALEMO,0.2405167702076667,-0.0805156602573621
CSO-16-9A-JPROSO,0.12797272701702408,0.03360204814538509
