subject,lsc_T2W20,atd_T2W20,density_T2W20,diameter_T2W20,asp_T2W20
CDMS-12-6A-JGIGA,11.016,2.2448919342095817,0.135704014939309,9.168,3.862544827377645
CDMS-12-6A-JSOTGU,14.166666666666666,2.232734204793028,0.1421957671957672,7.5,3.3583955804544043
CDMS-12-6A-SROAL,10.64406779661017,2.432713641736573,0.1533881870870903,8.084745762711865,3.4653732331698435
CDMS-12-6B-IJDAGA,9.409302325581397,2.371089128989266,0.1400602437138544,9.772093023255811,4.079048143319149
CDMS-12-6B-SCLAG,9.67605633802817,2.763804505353801,0.1815793361568009,6.901408450704225,3.1303675198041394
CDMS-12-7C-ARAHE,7.944444444444445,2.252995642701525,0.1343448490507314,8.944444444444445,3.808335926963378
CDMS-12-7C-CATRAR,10.395833333333334,2.24958809912854,0.1408326525054466,8.458333333333334,3.612464985994398
CDMS-12-7C-DLOLO,10.157894736842104,2.2794404311432173,0.1386455856107151,9.75438596491228,4.045980325506153
CDMS-12-7C-JSZAOR,9.011627906976743,2.4228357294020766,0.1471729896490498,9.36046511627907,3.91232155127774
CDMS-12-7C-MAROBE,9.70754716981132,2.180703539277346,0.1285014005602241,10.61320754716981,4.423140838592968
CDMS-12-7C-VMAPA,12.76923076923077,2.1142131724484665,0.1243690296631473,9.476923076923075,4.032563837950836
CDMS-12-7C-VQURA,11.419354838709678,2.313765586879913,0.1413193648013382,8.39516129032258,3.672948910311589
CDMS-13-6B-ASUMO,10.181818181818182,2.487445887445887,0.1736929736929737,7.181818181818182,3.2215784215784216
CDMS-13-6B-JDTAHE,7.878787878787879,2.2952001339256243,0.1383563117309247,9.606060606060606,4.024524458838184
CDMS-13-7C-MVEAR,9.31958762886598,2.3919311367158547,0.1427603290853745,9.24742268041237,3.863795888432032
CDMS-13-7C-RAIZAC,8.161290322580646,2.3312187654218013,0.1431173934794228,10.56989247311828,4.311541932809285
CDMS-13-7C-SSOSLO,6.906779661016949,2.342431329333124,0.1446942444948427,10.779661016949152,4.37525776167417
CDMS-14-10A-IMORTO,11.366666666666667,2.2112200435729847,0.1328232959850606,9.283333333333331,3.897675315740331
CDMS-14-10A-JCVANI,9.844748858447488,2.3548179042135526,0.1460486442557353,8.867579908675799,3.8134731729010536
CDMS-14-6B-KDCAHE,8.910714285714286,2.496041589712808,0.1678074464051354,6.375,2.947131052304372
CDMS-15-10A-AMALOS,8.343558282208589,2.2170485985805364,0.1300434790211424,11.030674846625766,4.518875627960796
CDMS-15-10A-JJMACH,9.5,2.1585140621905325,0.1243323636383492,11.16161616161616,4.565563300457521
CDMS-15-10A-MAALCA,9.8348623853211,2.282699275899492,0.1347798055199992,9.724770642201834,4.074051266930524
CDMS-15-10A-MAALRI,8.476470588235294,2.28387967856826,0.1357620171770599,10.388235294117647,4.271648901140342
CDMS-15-10A-SGOMO,10.895104895104897,2.312743792155557,0.1397527434857751,8.622377622377622,3.751752773436508
CDMS-15-10A-SHEGA,10.419354838709678,2.460747851663412,0.15530181610652,8.370967741935484,3.630813894096627
CDMS-15-11B-JEMOLO,9.066666666666666,2.435436328377505,0.149671167612344,9.077777777777778,3.761814862697215
CDMS-15-11B-VSAHO,8.507352941176471,2.245173902894491,0.1316866424667827,10.845588235294118,4.374004316142588
CDMS-16-10A-SGALO,9.975609756097562,2.1073609118444123,0.1242228598756575,11.170731707317072,4.5418084606542655
CDMS-16-11B-NGABE,9.93918918918919,2.2660504881093115,0.1353111507329773,9.83108108108108,4.124014834076754
CDMS-17-10A-ASSAMO,9.467532467532468,2.218765233366074,0.1346727618786442,10.545454545454543,4.330530136235576
CDMS-18-7C-VVECA,9.470238095238097,2.357973948126259,0.1463480742049406,10.19047619047619,4.189491094305059
CDMS-8-4A-DJAVDA,11.5,2.62627442002442,0.1726960539460539,6.055555555555555,2.8148328523328523
CDMS-8-4A-DOSTR,9.26851851851852,2.5787970743853097,0.1623341659805368,7.861111111111111,3.460555003625609
