subject,nodes_T2W30,edges_T2W30,re_T2W30,l1_T2W30,l3_T2W30,lsc_T2W30,atd_T2W30
CSO-11-6B-DISEMO,23.0,26.384615384615383,0.7692307692307693,0.5384615384615384,0.0,10.153846153846152,2.2958346001824266
CSO-11-6B-LHFDLACH,23.42361111111111,29.0,1.6111111111111112,0.4027777777777778,0.8194444444444444,15.0,2.49008799618703
CSO-11-6B-RJGIHE,22.551020408163264,29.0,0.4285714285714285,2.4081632653061225,0.8367346938775511,17.897959183673468,2.574651317330998
CSO-11-6B-SFLVA,24.266666666666666,29.0,1.2222222222222223,0.0,0.2666666666666666,18.42222222222222,2.4005666224989897
CSO-11-6B-VCOMA,23.773255813953487,29.0,1.3604651162790695,0.3372093023255814,0.8023255813953488,18.337209302325583,2.453872946324918
CSO-12-6A-DGISE,22.1,27.5,1.05,1.15,0.75,16.3,2.4975004705439487
CSO-12-6A-FJOVRE,21.0,28.74100719424461,1.856115107913669,2.050359712230216,0.9568345323741008,14.575539568345324,2.749683671229451
CSO-12-6B-GQULO,23.70469798657718,29.0,0.6375838926174496,0.7046979865771812,1.0738255033557047,15.013422818791948,2.483808526427417
CSO-12-6B-LJHEFE,23.402010050251256,28.90954773869347,1.201005025125628,0.8391959798994975,0.9396984924623116,14.100502512562814,2.502405282717816
CSO-12-7A-DALRE,15.823529411764708,29.0,5.676470588235294,0.0,5.294117647058823,14.205882352941176,3.721811968813881
CSO-12-7A-ESALA,25.05952380952381,29.0,0.8095238095238095,0.3452380952380952,0.0833333333333333,19.547619047619047,2.3270134338095
CSO-12-7A-IMERO,22.385185185185183,29.0,1.237037037037037,0.8592592592592593,1.3925925925925926,17.814814814814813,2.611518155834115
CSO-12-7A-JHEZA,22.047120418848166,29.0,2.0157068062827226,0.3036649214659686,3.350785340314136,17.842931937172775,2.6657065657314645
CSO-12-7A-LSARAR,25.36,28.58,0.84,1.12,0.0,14.32,2.26219551933435
CSO-12-7A-SCAHO,23.36904761904762,28.851190476190474,1.3988095238095235,0.2619047619047619,0.8809523809523809,17.625,2.481185284120067
CSO-12-7B-DVAGRO,22.30172413793104,29.0,1.0948275862068966,1.3189655172413792,1.4913793103448276,18.14655172413793,2.632190540809803
