subject,z_re_T6W50,z_l1_T6W50,z_l2_T6W50,z_lsc_T6W50,z_diameter_T6W50,z_asp_T6W50,y_true,y_pred
CDMS-11-6B-JLPENA,0.37251413611862955,-0.03648790603738024,-0.121844804206811,0.41846738630050556,-2.9712090015581625,1.620362136310138,7,13.675414096482138
CDMS-11-6B-JMARME,-0.5294399046243151,0.9557643438319136,-0.5840633458284975,-0.3692488590523684,0.39510889570780205,0.36098564404531963,8,14.622718923635073
CDMS-11-6B-JPSAMA,-0.9250416508045386,-0.1066067826665628,-0.5015095170653411,-0.5787175349314193,0.44603833535660037,-0.8247993366101734,0,11.902975662833782
CDMS-11-6B-LESTA,-1.5609366950828136,0.4483647738052599,0.9466850642581529,0.3081543894267766,-0.8125601575723373,1.447195147592232,21,15.170514671982488
CDMS-11-6B-MAGIMU,-0.46571118183806026,1.5248779102481371,0.5896864074571736,-0.4952207414107074,1.5355005833855058,-2.055684574176786,26,15.02706055322048
CDMS-11-6B-MEBRTA,0.8613800060779994,-0.8780183135041736,-2.469644320331975,0.1961387695816076,-5.864563507644483,7.147196078110997,17,13.386100861845188
CDMS-11-6B-MMAMO,1.2966925553746773,-0.7806380206041809,0.31948927554963236,-0.5656882576593748,3.523408002007778,-4.994081411140911,9,13.192794293082837
CDMS-11-6B-RSECA,0.6738775269645199,1.0573387319270175,-0.24835429295309366,-0.8586070194828183,5.163432074046317,-7.069187857450666,1,13.112111312606492
CDMS-11-6B-SCAPA,0.17153172687094945,1.2941343527720224,2.3189201558556842,-0.8875407652523948,3.3291089546562684,-5.455693241426578,10,15.164073333031169
CDMS-11-6B-VZAPE,-2.2875197756754586,-0.5153482599229917,-0.2394125620241866,0.15476992038027218,-2.3001649496098335,6.523966877236324,21,15.729903399939342
CDMS-11-6B-YLNIME,-0.22317551508788794,1.3566756583369062,0.5796647426717102,-0.9629537017700011,1.4916834243052628,-3.551955532902569,8,13.083551225108637
CDMS-11-7C-ICARE,-2.758264568634468,0.7972088401017312,0.6394650106504531,1.0985408234644098,-6.111095928867062,8.866870003139415,17,16.926336329409697
CDMS-11-7C-IMOIB,2.490378941730479,-0.6743859416363807,-1.3296574234836966,-0.71859693823098,2.633922811653941,-4.235210293887347,7,12.560063305701233
CDMS-11-7C-SALMA,-3.7160656920270716,1.4924411140626292,0.842402160237352,-0.665392223396442,-1.0775414136914663,3.582423321145564,18,14.851879415885783
CDMS-11-7C-SPGAVE,-2.185624330894806,-3.8161901544905374,-1.0781784267884977,2.743751201544063,-11.382127267250187,16.074387758901217,8,14.749630930576473
CDMS-12-5A-SRIGO,-1.094232012049813,-0.2902411267099085,0.13716580375583415,-0.1664434014847292,2.625104990944607,-4.5407354511847045,15,11.064230952826502
CDMS-12-6A-FAROPA,1.5331764050790435,-0.6965991348467598,0.716945108678978,-1.370444939677169,6.725248129142832,-7.49178327069946,23,13.810154447232684
CDMS-12-6A-JGIGA,2.1077620835359183,0.7043370814589198,-0.7101961645071666,-0.6526705537249874,3.4253525333809978,-6.672577790384961,1,12.59561933931394
CDMS-12-6A-JSOTGU,-1.0631324354663212,0.4304508045500253,1.998606759034947,-0.08513918948265382,-1.3723208561857207,1.7500402948830451,21,16.052117526888537
CDMS-12-6A-SROAL,1.3534097176976665,-0.0456223705089761,0.6487135155238856,-0.2746151598350939,4.994339759965628,-5.430204808945431,24,15.639632803452898
CDMS-12-6B-IJDAGA,1.2168242609326414,-4.53900905974444,-0.2523424757717831,0.785080302151857,-8.452142158853025,10.81592589769398,25,13.967948915964445
CDMS-12-6B-SCLAG,-0.9546347162183458,-1.4796493218787434,-0.7176521065248705,1.0552324935287565,-2.322248072022456,3.4180878216820694,31,13.392748248121627
CDMS-12-7C-ARAHE,1.9733254830916092,1.9332756209860982,-0.3725328255360297,-0.7090347545634035,3.3229708808952454,-5.33280335995154,22,15.208813194477198
CDMS-12-7C-CATRAR,-0.874536433602152,1.2322164342712358,-0.16334314844463949,-0.7060258355910871,1.761168981128104,-1.365616183490806,12,14.277475963825871
CDMS-12-7C-DLOLO,-0.7967280292984175,1.1002800622112296,2.8178572937132853,0.34619808333652097,0.13879344448905884,-0.37639010150255603,19,17.623622902504337
