subject,pe_T2W10,l2_T2W10,l3_T2W10,diameter_T2W10
CSO-10-4A-KCOMO,0.0747663551401869,0.0747663551401869,0.0654205607476635,7.4392523364485985
CSO-10-4A-LRAVI,0.1818181818181818,0.1818181818181818,0.0,7.772727272727272
CSO-10-4A-LSCAVA,0.1666666666666666,0.1666666666666666,0.21875,7.276041666666667
CSO-10-5A-ACAVA,0.1739130434782608,0.1739130434782608,0.1521739130434782,6.043478260869565
CSO-10-5A-ARACA,0.3291139240506329,0.2151898734177215,0.5759493670886076,6.291139240506329
CSO-10-5A-DABRZA,0.5454545454545454,0.3957219251336898,0.3582887700534759,6.705882352941177
CSO-10-5A-GZAMA,0.0,0.0,0.1022727272727272,6.965909090909091
CSO-10-5A-IPECA,0.0592592592592592,0.0592592592592592,0.1555555555555555,7.451851851851852
CSO-10-5A-JANORO,0.0941176470588235,0.0941176470588235,0.1941176470588235,7.317647058823529
CSO-10-5A-JBUVE,0.3333333333333333,0.275,0.2583333333333333,7.516666666666667
CSO-10-5A-JJSEMO,0.5192307692307693,0.4230769230769231,0.1346153846153846,6.5
CSO-10-5A-JLCARI,0.5714285714285714,0.4464285714285714,0.1875,6.883928571428571
CSO-10-5A-MAARAN,0.0833333333333333,0.0833333333333333,0.3645833333333333,6.53125
CSO-10-5A-RVMOIB,0.1970443349753694,0.1625615763546798,0.0689655172413793,7.315270935960591
CSO-10-5A-SVHEES,0.2751322751322751,0.2539682539682539,0.037037037037037,6.735449735449736
CSO-11-5A-MDVOSPE,0.2133333333333333,0.1666666666666666,0.4666666666666667,7.04
CSO-11-5A-MTAGA,0.0,0.0,0.1296296296296296,7.064814814814815
CSO-11-6A-CAPAMU,0.2897196261682243,0.2570093457943925,0.2616822429906542,6.574766355140187
CSO-11-6A-DSCACH,0.0987654320987654,0.0987654320987654,0.0432098765432098,7.197530864197531
CSO-11-6A-EROMO,0.1379310344827586,0.1379310344827586,0.0,7.747126436781609
CSO-11-6A-FSOVRE,0.4407894736842105,0.3289473684210526,0.1381578947368421,6.506578947368421
CSO-11-6B-ANREVA,0.1759259259259259,0.1759259259259259,0.0,7.324074074074074
