subject,re_T6W50,pe_T6W50,l3_T6W50,y_true,y_pred
CSO-15-7B-JCRAGA,0.23077186457185048,0.05697831738647453,-0.0023460782194715327,12,8.404451722786474
CSO-15-8A-VBMABR,-0.3278800120528819,0.09891867226783777,0.11767167665715123,11,8.007757955919725
CSO-15-8B-KEPOGO,0.13581969151784548,-0.3208351242179091,0.09395018045976325,5,8.02798236680732
CSO-15-9B-ALRIHE,0.1767558622802893,0.04825715720897177,0.2830603912272823,7,8.627121029764163
CSO-15-9B-AMSAGO,0.20065520904469045,-0.09315980840521765,0.0092301286285709,11,8.235773148315666
CSO-15-9B-JCAPA,0.14716301052555383,-0.07804866679107617,0.022914541110031,9,8.211076503892132
CSO-15-9B-KSBEJA,-0.09391585192382887,0.08375116977176567,0.34953996104086643,11,8.45842289793642
CSO-15-9B-RMCHLU,0.08597005758631479,-0.15360404881077191,-0.09605625155229264,7,7.95535737627087
CSO-15-9B-SJAGRO,-0.5777955980636705,0.04230042747206715,0.22390172181061277,7,7.807454170266628
CSO-16-10A-JEGAHE,-0.00821055587979149,0.05772682523361889,0.068071530908706,5,8.236635419310153
CSO-16-10A-MSACO,0.1890227841583411,0.04716098863638018,0.020029005166611925,9,8.375260397008953
CSO-16-10A-SARI,-0.5681033978390884,0.08240520742681523,0.3571228149792483,7,7.990472243614592
CSO-16-10A-SMOUT,0.12751302505808418,0.06296068029911273,0.11084814699580271,8,8.420369471400619
CSO-16-10A-YKMUJO,0.10260256913420632,0.056588305173410215,0.021081162982645875,7,8.299319656337882
CSO-16-10B-JESUGU,-0.21567608234949723,-0.11127104436937924,0.03460555173251167,6,7.826706044061256
CSO-16-10B-LTVIFA,-0.06119933116456637,-0.07578989483250939,0.0264556568878637,7,8.008514049938409
CSO-16-10B-VVILI,0.20308443562293518,0.0770718860999211,0.05005401622258252,11,8.44925795699306
CSO-16-10C-ACALGU,0.11324592541199373,0.05567210899268665,0.014370936931927869,12,8.302336590384229
CSO-16-10C-MAVAVE,0.1906137128771552,0.052953599636732566,0.026898742271050734,9,8.389513673832559
CSO-16-11A-JAVABO,0.17953336904328335,0.052318562438286774,0.10475781913718156,7,8.45565736966637
CSO-16-11A-JDMUVA,0.18503873762713005,0.04166276298616794,0.28956989688074375,15,8.635319016541663
CSO-16-11A-VZAOR,0.13589306718729258,0.05169664031704354,0.2816108021280297,9,8.588248128679986
CSO-16-11B-KRORE,0.039266422630206466,0.042722742470251485,0.24652618778656668,10,8.447562971934644
CSO-16-11B-LLOZA,0.19392629772380401,0.04354076440927054,0.21869467422987368,9,8.57520935541057
CSO-16-11B-YAROMO,0.24862772705869196,-0.04944675587670869,0.36863096222547215,11,8.686859552455074
CSO-16-9A-JALEMO,0.20590615449642488,0.06193510771314176,0.3059727394039982,13,8.692861620661185
CSO-16-9A-JPROSO,0.16345915591454743,0.048385321911906275,0.17101884909401469,8,8.501910945968087
CSO-16-9A-JSMAGU,0.16949870783644808,0.06302882691910577,-0.02742792003863183,12,8.324147233764542
