subject,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,z_l3_T2W20
CDMS-XX-5C-MPCAQU,-0.20033239656943558,0.24699621115673015,0.6164387110883675,-0.07949447356060205
CDMS-XX-6B-SPUCA,0.7116491186158544,0.570757618925579,0.47497196645709916,-1.2040755718111316
CSO-10-4A-KCOMO,-0.4683013494805417,-0.39854404955531636,-0.2542550479072421,-0.2790289020814468
CSO-10-4A-LRAVI,-1.3863099482762504,0.8329564932832936,1.3682920006183557,-1.0440862504528963
CSO-10-4A-LSCAVA,-0.3446637774363786,0.29226065974170284,0.6407220369346569,0.4570254034911188
CSO-10-5A-ACAVA,-1.2420129141473715,0.08142979948092509,0.37245246600641063,-0.5275586570660847
CSO-10-5A-ARACA,1.0571381436259275,-0.16782269111618076,-0.4567876418300081,0.8229228266068522
CSO-10-5A-DABRZA,1.036127260460308,1.2311419082522945,0.9406270656231995,0.8059550816161872
CSO-10-5A-GZAMA,1.5358488842032938,-1.2334040761238252,-1.3379694704449498,-0.4187688818033617
CSO-10-5A-IPECA,-0.8858679060165465,-0.5110278418659108,-0.3904907129708881,-0.024924427541610752
CSO-10-5A-JANORO,1.3444127047108518,-0.34170432627258057,-0.17936062416405635,0.7577372214278643
CSO-10-5A-JBUVE,-0.29754347728615643,1.3349857881439275,1.4844605761480625,-0.2911668909906447
CSO-10-5A-JJSEMO,-0.13024595730337524,0.6769701438262462,0.8761529393979514,-0.27311962837773385
CSO-10-5A-JLCARI,0.6759549206855796,2.340673258558785,2.3313084083545856,-0.4351699671053764
CSO-10-5A-MAARAN,0.02148787656222915,-0.6442685534826169,-0.5672302015220448,1.1818275368331785
CSO-10-5A-RVMOIB,0.24941198406672146,0.5164994930584581,0.5869317505708344,-0.4170222271263415
CSO-10-5A-SVHEES,-0.3237473441673773,0.16369616818830834,0.34854332567711727,-1.1171149474466355
CSO-11-5A-MDVOSPE,1.007372952791986,0.21283178789878227,-0.008372990535723828,1.2032465033307884
CSO-11-5A-MTAGA,-1.2595794325301137,-1.0895412512039202,-1.1470036657117766,-0.12136339003922567
CSO-11-6A-CAPAMU,0.2112271898140976,0.4319134948010056,0.5520495372418316,0.33375255407843535
CSO-11-6A-DSCACH,-0.24512256767272675,-0.4374334334127037,-0.2799778975169067,-0.6308776494216369
CSO-11-6A-EROMO,0.19096169246099143,0.125852670988064,0.442633742860129,-1.0493781978300176
CSO-11-6A-FSOVRE,0.13531995932472327,1.2830431921567376,0.9943607982617829,-0.31501705166174343
CSO-11-6B-ANREVA,-0.7902898951238347,-0.30990618338551307,-0.10593767833123019,-1.3652112475893428
CSO-11-6B-DISEMO,0.006366485999003618,-0.8026031242444595,-0.7717813758751159,-0.947622179860361
CSO-11-6B-LHFDLACH,1.8416021506759144,1.3448777944083712,1.1793739339629927,-0.20665648132303488
CSO-11-6B-RJGIHE,-1.6428647677372108,-1.2626395333211162,-1.3785702314267252,-0.31402559122166285
CSO-11-6B-SFLVA,0.7879238882430921,1.6371603111009325,1.4037791197480267,-0.2663879799143707
CSO-11-6B-VCOMA,1.758132368135772,0.29355940595261737,-0.13668534826925496,0.39849470530347253
CSO-12-6A-DGISE,-1.6346013101888726,0.8614588712872074,1.4774019320798741,0.04291399643854681
CSO-12-6A-FJOVRE,0.7491712217812982,0.3134825707551132,0.0879508045305235,-0.8788160060692177
CSO-12-6B-GQULO,-0.9501106873087447,0.07232273393839064,0.3943389448662091,0.3715632335689836
CSO-12-6B-LJHEFE,-0.3719226571842759,0.3768842240751781,0.059736134328428225,-0.016533544525308263
CSO-12-6B-VPAMA,-1.5283357132124349,-0.8840126613757348,-0.8842866787456124,-0.9477116864006775
CSO-12-7A-DALRE,3.100951598912556,-1.6489037074759574,-1.8898682482810751,-0.3346610407622638
CSO-12-7A-ESALA,-0.8714841157698231,-0.7001801886151783,-0.6386998360630579,-0.855399944518597
CSO-12-7A-IMERO,0.20087597929244086,-0.26089257315160685,-0.06930089939962772,0.11080942213164333
CSO-12-7A-JHEZA,0.8763852568803143,0.243780107556664,0.387970270203747,1.0965419508202365
CSO-12-7A-LSARAR,-0.32497673261723475,-0.9989967018367656,-1.0332110547102653,-1.1230295382019593
CSO-12-7A-SCAHO,0.5114776492474831,-0.40060029208407183,-0.315271816161199,0.2631918682500485
CSO-12-7B-DVAGRO,-0.6353585948684296,0.7933916834101511,0.026536232287573014,-0.010594997757105857
CSO-12-7B-SMUGU,0.9579848406790793,-0.6056228063774745,-0.9957641736789923,-0.7019435326040605
CSO-12-7B-SSARA,0.3754335155942144,0.9564350336422389,0.6769056953151049,-0.10439573198868073
CSO-12-7B-VHOMA,-0.724063236481977,0.6475000158421099,1.1469993515641046,0.6572573886701549
CSO-12-8A-YTOME,-0.9705402152343908,1.7176117003884788,2.195769044509465,0.4023566739276676
CSO-13-6A-ANASA,-0.932859253344709,-0.3019546892465684,-0.5009534643531193,0.4673443254979972
CSO-13-6B-JETAVE,0.9303029704388132,0.9551488230582836,0.7893927459551157,-0.08884900720729444
CSO-13-6B-LFMIES,-1.5118406886720877,0.44821688524697945,0.8702933826261812,-0.49443269317116845
CSO-13-6B-LJMAHU,-0.8489742573469933,0.9965923864327032,1.5615669802352357,-1.457725612302052
CSO-13-7A-CAPAMU,-0.12232809865783646,0.6234886865856971,0.7033590182525775,0.048639157832653664
CSO-13-7A-CDDITR,-0.9735332936195221,0.039713072055008125,0.35953148818664793,0.48792658809247347
CSO-13-7A-JJATFL,1.3838438515928018,-0.45888173646048536,-0.5654855170025286,0.7945267574846877
CSO-13-7A-KRAMA,-0.7527965276090594,1.2461149813784929,1.9780711812716334,-0.1668582172532934
CSO-13-7A-RXCHLU,1.3512487581536385,0.49277967283015706,0.5219296141707367,-1.3520604945332588
CSO-13-7A-YAMEZA,0.6397747845884518,-0.10244482715829836,0.15266108547763474,0.39040005036279285
CSO-13-8A-KIGAGU,0.907803031385889,0.7066579443075689,0.5601556904040769,0.5971488059181647
CSO-13-8A-MBUAN,-1.5009230866350407,-0.8407491898852207,-0.8199912134337831,0.7664515706846062
CSO-13-8A-MGAAN,0.029748028076934656,-0.47372981653251806,-0.34104276049644355,-0.17168728087431925
CSO-13-8A-MGAHE,-0.5360310218947004,0.5215171879552472,0.5392608745064419,-0.7404040245899922
CSO-13-8A-MJAGA,-0.2646916393440521,0.5556040733898706,0.2370866499033854,0.5511001900172914
CSO-13-8A-VHODU,2.260512685882042,-0.06772479209916653,-0.20560903536116185,-0.003757155466045445
CSO-13-8B-FCJISA,-0.3878542144507476,-0.011493715570400458,0.2540625406045262,-0.403125006929966
CSO-13-8B-JEMABE,1.0606344829105354,0.546932820323699,0.3981839362270376,1.40660207252854
CSO-13-9B-DMLLLU,-1.260182461887371,-0.5025675926049156,-0.32223351563975,-0.7058867770562
CSO-14-7A-MVEBE,-1.660894018679327,-1.2927032462951238,-1.423300860857864,-1.392705719889584
CSO-14-7B-EVEGO,0.24757554998872144,-0.047958436503022395,0.13989925628360114,-0.13398404191301475
CSO-14-8A-AQUMA,-0.3784522224223374,-0.9016502583619,-0.88676822505075,0.29471863954816724
CSO-14-8A-MCIDOS,-1.784540428180337,3.3878980301484187,4.990930910257995,-1.4759403231910677
CSO-14-8A-SZARA,-0.003877317578217241,1.171207711699509,1.8911971878121934,0.2936533630668807
CSO-14-8B-JLLORA,-0.028517122988332286,-1.4307726095336442,-1.6042220186018135,-0.4614913469573269
CSO-14-9A-AEDCAGO,-0.4928962548422664,-0.2683897255461086,-0.2048316299980028,-0.9561408161744467
CSO-14-9A-HASACA,-0.4846419076265844,-0.8693921210967323,-0.8535007816005149,-0.8965442110438828
CSO-14-9A-JSMAAL,-1.232016323064196,-0.35836883120002166,-0.19613928379602943,-0.07696092741279155
