subject,edges_T2W40,re_T2W40,lsc_T2W40,z_re_T2W40,z_pe_T2W40
CDMS-9-5C-MLOGO,0.5113117808036988,-0.050211986433527124,-0.5840659723214182,-0.39896851579515297,-0.3036710254923561
CDMS-XX-10A-VGILO,0.2356232151917326,-0.14806085310124906,0.7196795061763972,0.20116156288791778,-1.0260995442129133
CDMS-XX-5C-MPCAQU,0.5113117808036988,-0.14950930059253234,-0.01935261714230643,-0.09303995146701845,0.25565779447627085
CDMS-XX-6B-SPUCA,0.4724101115747685,0.5960321478296733,0.47403457488183487,0.9168708352592365,0.7712830725524801
CSO-10-4A-KCOMO,-0.5198350620047104,-0.9009463021311614,0.6322658374893643,-0.5753680969017801,-0.3262573895854409
CSO-10-4A-LRAVI,0.5113117808036988,-0.9981615831045837,0.4303499703159298,-0.5921055251964424,0.6586746318489748
CSO-10-4A-LSCAVA,0.5113117808036988,-0.5763900229619331,0.48278070831212555,-0.21617579200017992,0.24203393723067512
CSO-10-5A-ACAVA,-1.5245422421770098,-0.7911871139353623,-0.5498832097408546,-1.5229837621249276,-0.5392301828238596
CSO-10-5A-ARACA,0.5113117808036988,1.091327383607061,-0.35526362002576484,0.7861538079745832,0.5017218943188058
CSO-10-5A-DABRZA,0.005590080827605138,2.0916418274918542,-0.6968993809558786,1.1769692909973986,1.2756310986751398
CSO-10-5A-GZAMA,0.4411099179422935,2.376849505353839,-0.30187240514817393,1.9745842256592845,-1.5657642227269342
CSO-10-5A-IPECA,0.5113117808036988,-1.0019137518439087,1.1902340799642337,-0.8507414014543994,-0.47340067188035895
CSO-10-5A-JANORO,0.35135182185521324,0.3751321754883894,0.6182870466850501,1.4453110023229763,-0.2821209829240328
CSO-10-5A-JBUVE,0.5113117808036988,-1.2057815866805703,0.9624315631531786,-1.1494710417228964,1.5443228229176906
CSO-10-5A-JJSEMO,-1.5245422421770098,2.2150592827537885,-2.0725192403613715,1.7009502158334866,0.6582589242974967
CSO-10-5A-JLCARI,0.36234685229292046,-0.20471516920340557,0.027330012438533408,-0.024125315948320195,2.94964779828556
CSO-10-5A-MAARAN,0.5113117808036988,-0.13686830430496674,0.5989830022409977,-0.3666486261740088,-0.9480667122965054
CSO-10-5A-RVMOIB,0.05236202995834471,-0.1734435697355919,-0.14484668185500654,0.6724660485642088,0.3818041377959033
CSO-10-5A-SVHEES,0.011951360072584809,-0.7252444040461286,-0.04505730364891844,-1.0728297884415066,0.3464629204787579
CSO-11-5A-MDVOSPE,0.5113117808036988,0.6678013371557443,0.1964456003760063,1.020832129918861,0.3287494748525747
CSO-11-5A-MTAGA,-2.4380664832580976,-1.2434956929835301,-0.5734830982690469,-1.6156994059557486,-1.2907322594460375
CSO-11-6A-CAPAMU,0.09086366736202563,-0.3454065757904789,-0.06787960255421144,-0.5068703121376623,0.2191128649357108
CSO-11-6A-DSCACH,0.5113117808036988,-0.638294490378407,0.9613960971676724,-0.2134657999162994,-0.4991440524398529
CSO-11-6A-EROMO,0.0023482750585215872,0.013360572871798149,0.2605150582291154,0.6998871558190981,-0.09812753886083353
CSO-11-6A-FSOVRE,-1.3076069774331684,0.17823558311823337,-1.4166109505268591,-0.0951730751222946,1.1396210285512918
CSO-11-6B-ANREVA,0.5113117808036988,-0.9505379029516116,0.7626662791804084,-1.3777839338276963,-0.4119874059851147
