subject,l2_T2W20,l3_T2W20,lsc_T2W20,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,y_true,y_pred
CDMS-8-4A-DOSTR,-0.010622003776000246,0.0827300561964869,0.07462299427061839,-0.02370344297934395,-0.0505900662619324,-0.04564058586479595,9,5.663927753272801
CDMS-8-4A-LGOPA,0.16150805076120203,-0.03626548976188041,0.11693449448754477,-0.01768896318683564,-0.13301021240388164,-0.13011997649983248,6,5.59848870508409
CDMS-8-4C-JDBUTU,0.220629421423052,-0.09170537572811996,-0.5803861161085954,-0.1597724728148804,-0.14925390417548984,-0.10238392009122241,3,4.774258434192511
CDMS-9-4A-ACDUTR,0.29449748668081854,0.07870374227877971,0.0775063189601325,-0.02385594738353807,-0.09850245908413785,-0.02160275561476372,3,5.943877187525059
CDMS-9-4A-CARGA,-0.11377894542823803,-0.05283420490929963,-0.009158573531181194,-0.10051541457109169,-0.07300333703018239,-0.13212311780822833,3,5.155717208409553
CDMS-9-4A-CRAAG,0.17750822654526224,0.2349790490125306,0.11545381729032186,0.8530741648725858,0.5764851294220162,-0.002808854866495645,14,7.5918223339639885
CDMS-9-4A-EROHI,-0.1740586655275363,-0.0381627031810424,0.01716448535973746,0.24839218093168539,-0.1331411186520744,-0.12544531243856777,2,5.431879668179971
CDMS-9-4A-ILOSE,-0.1761923548333765,-0.06017012490357452,0.054581234578669764,-0.20234723000165786,-0.11473125108058357,-0.08643548317310817,1,5.0518355922741405
CDMS-9-4A-TGAFR,-0.07383179132788383,-0.015343044782489264,-0.03559111046684209,-0.008009918489344897,-0.09633085593803695,-0.1200828519665166,2,5.2879412287166625
CDMS-9-4C-SCAMO,-0.2609984938457536,-0.0949323562442611,0.010411316613835452,-0.17312895256905422,-0.1288874571190448,-0.16395981303661045,1,4.825635045486884
CDMS-9-5A-ABERO,0.45684874556199684,0.061478643045194285,-0.068470528375488,-0.11998491852359022,0.12461837709355561,0.19555415686402536,6,6.287175277353457
CDMS-9-5A-VVAAR,-0.0775596128422666,-0.04735755871478146,-0.14578755979548091,0.07302167052284188,-0.07919484397151648,-0.04946596235395372,2,5.310786934532616
CDMS-9-5C-JDMADE,-0.048718736588322306,0.04400921464971981,0.09516567429419484,0.10835930846554986,-0.05946367965400475,-0.07745489546261425,6,5.699027687392298
CDMS-9-5C-LVIZAC,-0.03853624018175796,-0.12125637293718988,-0.17497869828230775,-0.18010830720048665,-0.12690637751988132,-0.20042883982430776,2,4.794915965741843
CDMS-9-5C-MLOGO,-0.016551391472993077,-0.03864052423854603,0.05088480999828423,-0.04042198063376432,-0.07096572023225102,-0.03274495493709105,5,5.4886910401714095
CDMS-9-5C-SCAAG,0.3473926263437171,0.07304472228969051,-0.07207470529174155,0.5173467821053487,0.4655064730858774,0.3996039301603204,10,7.367950630380976
CDMS-XX-10A-VGILO,-0.14707648715254937,-0.019170053515524962,0.12794154401521865,-0.059447424681673654,-0.11132098556546867,-0.16164448265656586,7,5.266412912131209
CDMS-XX-5C-MPCAQU,0.05035782374408376,-0.03758316199678604,0.1462966342554996,0.010691846266001155,-0.06117272333840471,0.07255831856997098,9,5.818279539188132
CDMS-XX-6B-SPUCA,-0.01521940137869711,0.003295880861110703,-0.0715061204195052,-0.2657347261035907,-0.09841669809871102,-0.17531336307729423,0,5.014236373471084
CSO-10-4A-KCOMO,-0.3121695515474222,-0.05459306958551542,0.011295601974124814,-0.09004361248451324,-0.14402606629421574,-0.21460766841946244,4,4.83298643533077
CSO-10-4A-LRAVI,0.1397978776325041,0.26341419767000834,0.1925217056350927,0.22370007435670067,0.22002644432531357,0.394572204465887,12,7.071163305773277
CSO-10-4A-LSCAVA,-0.07658783330682561,0.04246717715887687,0.1327644095797315,0.008228646463383912,-0.030273553217334437,0.06809743411237872,11,5.781827082477987
CSO-10-5A-ACAVA,-0.07612616117712376,-0.10141808527270296,-0.09304075432769907,0.14309422771773078,-0.0660755122370369,-0.07321331638167988,4,5.37035120000926
CSO-10-5A-ARACA,-0.13281471844468823,-0.0970720010794129,0.023700307698719156,-0.1973650507974048,-0.11920469291568404,-0.11163222777896542,0,5.002742418370334
CSO-10-5A-DABRZA,0.25227765504615624,-0.06050263623540585,0.010541374176714977,-0.23603596732292045,0.2123631442227357,0.14099477308242772,3,5.956769144657471
CSO-10-5A-GZAMA,0.0476253553918855,-0.005966430509487808,-0.006986119924902735,0.06953368233123182,-0.08088074959971985,-0.05226493061188271,6,5.608191608764898
CSO-10-5A-IPECA,-0.06377749382398522,-0.0067557961215786895,0.15064369201900213,0.12680640614343874,-0.021555495867050595,-0.06502829149029225,11,5.757463822547308
CSO-10-5A-JANORO,-0.1627084661975985,-0.03787702415081321,0.010321577728866563,0.06775225674643406,-0.05461778219226648,-0.05261021761698076,5,5.407391146005408
CSO-10-5A-JBUVE,0.11265330526204378,-0.1071173150457156,-0.17920052524549804,-0.052479123906402886,0.16222647862622572,0.2516425297968744,2,5.824856151175298
CSO-10-5A-JJSEMO,0.5361619233267063,-0.0024848382707212523,0.02190307040153675,0.07935365719670877,0.19444863566330617,0.2570610357166926,13,6.723574285721996
CSO-10-5A-JLCARI,0.40551942021928555,-0.03141178318225741,0.019295117674779483,-0.04965550034522979,0.4642965367237517,0.436581926372114,9,6.881756519150214
