subject,lcc_T6W40,z_density_T6W40
CSO-17-10A-YVGOCA,28.364942528735632,-0.7092822888433491
CSO-17-10B-EHECO,29.37037037037037,-1.0198522221740378
CSO-17-10B-YCQUVE,28.430882352941172,-1.2694825725937475
CSO-17-11A-DJAPA,29.00728597449909,-0.8817096367608437
CSO-17-11A-JDAMO,29.301369863013697,-0.961432246589866
CSO-17-11A-NPAHE,30.17299578059072,-0.1151021144329669
CSO-17-11A-RLPAIG,28.83514492753623,-1.2231893611806617
CSO-17-11A-SPUVA,27.11337209302325,-0.919726968600329
CSO-17-11B-CDBEBU,30.05263157894737,-0.4538576286925276
CSO-17-11C-JDAAG,31.198879551820728,0.2379217753273932
CSO-17-11C-MAPAMA,29.087533156498672,-0.7608617514940197
CSO-17-11C-MCAAG,29.39439655172414,-0.7996017385265378
CSO-17-11C-SARJA,29.13405797101449,-0.5415214599131147
CSO-18-11A-ADBAHO,30.647058823529413,-0.3192814557712353
CSO-18-11B-YLLRE,29.83734939759036,-0.5426531301020391
CSO-18-9B-MAMOLO,29.10817610062893,-2.3405939820713044
CSO-8-3A-AIPRBR,27.398907103825135,-0.6103092228752576
CSO-8-3A-DAPAVA,27.233057851239668,-1.5263056210681138
CSO-8-3A-KVPECO,27.410714285714285,-0.3461816072846781
CSO-8-4A-ARAGR,29.377551020408163,-1.0089569564338945
CSO-8-4A-JRAAR,24.963934426229507,-0.5003721188438477
CSO-9-2A-EXMOCO,27.05610561056105,-0.7574336164893306
CSO-9-4A-AGAPE,28.638297872340427,-0.3467089178990845
CSO-9-4A-DKVIMO,26.52912621359223,-0.7547976931121518
CSO-9-4A-DSMOMU,29.731141199226304,-0.916045141456878
CSO-9-4A-DVGATO,28.3622641509434,-1.4994286521980102
CSO-9-4A-EGCAMO,26.60693641618497,-1.1937210636858822
CSO-9-4A-FAGIGA,28.58870967741936,-1.8227928821391368
CSO-9-4A-GSBRCO,25.69467213114754,-1.4859166033779547
CSO-9-4A-KEMOCO,26.214854111405835,-0.8711303086375632
CSO-9-4A-LCOMO,29.513698630136982,-1.1551115784759554
CSO-9-4A-MLORO,26.941908713692943,-0.7246105572071998
CSO-9-4A-MPAME,26.770408163265305,-1.091513753974676
CSO-9-4A-NSARPA,28.70133333333333,-0.8751915802594716
CSO-9-4A-SLOCA,26.71069182389937,-0.7355127727252759
CSO-9-4A-YVDITR,23.8,-0.8648778765189652
