subject,lcc_T6W40,lsc_T6W40,z_asp_T6W40,y_true,y_pred
CDMS-8-4C-JDBUTU,1.7449321966127442,0.14228094857202578,0.0,7,15.465546081105519
CDMS-9-4A-ACDUTR,0.6372879712337989,0.003412463513943642,0.0,5,14.219033370668491
CDMS-9-4A-CARGA,0.18466566055316225,-0.025170731877211416,0.0,8,13.737827864596696
CDMS-9-4A-CRAAG,1.5042148519042733,0.11155418532460293,0.0,32,15.194101973149621
CDMS-9-4A-EROHI,-0.06982286694516215,-0.05867123750082914,0.0,5,13.449838831474757
CDMS-9-4A-ILOSE,0.435599305269867,0.0006066883463455852,0.0,7,14.014538929536961
CDMS-9-4A-TGAFR,1.479218952062431,0.06223718301523906,0.0,6,15.119789070998422
CDMS-9-4C-SCAMO,-2.1506954482633915,-0.14207475791069157,0.0,10,11.285562729746665
CDMS-9-5A-ABERO,0.4108887898115014,0.07004742608448217,0.0,22,14.059269151816732
CDMS-9-5A-PAGACO,0.073363745729357,-0.0415296345196845,0.0,17,13.610167047130417
CDMS-9-5A-VVAAR,1.1019056333260426,0.028268951981759827,0.0,5,14.708507521228551
CDMS-9-5C-JDMADE,0.3370386672921093,0.2551562926692341,0.0,15,14.170527895882092
CDMS-9-5C-LVIZAC,-0.3808743763110991,-0.016928461107972304,0.0,6,13.180530098501677
CDMS-9-5C-MLOGO,1.0166688611630876,0.07616423003480843,0.0,5,14.671166027118645
CDMS-9-5C-SCAAG,0.1099627226291835,0.04373353579869477,0.0,21,13.732029194348627
CDMS-XX-10A-VGILO,-0.45841294694429724,0.007430838531537809,0.0,17,13.127350827507989
CDMS-XX-5C-MJSARU,-0.5439562151559505,-0.09344180534900293,0.0,9,12.940934915415795
CDMS-XX-5C-MPCAQU,0.7201890496600551,0.02743776323469227,0.0,24,14.325959748815496
CDMS-XX-6A-MAGICA,-0.7877268993350671,-0.09062428639880948,0.0,6,12.699981750186872
CDMS-XX-6B-SPUCA,-0.6551566955497314,-0.09066523823952721,0.0,2,12.83251100213149
CSO-10-4A-ICAPA,0.932336059895661,0.05048133716291414,0.0,15,14.561150332979324
CSO-10-4A-KCOMO,1.2771637760252847,0.09983999463401894,0.0,8,14.955336706580049
CSO-10-4A-LRAVI,2.254814856152552,0.16685220792669586,0.0,16,16.0
CSO-10-4A-LSCAVA,-0.7385905495609375,0.0826742004128942,0.0,22,12.922416586772705
CSO-10-5A-ACAVA,-1.0066630995407877,-0.04388110154687652,0.0,9,12.527788734833084
CSO-10-5A-ARACA,0.5113970254191553,0.17264003024427232,0.0,5,14.262369991584173
CSO-10-5A-DABRZA,1.6106692595596106,0.17828717793204185,0.0,10,15.367289373412401
CSO-10-5A-GZAMA,-0.21545541968572035,-0.07035399718529778,0.0,20,13.292523519049727
CSO-10-5A-IPECA,-0.35472319600183155,-0.0451757363424754,0.0,27,13.178434003576442
CSO-10-5A-JANORO,-0.3219342952348878,-0.05331712976949099,0.0,15,13.20308151091637
CSO-10-5A-JBUVE,-0.9064678028246059,-0.0349603233851018,0.0,9,12.63690480971104
CSO-10-5A-JJSEMO,0.9850538252241581,0.024099598072096384,0.0,23,14.587486359217003
CSO-10-5A-JLCARI,-0.2564823039701558,-0.01935712284476665,0.0,24,13.30249350910583
CSO-10-5A-MAARAN,1.2426868579938501,0.04694107581798601,0.0,7,14.867960869732581
CSO-10-5A-MAOSMO,-1.491571703298444,-0.12461344652399475,0.0,12,11.96214778609831
CSO-10-5A-RVMOIB,-0.7567256323339918,-0.05283236941828029,0.0,15,12.768774934168476
CSO-10-5A-SVHEES,0.364774689369459,-0.0041644124479320865,0.0,10,13.938943212842275
CSO-11-5A-MDVOSPE,-0.16635025237887113,-0.02718617572872084,0.0,8,13.38479650781316
CSO-11-5A-MTAGA,-1.6182071951792205,-0.09927069509859954,0.0,12,11.860855045642925
CSO-11-6A-CAPAMU,-0.7177791495885959,0.11809920349272396,0.0,6,12.978652989824877
CSO-11-6A-DSCACH,-1.2286300273465223,-0.10281570625659242,0.0,2,12.246887202317637
CSO-11-6A-EROMO,0.03364883537485941,-0.019541885120493596,0.0,14,13.592439886175114
CSO-11-6A-FSOVRE,1.1572669694005846,0.10014414712866682,0.0,15,14.83574405245
CSO-11-6B-ANREVA,0.14074377037883057,-0.030715673721538828,0.0,18,13.688361032578044
CSO-11-6B-DISEMO,-0.9621931605797531,0.0682467986434876,0.0,2,12.684386573984487
CSO-11-6B-LHFDLACH,-0.46306826189992734,0.07617361750726204,0.0,21,13.191438291528083
CSO-11-6B-RJGIHE,0.23032949538028727,0.009670441026775806,0.0,7,13.818332872327812
CSO-11-6B-SFLVA,1.4051686378126966,0.12223883142214831,0.0,22,15.105740405155593
CSO-11-6B-VCOMA,-0.5663719504773583,-0.037526847203028346,0.0,28,12.974434138240362
CSO-12-6A-DGISE,0.30060299996921636,0.1074900902480227,0.0,7,13.986426026137984
CSO-12-6A-FJOVRE,0.5471534839263397,0.046834358791028485,0.0,8,14.172320778638117
CSO-12-6B-GQULO,0.5665571879326761,0.08480662544785833,0.0,7,14.229696749301283
CSO-12-6B-LJHEFE,-1.0529715659550636,-0.08064744924793565,0.0,2,12.44471392071775
CSO-12-6B-VPAMA,1.8761729906407378,0.4206895731786222,0.0,23,15.875195499740109
CSO-12-7A-DALRE,1.6984569110993153,0.15918036687888026,0.0,23,15.435970213898944
CSO-12-7A-ESALA,0.7359056892776472,-0.0007686503769619435,0.0,17,14.313469974821434
CSO-12-7A-IMERO,-0.1207222825552483,0.0011769705506088357,0.0,18,13.458787623916109
CSO-12-7A-JHEZA,-1.0571022435774555,0.12412556973647249,0.0,23,12.645356262079762
CSO-12-7A-LSARAR,0.7824572805306058,0.020734616033463382,0.0,20,14.381524832484818
CSO-12-7A-SCAHO,0.2935234984865076,0.02268951594725621,0.0,6,13.894545950354512
CSO-12-7B-DVAGRO,-1.1275886602837657,0.07837418670696206,0.0,21,12.529118462343945
CSO-12-7B-SMUGU,-0.1540185002914436,-0.028500472212168226,0.0,12,13.395813963417137
CSO-12-7B-SSARA,-1.329761990948958,-0.12173759076920909,0.0,7,12.126833354202578
CSO-12-7B-VHOMA,-1.752569296947243,-0.11889792132472721,0.0,22,11.706865717648778
CSO-12-8A-YTOME,-0.6112565389763782,-0.10030413992115594,0.0,29,12.866772257023214
CSO-13-6A-ANASA,-1.4413469113858168,-0.13694348639778386,0.0,11,12.000042538137151
CSO-13-6B-JETAVE,0.8452937875623422,0.013433585555473582,0.0,23,14.43706030903856
CSO-13-6B-LFMIES,-0.38418948617696014,0.09843753886883544,0.0,23,13.292580988612624
CSO-13-6B-LJMAHU,0.3728640087135284,0.11488630585240767,0.0,24,14.066083250486688
CSO-13-7A-CAPAMU,-0.38710746854668526,0.03317397641940273,0.0,15,13.224399443793466
CSO-13-7A-CDDITR,-1.1761166172953228,-0.10927232459517278,0.0,11,12.292943994030253
CSO-13-7A-JJATFL,0.39652578213573264,-0.04434107271681853,0.0,18,13.930517645339663
CSO-13-7A-KRAMA,0.9260871778915885,0.019280258595504307,0.0,17,14.523700372407841
CSO-13-7A-RXCHLU,-0.22837109059288796,-0.09141382027405864,0.0,5,13.258548025053802
CSO-13-7A-YAMEZA,-0.93661893639399,-0.11188587540299821,0.0,7,12.52982812412376
CSO-13-7A-YBOSO,1.2354070619380568,0.6963132632916551,0.0,14,15.51005326115046
CSO-13-8A-KIGAGU,0.00261443423456776,-0.04005129494428595,0.0,9,13.540896075211034
CSO-13-8A-MBUAN,-1.0791495032027205,-0.05531354418332146,0.0,8,12.443869888534707
CSO-13-8A-MGAAN,-1.2689055296640515,-0.1442109075227318,0.0,25,12.165216498733965
CSO-13-8A-MGAHE,-0.4464191975752527,-0.06184004668370946,0.0,24,13.070073691661783
CSO-13-8A-MJAGA,1.5970212106769859,0.13161894421811038,0.0,5,15.306973090815845
CSO-13-8A-VHODU,-0.038672004328625484,-0.06271644411183443,0.0,17,13.476944487480289
CSO-13-8B-FCJISA,-1.268594871764125,0.01924996800277423,0.0,11,12.328988032159398
CSO-13-8B-JEMABE,1.5436659350913144,0.12707283799759228,0.0,9,15.249071709009655
CSO-13-9B-DMLLLU,0.997964709919188,0.022307620527822536,0.0,26,14.598605266367759
CSO-14-7A-MVEBE,0.43581675210237675,-0.027488492306447065,0.0,25,13.986661195716678
CSO-14-7B-EALHU,0.30932199926306403,-0.01993319532283344,0.0,8,13.867721739860976
CSO-14-7B-EVEGO,-1.244427602574289,-0.12048025611755442,0.0,4,12.213425077228905
CSO-14-8A-AQUMA,0.7745164373201616,0.020349727740637924,0.0,9,14.373199100981548
CSO-14-8A-MCIDOS,1.0246288608136727,0.17307929627480156,0.0,27,14.776041093009226
CSO-14-8A-SZARA,-0.20868234638630945,0.027387695582236304,0.0,30,13.397038285116675
CSO-14-8B-JLLORA,0.36503780812032005,0.01474625329295165,0.0,31,13.95811699733402
CSO-14-9A-AEDCAGO,-1.016669704820714,-0.03411836516216482,0.0,7,12.527544865937866
CSO-14-9A-HASACA,-0.9085071137892617,0.07260916980550203,0.0,19,12.742434991936989
CSO-14-9A-JSMAAL,-0.5679473995336712,-0.010819159299384928,0.0,10,12.999566377087692
CSO-14-9A-MARJA,-0.6340427070893888,-0.03957573755568333,0.0,10,12.904714491275673
CSO-14-9A-SORZU,0.127905940627846,0.10293426979098363,0.0,21,13.809173146339578
CSO-14-9B-ERAGA,1.1911063739950845,0.10729580118025583,0.0,6,14.876735111096089
CSO-14-9B-MFEGA,0.6338317449436516,0.03143881072774668,0.0,27,14.24360349159215
CSO-15-10A-LJRAGU,-0.16270874897618448,-0.021150934851936753,0.0,17,13.394473252092627
CSO-15-10A-MAARLO,0.26527225594365866,0.06066478237649342,0.0,14,13.9042699742409
CSO-15-10A-SFEGA,1.1270011610766657,0.06651625860915278,0.0,5,14.771850355606567
