subject,z_re_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_diameter_T6W50,z_asp_T6W50
CSO-10-5A-GZAMA,0.03476675858641744,-0.7377721066021932,-0.0425325238290473,0.4884307819659629,-0.7310180591668902,-0.4632115070682938
CSO-10-5A-IPECA,-0.27586876123525994,-0.7905864187167846,-0.6953938629244409,0.9219325539240194,-0.8638339015895485,-0.548687996384655
CSO-10-5A-JANORO,-0.3421541108507913,-0.5609365166014899,1.0363931567575133,0.1354626139147302,-0.7700165099438854,-0.523990379675842
CSO-10-5A-JBUVE,0.7040567505566334,0.9797646641430958,0.062482653690807397,2.8142587039065394,0.20250185465212078,0.5025783881489755
CSO-10-5A-JJSEMO,0.1311449051464292,-1.1908992418945976,-1.1890334038048032,0.5778837839194626,-0.8762151742633716,-0.7679086645689747
CSO-10-5A-JLCARI,-0.022285887157298255,0.08069079156015752,-0.2605471870804127,-1.3821295316983402,0.13113797320267678,0.2834874227294326
CSO-10-5A-MAARAN,0.8315031507065713,-1.007838842402944,-1.4052582146307668,0.8716803605804293,-0.2563927999469114,-0.2680282329099196
CSO-10-5A-MAOSMO,0.8185120070475768,-0.49344445632798695,0.13829004980982157,-0.9612751464516994,-0.0003821922816629512,-0.20342919682866728
CSO-10-5A-RVMOIB,-0.8377932738172126,-0.07230035684116284,-0.2945269834413869,0.056218567115489206,-0.8237284922429101,-1.077757169328862
CSO-10-5A-SVHEES,-1.1009659987628195,1.067250026084816,-0.647776680379901,-0.37464199025769906,-0.31601958325951307,-0.49511314550120095
CSO-11-5A-MDVOSPE,1.0921393729691644,-0.5473767968351059,-0.5999824572045878,0.6623962067409522,-0.7498278111057752,-0.6265223584267943
CSO-11-5A-MTAGA,0.4526844103915735,1.3319820260088753,0.2366111364229448,-0.7123410798306099,0.7098544795010749,0.6755249056514551
CSO-11-6A-CAPAMU,0.009985069823157318,0.7213848573675836,-0.9076103000716249,0.8543083606731601,0.16422096459268917,-0.06544346150678623
CSO-11-6A-DSCACH,-0.6476610004118171,-0.44431956811656365,-1.260382680482448,-1.1935181973774314,-1.9242972074326834,-1.667796106323888
CSO-11-6A-EROMO,0.017306340890504913,-1.3347020516837795,3.460157031860532,-0.5853163220971145,-0.14180128344040088,0.49902893286404976
CSO-11-6A-FSOVRE,0.44298138080647487,-0.3777144897986077,0.07883495982624202,0.9688040210353979,-0.3006564587747065,0.025892881219824027
CSO-11-6B-ANREVA,-0.4222956966458343,-0.7492496476104227,-0.4465983324410867,0.6202000082323992,-0.8447828923403122,-0.8237807313014679
CSO-11-6B-DISEMO,1.2391123090910183,-0.2415231524168608,1.0693589135638462,0.3500959763856335,0.6714309953643788,0.27554665058297223
CSO-11-6B-LHFDLACH,2.4041436608481894,0.7068791606377207,1.5200640463682258,1.774193391115661,2.917011858196309,2.7981378372016708
CSO-11-6B-RJGIHE,-1.450080760585639,0.25701968287952137,-0.6361734034434625,1.4921732165671608,-0.6170274634780606,-0.7716258360379227
CSO-11-6B-SFLVA,-0.5602587613582133,1.9462814805889883,0.4633067588266168,0.6413731784201042,0.775944058321658,1.1209697292833614
CSO-11-6B-VCOMA,0.1251472787189199,-0.41457340473245613,0.6010088672298212,0.5836863715195565,0.8450129834337581,0.5675593925586452
CSO-12-6A-DGISE,0.34821242849282924,3.5066484218137184,1.07731263036829,-0.6763549184077526,2.2792280968892213,2.601712775603596
CSO-12-6A-FJOVRE,-0.7738116277172906,0.435785902250697,0.15930196257226065,0.6422680905456742,-0.8081179252146619,-0.9094205702384585
CSO-12-6B-GQULO,-1.447096249852306,1.3557650452202503,0.48141578276321245,-1.093669372172246,0.426862088702634,0.004871726643091857
CSO-12-6B-LJHEFE,-0.3222352671357002,0.11976869662013301,0.9406637661316051,-0.048544591280832904,0.3323931076883003,0.36078613069574317
CSO-12-6B-VPAMA,0.6191994307057351,0.10964055393992239,-2.2325397229356576,0.6516554334452845,-1.2711185998276415,-1.1215980918423036
CSO-12-7A-DALRE,1.8519944274038977,0.318494663999822,-0.9490223586647314,1.5998875833643051,1.7455959668324967,2.0153795681257813
CSO-12-7A-ESALA,-0.8955939202864478,-1.510848293067525,-1.3885464695062322,-0.36605685571874785,-1.920751394366191,-1.9419690761516397
