subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30,y_true,y_pred
CSO-13-8A-MGAAN,1.025924006109799,0.0,0.0,0.9578859879919308,0.0,0.9577470639898329,0.0,0.8685231870321831,1.091342013658506,0.0,1.4738115954861517,0.0,0.9566339577360368,0.8938015796247184,0.7787939464500262,0.8755366619208166,25,25.0
CSO-13-8A-MGAHE,1.2491874162790944,0.6263522806696447,0.6512968604371254,0.6896422986982582,0.0,1.427354268822543,0.0,1.335840362176985,0.737792269548902,0.0,0.6812578875208549,0.0,0.0,0.0,0.7362335326480066,0.7450428231985865,24,24.0
CSO-13-8A-MJAGA,-0.8799256139370434,-0.9831403889053077,-0.9887387593643705,-1.2037445718742272,0.0,-1.0874480771408401,0.0,0.0,0.0,-0.8713499306032926,-1.0206543560870587,0.0,-1.132200939777594,0.0,-0.9347466189011513,-1.0180507434091144,5,5.0
CSO-13-8A-VHODU,0.783845385937723,0.5199836451638336,0.0,0.14661667257759384,0.0,0.6200321616670627,0.0,0.18395792358433927,0.0,-0.1481267221673721,0.06494227294892603,-0.19290934284142466,0.0,0.0925561442837787,-0.1908981411544599,0.0,17,17.0
CSO-13-8B-FCJISA,0.0,-0.4567448979305092,-0.4468610235120294,-0.30821858179673356,-0.39047004958838927,0.0,0.0,-0.4497980506333971,-0.25496728096714616,-0.5386424292709048,-0.45015109683621185,-0.47263609956078073,0.0,-0.3515104899038974,0.0,0.0,11,11.0
CSO-13-8B-JEMABE,-0.9221961632778165,-0.43631281214850637,-0.47166614614345986,0.0,0.0,-1.1085011438691557,-0.46443734808448917,-0.4219575396183207,0.0,0.0,0.0,0.0,-0.7760640216284682,-0.4375189951915006,-0.5237682819551492,-0.557577548083133,9,9.0
CSO-13-9B-DMLLLU,1.405593093097502,0.8366010247885125,0.855092235670855,1.1188813856301898,0.0,1.2033394621848128,0.0,1.2940459180045094,0.0,0.0,1.1964134961562287,0.0,0.0,1.2120593683129637,0.7919354477000262,0.9660385684544001,26,26.0
CSO-14-7B-EVEGO,-1.2814208203445958,-1.1205749382256038,-1.1238609553536976,0.0,-1.0884457280442374,-1.403685666938895,0.0,-1.1338810567715893,0.0,-1.1223251889458856,0.0,-0.9218568533717666,0.0,-1.0157249283715761,-0.9082238636321538,0.0,4,4.0
CSO-14-8A-AQUMA,0.0,-0.5555723004163374,-0.6407820260789446,0.0,-0.6096381070126826,0.0,0.0,-0.5632425573302157,0.0,-0.762022387881928,-0.4026349413472943,-0.6390352957636203,-0.5343348325286975,-0.8406787945993658,-0.5720587570409127,0.0,9,9.0
CSO-14-8A-SZARA,1.694630779898567,0.0,1.6084787600838195,0.0,1.6528979793610727,1.652789130789841,0.0,1.6143126711766576,1.0465492833769716,1.463559740301234,0.0,1.7226793533671212,0.0,1.2898452337765949,0.0,1.1342570678681216,30,30.0
CSO-14-8B-JLLORA,1.727924344805823,1.29444065877078,1.3241252805182082,1.7102594419909383,0.0,1.719805941332826,0.0,1.6224231474255393,0.0,1.63753632970781,1.9735186962981075,1.448721303698325,0.0,1.4212448554516415,0.0,0.0,31,31.0
CSO-14-9A-AEDCAGO,-1.1255307880369154,-0.6953390237366264,-0.7447687626182291,0.0,-0.6626916249549053,-1.0324190055054798,0.0,-0.8695001614141956,0.0,-0.8129196211520653,0.0,-0.7689516447028467,0.0,-0.905368346286188,0.0,-0.5025110215925475,7,7.0
CSO-14-9A-HASACA,0.521364913800317,0.533165097113296,0.0,0.35018105043905384,0.0,0.5814566857664917,0.0,0.0,0.0,0.2792012986635095,0.33024577348468553,0.3612502070533531,0.30090657771710777,0.27795871475027445,0.0,0.34426968121191137,19,19.0
CSO-14-9A-JSMAAL,-0.7210471892824454,-0.2626888587722409,-0.4503016436836625,0.0,-0.3746795116620149,-0.7550341533061149,0.0,-0.5332893837708986,-0.2437820746192516,-0.5198465948854957,0.0,-0.4636960243649684,0.0,-0.7956345656529065,0.0,0.0,10,10.0
CSO-14-9A-MARJA,0.0,-0.5561363463450735,-0.4516330824353038,0.0,-0.39641132905742166,0.0,0.0,-0.9252595587622852,-0.49197350711047466,-0.5387281499405168,0.0,-0.5493979207684753,-0.3386392176322648,0.0,-0.43748942734247864,-0.43433146060570466,10,10.0
CSO-14-9A-SORZU,0.9137943218234837,0.9507179953910103,0.0,0.0,0.0,0.50723051464851,0.0,0.8390492847615232,0.5683279148244719,0.3957634918013876,0.4334576775921039,0.3948748355466103,0.0,0.4771374451886296,0.0,0.3996465184222699,21,21.0
CSO-14-9B-ERAGA,0.0,-0.9648491717226082,0.0,-0.9235010780275048,-1.0083771812820859,-0.855041275162683,0.0,0.0,0.0,-0.8076519788215082,-0.9607540518389681,-0.8347017903241074,-0.8769792590756504,0.0,-0.9208318502455854,-0.9673123634992986,6,6.0
CSO-14-9B-MFEGA,1.1410408520190898,0.0,0.9960167025559776,1.3991557021644199,0.0,1.1960353471965581,0.0,1.47195106715046,0.0,1.1223739620093391,1.4601628250753125,0.8142429367057815,0.0,1.3920958232686158,0.0,0.8869247818544472,27,27.0
CSO-15-10A-LJRAGU,-0.32700545068448605,0.06332652737115119,0.32099944476394254,0.0,0.44579063918102924,-0.20612463346295903,0.0,0.0,0.0,0.6012315706961638,0.1488298857243848,0.7883212776133119,0.20809111639183073,-0.1634603775943683,0.0,0.0,17,17.0
CSO-15-10A-MAARLO,-0.3901212548717627,-0.24844514240002002,-0.1439286044348922,0.0,0.0,-0.2234038568389133,-0.057726441456949856,0.14151760889408926,0.0,-0.18982246433428543,0.0,0.0,0.0,0.20078258320014938,-0.1659534321581319,-0.04289899559928224,14,14.0
CSO-15-10A-SFEGA,0.0,0.0,0.0,0.0,0.0,-0.7016673573423677,0.0,-2.4125254063660786,-1.3211993303643486,-0.7829868942453967,-0.7919506137153024,-0.8686925424213382,-0.7433852188694678,-0.9318861668785071,-0.6969038978247263,-0.8688025719724662,5,5.0
