subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30
CDMS-12-5A-SRIGO,23.392473118279568,1.543010752688172,1.3602150537634408,0.1559139784946236,0.7956989247311828,23.392473118279568,2.4922185657635083,10.155913978494624,4.241329461907327,0.8853586242742425,-0.6275858619911502,0.2374317562561943,-0.4033909425727202,-1.129727948605422,0.9222456278878128,1.0760821797397415
CDMS-12-6A-FAROPA,23.153374233128837,0.6319018404907976,0.3435582822085889,1.3987730061349692,0.3435582822085889,23.153374233128837,2.520121059097067,8.63803680981595,3.764499479612744,-0.6057166115569351,0.8002483867900487,-0.5871008631511165,-0.0327296064018566,-0.3838474131344542,0.0019348685729067,0.0745634956256332
CDMS-12-6A-JGIGA,23.991304347826087,0.7565217391304347,0.2695652173913043,0.1478260869565217,0.2695652173913043,23.991304347826087,2.438263706445778,9.62608695652174,4.046285960818082,-0.4357437416856682,-0.6125180999954235,-0.4302341023152805,-0.2836197107709643,0.2599324169602038,0.1274462119730709,0.1125152476283979
CDMS-12-6A-SROAL,21.93877551020408,1.8979591836734693,0.0816326530612244,0.4285714285714285,0.0816326530612244,21.93877551020408,2.6617916662020717,8.183673469387756,3.51994238864598,-0.8858708719916498,-0.4261468501722394,-0.8959256133490113,-0.3430500889064029,-0.5388151922751739,0.563479276037976,0.4772604444818823
CDMS-12-6B-IJDAGA,22.478048780487804,1.380487804878049,1.5902439024390245,1.497560975609756,1.068292682926829,22.478048780487804,2.604026159423626,9.546341463414636,4.097145333612334,0.8273492239244176,1.0791243712375265,0.328405313581668,-0.8975924804434747,-1.6889107223799902,1.2218120149951024,1.684488014171316
CDMS-12-6B-SCLAG,18.508196721311474,2.377049180327869,3.065573770491804,1.3442622950819672,2.1639344262295084,18.34426229508197,3.129808630383416,6.557377049180328,3.0385883746653684,0.8283200029286132,-0.0634391512290854,0.3898082011076533,-0.5695858767439994,-1.462463631641532,0.989134656915686,1.5492591649309513
CDMS-12-7C-ARAHE,21.125,2.125,2.0,0.0,1.0,21.125,2.653030303030303,7.125,3.343386876281613,1.551685569399334,-0.9513486169002676,0.3574403341267112,0.4919229657586873,-1.3921725107647205,-0.0998575742331217,0.2161848382351647
CDMS-12-7C-CATRAR,23.710526315789476,0.2105263157894736,0.0,0.0,0.0,23.710526315789476,2.451536979420274,8.5,3.604734209345193,-0.8500002722398029,-0.8001216524604174,-0.8664040066193524,0.1556361341599436,1.1738772697191404,-0.3108183078061073,-0.554444427678677
CDMS-12-7C-DLOLO,23.27659574468085,1.0,1.0212765957446808,0.0,1.0212765957446808,23.27659574468085,2.5170533516231943,9.595744680851064,4.081972638246556,0.5019766776242911,-0.7781977396967321,0.5363071089501364,-0.4285980606257257,-0.6456011174545273,0.6111409247863585,0.6550099426760654
CDMS-12-7C-JSZAOR,21.42105263157895,1.6973684210526316,0.7368421052631579,2.289473684210526,0.4078947368421052,21.34210526315789,2.6865604401753984,10.0,4.114444575734666,-0.2516662235808981,1.9683678209051172,-0.574907155743629,-0.9969162756187698,-1.8941417620162724,2.1531610749707086,2.675398171736987
