feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
l3,raw,6,T6W200,248,0.0444915115912464,0.4855157417795912,0.0458712209151386,0.47297696016968604,-0.19601184194056373,0.0019264508740011524,-0.1818665030469408,0.004134523266114573,0.0444915115912464,0.0458712209151386,0.19601184194056373,0.1818665030469408
lcc,raw,6,T6W200,248,-0.08823806588335531,0.16597368436393886,-0.08992541951287394,0.15884224058800925,0.1426318450094771,0.024683653497031097,0.12747353956429572,0.04534782588894346,0.08823806588335531,0.08992541951287394,0.1426318450094771,0.12747353956429572
lsc,raw,6,T6W200,248,-0.090859984834178,0.1536986570552683,-0.092321483622889,0.14798731126105932,0.13750962452232285,0.030398579847043028,0.12398277896132336,0.051633888945572186,0.090859984834178,0.092321483622889,0.13750962452232285,0.12398277896132336
atd,raw,6,T6W200,248,0.09013077716081508,0.15704157763349325,0.09183352579628405,0.15015095256752292,-0.13661428997374514,0.031505564467883385,-0.12133030210042173,0.056881081780022026,0.09013077716081508,0.09183352579628405,0.13661428997374514,0.12133030210042173
density,raw,6,T6W200,248,0.0953738275811717,0.13419123623761528,0.09696397723528066,0.12857088434541408,-0.12537905452564405,0.0485770009892905,-0.11091057199334373,0.08192479780962088,0.0953738275811717,0.09696397723528066,0.12537905452564405,0.11091057199334373
diameter,raw,6,T6W200,248,-0.08185231203641126,0.19891251159810075,-0.08218505469618392,0.1980014797772819,0.10169202734388705,0.11015407028465994,0.09812615780713847,0.12403272743122408,0.08185231203641126,0.08218505469618392,0.10169202734388705,0.09812615780713847
asp,raw,6,T6W200,248,-0.10138270355481711,0.11124623765071946,-0.10315625056125362,0.10580891624414746,0.1139544902258668,0.07324028284109475,0.0983041000339113,0.12334899090932093,0.10138270355481711,0.10315625056125362,0.1139544902258668,0.0983041000339113
cc,raw,6,T6W200,248,0.07949072372815535,0.21222454159588328,0.08048394561693777,0.2074767590654358,-0.11323138129236424,0.0750940513165224,-0.10275181303236885,0.10719134911545213,0.07949072372815535,0.08048394561693777,0.11323138129236424,0.10275181303236885
nodes,raw,6,T6W30,252,-0.11007982067604825,0.08114527812068482,-0.11296832276808452,0.07401115842078682,0.14563767907280115,0.020734910107708057,0.12614078828737232,0.04588473517977662,0.11007982067604825,0.11296832276808452,0.14563767907280115,0.12614078828737232
edges,raw,6,T6W30,252,-0.03904499487286788,0.5372519682531418,-0.03931513980385656,0.5352580167095027,0.025381667828863322,0.688432711581366,0.022233076304666446,0.7259460065174206,0.03904499487286788,0.03931513980385656,0.025381667828863322,0.022233076304666446
