subject,edges_T2W20,l1_T2W20,lcc_T2W20,z_l3_T2W20,z_asp_T2W20
CSO-16-10A-SMOUT,-2.8808907951469713,-0.9475782693391982,-3.3664068522697237,-1.1048784988361544,-1.1594940920983172
CSO-16-10A-YKMUJO,0.5283025107261066,-0.9475782693391982,0.07665646391245005,-1.423528575223492,-1.0289783868722602
CSO-16-10B-JESUGU,0.12458225082008482,-0.09022425039052545,0.35611880029248794,-0.2940299827085691,-0.27560341753877504
CSO-16-10B-LTVIFA,0.5283025107261066,-0.9475782693391982,1.0321887843153157,1.9120772279503302,-0.4002260416234213
CSO-16-10B-VVILI,0.5283025107261066,-0.3077750634674238,1.1404141411264836,-1.0372093126316608,-0.7410517212962582
CSO-16-10C-ACALGU,-0.19543685029722271,-0.717034656050207,0.2129236261871443,0.5460301623654995,-0.4664713381996312
CSO-16-10C-MAVAVE,0.5283025107261066,-0.9475782693391982,0.752231710116872,-0.5175268800343903,-1.3733268822033613
CSO-16-11A-JAVABO,0.5283025107261066,-0.5421450799341371,0.3532077342885303,0.4694754927318436,-0.8678270622923592
CSO-16-11A-JDMUVA,0.5283025107261066,-0.41851023371446183,1.202007402596646,-0.9555604153222678,-0.41766629976045283
CSO-16-11A-VZAOR,0.5283025107261066,-0.6349471573791268,1.0584134737475281,1.1535416041410846,0.16512992659800646
CSO-16-11B-KRORE,0.5283025107261066,-0.6200599615715043,0.3176511423830332,0.028403113583168414,-1.3610037234123122
CSO-16-11B-LLOZA,0.13333499358227024,-0.9475782693391982,0.8628040386034739,0.5494444645299543,-0.20982070897134905
CSO-16-11B-YAROMO,0.2660568718127938,-0.6134300363130489,0.5005524597196703,0.07308546419715639,0.016212175683486218
CSO-16-9A-JALEMO,0.5283025107261066,-0.34950135950253947,0.8990958940743529,0.14508694102452882,-0.1642967991808929
CSO-16-9A-JPROSO,0.5283025107261066,-0.11008386325882787,0.637727431099173,0.13330867131083707,0.22989475138082804
CSO-16-9A-JSMAGU,0.5283025107261066,-0.42890041508965293,0.12866461326675943,-0.545279844716025,-0.10701579067715648
CSO-16-9B-SJPAJI,0.22749133667847707,0.3939286073687253,-0.9384493755856264,-0.3237442123408008,-1.0847937251911566
CSO-17-10A-YVGOCA,-0.023184641694533395,-0.3407061108284711,0.9282716994529036,-0.8947589114621771,-1.3914129142934997
CSO-17-10B-EHECO,-0.18350708061002804,-0.9475782693391982,0.8297268463211559,0.6007585063542865,-1.3571198244721299
CSO-17-10B-YCQUVE,-1.3881079274865673,-0.060800266308263365,0.08843852986930183,-0.5291861213127524,0.1117120138600501
CSO-17-11A-DJAPA,-1.3656937703144976,0.09818194142782483,-1.8069649665379486,-0.8936679912581762,-0.32708069562318726
CSO-17-11A-JDAMO,0.5283025107261066,-0.9475782693391982,0.2300641497437102,-0.9224249311402826,-1.6447730721252622
CSO-17-11A-NPAHE,0.5283025107261066,-0.22858345068982844,-0.22659630843097195,-0.2744119236142846,0.49725177171200763
CSO-17-11A-RLPAIG,0.5283025107261066,0.010640928309318504,-0.22266961696518656,0.8648262546296565,-0.34881218156318344
CSO-17-11A-SPUVA,0.5283025107261066,1.283086961943475,-0.26641659852706256,0.10891137446318185,2.627220416661387
CSO-17-11B-CDBEBU,-1.0710721265970669,-0.9475782693391982,-0.2961756191130782,0.14674720064713767,0.786484661007208
CSO-17-11C-JDAAG,0.5283025107261066,-0.9475782693391982,0.9655712615498458,-0.07203799056731976,-0.31622627693556987
CSO-17-11C-MAPAMA,0.137439583938115,-0.42188009381398234,0.6008708464851945,-0.12576286053102517,-0.10194308100960998
CSO-17-11C-MCAAG,0.5283025107261066,-0.7491777559799221,1.280452234097555,0.03959342921353639,0.2587922622835947
CSO-17-11C-SARJA,0.5283025107261066,-0.9475782693391982,0.7104575720858254,-0.30683455090864814,-0.8144157543633365
CSO-18-11A-ADBAHO,0.5283025107261066,-0.5724209349871124,1.034529500396868,0.4155334240357481,-0.37316528796415877
CSO-18-11B-YLLRE,0.5283025107261066,-0.7770522082700685,0.8555711163435864,1.2099314556791267,-0.18016437829196105
