run_name,target,window,feature_type,covariates,n_subjects,n_candidate_predictors,n_selected_per_split,predictors,n_iter,alpha_mean,alpha_std,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,rmse_mean,rmse_std,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_std,mae_ci_lower,mae_ci_upper,rho_mean,rho_std,rho_ci_lower,rho_ci_upper,frac_r2_below_zero
W20_raw_top5,MOT,T2W20,raw,,237,13,5,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,281.94724776606466,308.47956864684704,-0.0131495850043127,0.0642751861385081,-0.0194676021483172,-0.0068315678603083,7.738172355627478,0.5375791884524048,7.685330275612599,7.791014435642357,6.605256642324323,0.4373655327036121,6.562265200372473,6.648248084276173,0.0499608163991027,0.1952085104053913,0.030772529449002,0.0691491033492034,0.5375
W20_raw_top5,COG,T2W20,raw,,237,13,5,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,342.51009280689925,290.9550374267984,-0.0135151872108015,0.0542876965095913,-0.0188514704308452,-0.0081789039907577,2.1923080168204887,0.2749970224987633,2.165276809179124,2.2193392244618533,1.7230383230058248,0.1807275323397614,1.7052734635582667,1.740803182453383,0.0727030238062424,0.1889470706773049,0.0541302136198021,0.0912758339926827,0.5675
W20_raw_top5,MOT_V4,T2W20,raw,,237,13,5,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,263.05539446325224,282.3021035667183,-0.0107186669024588,0.0615950782019643,-0.01677323917904,-0.0046640946258777,3.5381404902077565,0.2592631668656054,3.512655863379357,3.5636251170361555,2.9202568003435907,0.1906721533864702,2.901514420797867,2.9389991798893145,0.0559673226428781,0.2023705196611763,0.0360750362182981,0.075859609067458,0.51
W20_raw_top5,COG_V1,T2W20,raw,,237,13,5,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,105.2092490902348,81.2940569839804,0.0250737959495724,0.0766907267020383,0.0175353763011952,0.0326122155979497,1.3080663907242294,0.1141945289751626,1.2968414836463744,1.3192912978020843,1.0095224132936784,0.0849225555110124,1.0011748347977556,1.0178699917896012,0.170106357032802,0.2029604215207957,0.150156085399835,0.190056628665769,0.32
W20_z_all,MOT,T2W20,z,,237,13,13,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,426.8346499354212,333.5178306158458,-0.0020122005778071,0.0548463052477071,-0.0074033930061509,0.0033789918505366,7.697956385835571,0.5440389424855168,7.644479335481761,7.751433436189381,6.568677513655889,0.4508140620164111,6.524364130160737,6.6129908971510405,0.0992923738026282,0.1945416661679339,0.0801696352169548,0.1184151123883017,0.4175
W20_z_all,COG,T2W20,z,,237,13,13,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,864.4226555548553,284.1350933785833,-0.0158319954939578,0.0435926449072542,-0.0201169940201857,-0.01154699696773,2.194178115738581,0.2648388737977664,2.1681454171875822,2.22021081428958,1.725182648859929,0.1755974292832396,1.707922059893856,1.7424432378260015,0.0448187615860958,0.1895841851178617,0.0261833253661897,0.0634541978060019,0.6775
W20_z_all,MOT_V4,T2W20,z,,237,13,13,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,437.7956367675536,371.958851625741,-0.0136084187691942,0.0683819597011946,-0.0203301168254512,-0.0068867207129371,3.5430397333534285,0.2669051399846626,3.516803928347557,3.5692755383593,2.9344156000095825,0.1953655145368369,2.9152118801241027,2.953619319895062,0.0570307349465556,0.2070738287076916,0.0366761303401908,0.0773853395529204,0.465
W20_z_all,COG_V1,T2W20,z,,237,13,13,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,941.0591810075427,209.05240705931865,-0.0158793521827702,0.0416493113167923,-0.0199733280814696,-0.0117853762840707,1.336143801022051,0.1095131339324706,1.3253790580590668,1.3469085439850352,1.0106742879112276,0.0779002916060491,1.0030169724298013,1.018331603392654,-0.0657809278845167,0.2093108141394175,-0.0863554200269219,-0.0452064357421115,0.685
W20_z_top5,MOT,T2W20,z,,237,13,5,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,273.3497025216,242.23903414120048,0.0050627528800221,0.0555123358934083,-0.0003939079396368,0.0105194136996811,7.670327209739975,0.5402920389482159,7.617218466383123,7.7234359530968275,6.544559097686741,0.4516008130027257,6.500168379429635,6.588949815943847,0.0964349091227447,0.1903697683139993,0.0777222529304134,0.115147565315076,0.4075
W20_z_top5,COG,T2W20,z,,237,13,5,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,630.0420287774083,373.72086205244017,-0.0176406902875392,0.0399064549537202,-0.0215633497413869,-0.0137180308336914,2.1964314557296456,0.2668973717980684,2.1701964143082773,2.222666497151014,1.7302023102608624,0.1771060317785494,1.7127934311535782,1.7476111893681463,0.0336920533732361,0.1835181524636492,0.0156528861119732,0.051731220634499,0.6675
W20_z_top5,MOT_V4,T2W20,z,,237,13,5,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,308.5856414308021,267.05437950322795,-0.0098295852583078,0.0574362136217842,-0.0154753562649782,-0.0041838142516374,3.537472092844461,0.2665811080794822,3.5112681389969467,3.563676046691976,2.932414553207588,0.19753522731159,2.9129975584436982,2.9518315479714774,0.0441605807242478,0.2058726407353161,0.0239240485290042,0.0643971129194913,0.495
W20_z_top5,COG_V1,T2W20,z,,237,13,5,"z_nodes_T2W20, z_edges_T2W20, z_re_T2W20, z_pe_T2W20, z_l1_T2W20, z_l2_T2W20, z_l3_T2W20, z_lcc_T2W20, z_lsc_T2W20, z_atd_T2W20, z_density_T2W20, z_diameter_T2W20, z_asp_T2W20",400,774.3175517452357,340.30939888081514,-0.0202670371809503,0.0382270402218574,-0.0240246162716711,-0.0165094580902296,1.3390872822205155,0.1097793443639916,1.3282963717398422,1.349878192701189,1.015254620095687,0.0792866416770893,1.0074610314419423,1.0230482087494313,-0.0928245342600013,0.201722590890255,-0.112653131641753,-0.0729959368782497,0.775
