subject,nodes_T2W20,re_T2W20,pe_T2W20,l1_T2W20,l2_T2W20,l3_T2W20,lsc_T2W20,asp_T2W20
CDMS-13-7C-SSOSLO,16.389830508474578,0.4915254237288136,1.0169491525423728,0.0508474576271186,0.7203389830508474,1.0677966101694916,6.906779661016949,4.37525776167417
CDMS-14-10A-IMORTO,17.3,0.2666666666666666,0.3,0.0,0.3,0.5666666666666667,11.366666666666667,3.897675315740331
CDMS-14-10A-JCVANI,16.296803652968038,0.6255707762557078,0.410958904109589,0.3470319634703196,0.2557077625570776,1.0684931506849316,9.844748858447488,3.8134731729010536
CDMS-14-6B-KDCAHE,15.0,0.1607142857142857,0.25,1.0,0.25,1.5,8.910714285714286,2.947131052304372
CDMS-15-10A-AMALOS,17.226993865030675,0.3251533742331288,0.4110429447852761,0.5153374233128835,0.3067484662576687,0.4355828220858895,8.343558282208589,4.518875627960796
CDMS-15-10A-JJMACH,17.7020202020202,0.4545454545454545,0.2828282828282828,0.0959595959595959,0.2777777777777778,0.3333333333333333,9.5,4.565563300457521
CDMS-15-10A-MAALCA,16.788990825688074,0.1926605504587156,1.2477064220183487,0.2477064220183486,1.091743119266055,0.3119266055045872,9.8348623853211,4.074051266930524
CDMS-15-10A-MAALRI,16.758823529411764,0.4411764705882353,0.2941176470588235,0.7823529411764706,0.2941176470588235,0.4411764705882353,8.476470588235294,4.271648901140342
CDMS-15-10A-SGOMO,16.552447552447553,0.3986013986013986,0.965034965034965,0.2657342657342657,0.6433566433566433,0.2237762237762237,10.895104895104897,3.751752773436508
CDMS-15-10A-SHEGA,15.543010752688172,1.021505376344086,0.8602150537634409,0.6559139784946236,0.4139784946236559,0.6989247311827957,10.419354838709678,3.630813894096627
CDMS-15-11B-JEMOLO,15.533333333333331,1.2444444444444445,0.1444444444444444,0.9222222222222224,0.0777777777777777,1.1555555555555554,9.066666666666666,3.761814862697215
CDMS-15-11B-VSAHO,17.03676470588235,0.3014705882352941,0.4411764705882353,0.6323529411764706,0.4411764705882353,0.1544117647058823,8.507352941176471,4.374004316142588
CDMS-16-10A-SGALO,18.121951219512194,0.024390243902439,0.0,0.0,0.0,0.3902439024390244,9.975609756097562,4.5418084606542655
CDMS-16-11B-NGABE,16.93243243243243,0.2972972972972973,0.6081081081081081,0.3581081081081081,0.6081081081081081,0.7297297297297297,9.93918918918919,4.124014834076754
CDMS-17-10A-ASSAMO,17.25974025974026,0.4805194805194805,0.0,0.0,0.0,0.6428571428571429,9.467532467532468,4.330530136235576
CDMS-18-7C-VVECA,16.529761904761905,1.0416666666666667,0.1071428571428571,0.2261904761904762,0.1071428571428571,1.6785714285714286,9.470238095238097,4.189491094305059
CDMS-8-4A-DJAVDA,14.52777777777778,0.9166666666666666,0.0,1.3333333333333333,0.0,0.0,11.5,2.8148328523328523
CDMS-8-4A-DOSTR,14.935185185185183,1.1111111111111112,0.4259259259259259,1.1574074074074074,0.4259259259259259,0.8148148148148148,9.26851851851852,3.460555003625609
CDMS-8-4A-LGOPA,15.526315789473683,0.5394736842105263,0.5921052631578947,0.3421052631578947,0.5921052631578947,0.4473684210526316,10.11842105263158,3.34675058773356
CDMS-8-4C-JDBUTU,12.758620689655173,1.896551724137931,1.3793103448275863,3.2413793103448274,0.896551724137931,1.2758620689655171,5.0,2.749802113595217
CDMS-9-4A-ACDUTR,13.93103448275862,1.5172413793103448,1.137931034482759,2.0,1.137931034482759,0.0,9.96551724137931,3.060143220538758
CDMS-9-4A-CARGA,15.5929203539823,0.7522123893805309,0.4778761061946903,0.1946902654867256,0.4778761061946903,0.5575221238938053,11.601769911504425,3.269977747760701
CDMS-9-4A-CRAAG,15.0,1.8571428571428568,2.085714285714286,1.1142857142857143,0.7428571428571429,0.0,10.0,3.572846933645253
CDMS-9-4A-EROHI,16.884615384615383,0.6923076923076923,0.2307692307692307,0.7307692307692307,0.2307692307692307,0.1923076923076923,9.76923076923077,4.451554083171731
CDMS-9-4A-ILOSE,17.229813664596275,0.5031055900621118,0.1118012422360248,0.0,0.1118012422360248,0.3726708074534161,10.322981366459627,4.07367300587163
CDMS-9-4A-TGAFR,15.797297297297296,0.1351351351351351,0.5,0.9594594594594594,0.5,0.7432432432432432,9.04054054054054,3.2626825722413955
CDMS-9-4C-SCAMO,17.222857142857144,0.4628571428571428,0.2057142857142857,0.1085714285714285,0.2057142857142857,0.3657142857142857,9.93142857142857,4.153496850439353
CDMS-9-5A-ABERO,14.87434554973822,0.9424083769633508,1.3403141361256543,1.5026178010471205,1.0732984293193717,0.7696335078534031,8.026178010471204,3.851615995987724
CDMS-9-5A-VVAAR,17.44,0.04,0.1,0.36,0.06,0.34,8.56,4.411534571723426
CDMS-9-5C-JDMADE,16.28310502283105,0.9954337899543378,0.7442922374429224,0.954337899543379,0.3972602739726027,0.8401826484018264,9.136986301369864,3.9867152052497055
CDMS-9-5C-LVIZAC,14.737704918032788,1.4098360655737705,1.005464480874317,1.2513661202185793,0.6502732240437158,1.7486338797814207,8.21311475409836,3.761691796626832
CDMS-9-5C-MLOGO,15.36697247706422,0.8440366972477065,0.4770642201834862,0.6972477064220184,0.3394495412844037,1.6788990825688073,9.34862385321101,3.5145971920512493
CDMS-9-5C-SCAAG,11.133333333333333,4.933333333333334,9.333333333333334,0.1333333333333333,3.0,7.133333333333334,7.2,2.618003848003848
CDMS-XX-10A-VGILO,17.603448275862068,0.1810344827586207,0.1551724137931034,0.2672413793103448,0.1551724137931034,0.1120689655172413,11.301724137931034,4.160265934867595
CDMS-XX-5C-MPCAQU,16.3121387283237,0.4913294797687861,0.5202312138728323,0.3294797687861271,0.5202312138728323,0.4913294797687861,10.179190751445086,3.8059729917256897
CDMS-XX-6B-SPUCA,16.70056497175141,0.6892655367231638,0.7740112994350282,0.03954802259887,0.559322033898305,0.0451977401129943,10.80225988700565,3.927197255992449
CSO-10-4A-KCOMO,17.463917525773194,0.2783505154639175,0.1855670103092783,0.1958762886597938,0.1855670103092783,0.1752577319587628,9.556701030927837,4.304837425739248
CSO-10-4A-LRAVI,17.676470588235293,0.088235294117647,0.5294117647058824,0.0,0.5294117647058824,0.0,10.0,4.391499618423221
CSO-10-4A-LSCAVA,17.142857142857142,0.3131868131868132,0.3571428571428571,0.1043956043956044,0.3571428571428571,0.6868131868131868,9.56043956043956,4.226703297326405
CSO-10-5A-ACAVA,16.048780487804876,0.3048780487804878,0.3902439024390244,0.7560975609756098,0.3902439024390244,0.4146341463414634,8.024390243902438,3.888026250893426
CSO-10-5A-ARACA,15.08783783783784,1.3243243243243243,0.8243243243243243,0.5135135135135135,0.5,1.5202702702702702,10.533783783783784,3.3057117996939978
CSO-10-5A-DABRZA,15.265536723163844,1.2372881355932204,1.305084745762712,1.1299435028248588,0.9152542372881356,1.4350282485875707,8.932203389830509,3.815037760181277
CSO-10-5A-GZAMA,16.23076923076923,0.8205128205128205,0.0,0.141025641025641,0.0,0.3717948717948718,12.012820512820513,3.528917216563084
CSO-10-5A-IPECA,17.528,0.128,0.144,0.304,0.144,0.336,10.232,4.21813230134159
CSO-10-5A-JANORO,17.24375,0.7125,0.225,0.0,0.225,0.56875,9.0125,4.387500644565273
CSO-10-5A-JBUVE,17.236363636363638,0.2727272727272727,0.8181818181818182,0.7818181818181819,0.6636363636363637,0.3,8.172727272727272,4.777823245725723
CSO-10-5A-JJSEMO,15.30952380952381,0.7142857142857143,1.0714285714285714,0.8809523809523809,0.9523809523809524,0.4047619047619047,8.642857142857142,3.366961462129529
CSO-10-5A-JLCARI,16.176470588235293,0.5882352941176471,1.4019607843137254,0.4215686274509804,1.068627450980392,0.4705882352941176,8.568627450980392,4.137739186439332
CSO-10-5A-MAARAN,16.197674418604652,0.4767441860465116,0.2093023255813953,0.0697674418604651,0.2093023255813953,1.1046511627906976,12.453488372093023,3.27254091857375
CSO-10-5A-RVMOIB,17.10362694300518,0.4093264248704663,0.4611398963730569,0.155440414507772,0.3730569948186528,0.3005181347150259,8.854922279792746,4.251263479921303
CSO-10-5A-SVHEES,16.1731843575419,0.3519553072625698,0.6815642458100558,0.9553072625698324,0.6033519553072626,0.1620111731843575,9.027932960893857,3.952485555399491
CSO-11-5A-MDVOSPE,16.642857142857142,0.6928571428571428,0.5714285714285714,0.1357142857142857,0.3928571428571428,1.2357142857142858,9.785714285714286,4.150344515980849
CSO-11-5A-MTAGA,17.040816326530614,0.0612244897959183,0.0,0.5510204081632653,0.0,0.4387755102040816,8.418367346938776,4.0214728709192284
CSO-11-6A-CAPAMU,16.166666666666668,0.5637254901960784,0.6813725490196079,0.1862745098039215,0.5637254901960784,0.6862745098039216,9.926470588235292,3.6933744120162806
CSO-11-6A-DSCACH,17.42105263157895,0.3486842105263157,0.1842105263157894,0.125,0.1842105263157894,0.1118421052631579,9.171052631578949,4.3155931021638
CSO-11-6A-EROMO,17.5,0.4817073170731707,0.3353658536585366,0.1158536585365853,0.3353658536585366,0.0,10.158536585365852,4.221421501436887
CSO-11-6A-FSOVRE,16.380281690140844,0.6901408450704225,0.9859154929577464,0.2676056338028169,0.6549295774647887,0.380281690140845,8.21830985915493,3.918321549306375
CSO-11-6B-ANREVA,16.70408163265306,0.2142857142857142,0.3469387755102041,0.3877551020408163,0.3469387755102041,0.0,12.714285714285714,3.4853434356198623
CSO-11-6B-DISEMO,16.91304347826087,0.4347826086956521,0.0,0.3043478260869565,0.0,0.0,5.739130434782608,4.1764587172448255
CSO-11-6B-LHFDLACH,16.441558441558442,0.922077922077922,0.7857142857142857,0.2467532467532467,0.564935064935065,0.461038961038961,8.415584415584416,4.294629599478117
CSO-11-6B-RJGIHE,16.1864406779661,0.0169491525423728,0.0338983050847457,1.4576271186440677,0.0338983050847457,0.5423728813559322,10.847457627118644,3.6652913664379274
CSO-11-6B-SFLVA,17.12727272727273,0.5454545454545454,0.8545454545454545,0.0,0.5818181818181818,0.2181818181818181,8.581818181818182,4.630349447594029
CSO-11-6B-VCOMA,16.86263736263736,0.7032967032967034,0.4835164835164835,0.2087912087912088,0.2692307692307692,0.510989010989011,9.21978021978022,4.237662091723433
CSO-12-6A-DGISE,16.433333333333334,0.0,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.5,8.333333333333334,3.779815299080005
CSO-12-6A-FJOVRE,15.114093959731544,0.9194630872483222,0.8859060402684564,1.308724832214765,0.6577181208053692,0.4697986577181208,8.308724832214764,3.731196440967463
CSO-12-6B-GQULO,16.830188679245282,0.2452830188679245,0.4528301886792453,0.4716981132075472,0.4528301886792453,0.6289308176100629,9.345911949685537,4.180925128519906
CSO-12-6B-LJHEFE,16.282296650717704,0.6650717703349283,0.7751196172248804,0.569377990430622,0.4401913875598086,0.5358851674641149,7.612440191387559,4.21590957761466
CSO-12-6B-VPAMA,18.125,0.0,0.0,1.0,0.0,0.0,8.875,5.002450980392157
CSO-12-7A-DALRE,12.568181818181818,2.863636363636364,0.2045454545454545,0.0,0.2045454545454545,1.5909090909090908,10.727272727272728,2.458114234250598
CSO-12-7A-ESALA,18.095744680851062,0.1595744680851064,0.0425531914893617,0.202127659574468,0.0425531914893617,0.0319148936170212,10.159574468085106,4.5934096034830505
CSO-12-7A-IMERO,15.924137931034483,0.6344827586206897,0.3862068965517241,0.5241379310344828,0.3862068965517241,0.8137931034482758,8.951724137931034,3.8432403093863536
CSO-12-7A-JHEZA,16.28358208955224,0.9054726368159204,0.6169154228855721,0.1890547263681592,0.5323383084577115,1.845771144278607,9.467661691542288,4.078084486345427
CSO-12-7A-LSARAR,17.566666666666666,0.3166666666666666,0.0,0.6833333333333333,0.0,0.0,8.6,4.5051505507736165
CSO-12-7A-SCAHO,16.820224719101123,0.6235955056179775,0.2303370786516854,0.1910112359550561,0.2078651685393258,0.5224719101123596,9.325842696629213,4.035006875272816
CSO-12-7B-DVAGRO,16.00793650793651,0.5873015873015873,1.3333333333333333,0.9603174603174603,0.5873015873015873,0.8333333333333334,9.373015873015872,4.036934793751468
CSO-12-7B-SMUGU,16.307692307692307,0.7802197802197802,0.3406593406593406,0.4175824175824176,0.1758241758241758,0.2967032967032967,9.516483516483516,3.666579602972622
CSO-12-7B-SSARA,16.970443349753694,0.5320197044334976,0.7093596059113301,0.1231527093596059,0.458128078817734,0.4187192118226601,9.600985221674875,4.17527559071467
CSO-12-7B-VHOMA,16.878260869565217,0.2782608695652174,0.6260869565217392,0.217391304347826,0.6260869565217392,0.6521739130434783,9.582608695652176,4.158196501155177
CSO-12-8A-YTOME,16.666666666666668,0.3157894736842105,1.1228070175438596,0.3333333333333333,0.956140350877193,0.8070175438596491,9.771929824561404,4.089218023194315
CSO-13-6A-ANASA,17.63586956521739,0.108695652173913,0.1956521739130435,0.1032608695652173,0.1032608695652173,0.4239130434782608,9.152173913043478,4.349657685347213
CSO-13-6B-JETAVE,16.451219512195124,0.7621951219512195,0.7682926829268293,0.1158536585365853,0.5609756097560976,0.4329268292682927,9.573170731707316,3.860129669972606
CSO-13-6B-LFMIES,17.625,0.0178571428571428,0.4464285714285714,0.0,0.4464285714285714,0.1607142857142857,7.142857142857143,4.01279770910327
CSO-13-6B-LJMAHU,16.58823529411765,0.3529411764705882,0.9215686274509804,0.7450980392156863,0.9215686274509804,0.0,8.72549019607843,3.714678260353001
CSO-13-7A-CAPAMU,16.35,0.3857142857142857,0.6142857142857143,0.1785714285714285,0.4928571428571429,0.6,9.95,3.848746146231772
CSO-13-7A-CDDITR,16.37837837837838,0.1756756756756756,0.4864864864864865,0.0,0.4864864864864865,0.6351351351351351,11.972972972972974,3.3285380556278388
CSO-13-7A-JJATFL,16.833333333333332,0.6904761904761905,0.2142857142857142,0.0,0.1428571428571428,0.7380952380952381,10.761904761904765,3.782243772452751
