subject,re_T6W40,pe_T6W40,l2_T6W40,l3_T6W40,lcc_T6W40,y_true,y_pred
CDMS-8-4A-DOSTR,-0.13073555337766646,0.1833170717901363,0.1906339637175862,-0.33176672647010547,-0.03076660344608839,9,7.984677773450864
CDMS-8-4A-LGOPA,-0.12039476731681026,-0.6576702798240319,0.12774560599017537,-0.49583034785240543,-0.0545844930315507,8,6.903261339202374
CDMS-8-4C-JDBUTU,-0.10363877540695557,-0.571362383696268,0.09980236041525392,-0.15342358665075376,-0.04248716300408197,6,7.332886072894192
CDMS-9-4A-ACDUTR,0.14142944770053228,0.17186027211879176,-0.025222096235867186,-0.16968340812675725,-0.02092355460395271,7,8.20145628208975
CDMS-9-4A-CARGA,0.11839858335795718,0.1470130535694254,-0.039410522200712214,-0.15062274968110184,0.047316569713186415,8,8.226690555995754
CDMS-9-4A-CRAAG,-1.1575711945407459,-0.649393840025444,0.08266380926161596,-0.4999474185827587,-0.06755436504625666,4,5.812192612303407
CDMS-9-4A-EROHI,0.06883353719658328,0.1069268175718511,-0.02156134740556756,0.07095547512059162,0.07178894232228422,5,8.400939046042742
CDMS-9-4A-ILOSE,-0.09319139694563595,0.17657906574433024,-0.0691389143315418,-0.374637847013276,0.04027084538352674,7,7.783877374074404
CDMS-9-4A-TGAFR,-1.120396658795602,-0.7295674212668358,0.1403615517724248,-0.5014708460416155,-0.04633087404355499,6,5.8465913728618135
CDMS-9-4C-SCAMO,-0.1169192290508687,-0.7246364692294334,-0.9845071582779563,0.4117232055440249,-1.0137784372025276,2,5.6758775330202385
CDMS-9-5A-ABERO,-0.1262512280629855,-0.47992512772677465,0.09050249037773683,0.576686917908914,0.03311899090386936,8,8.198127664637761
CDMS-9-5A-PAGACO,0.11903187333869157,0.14889593761767944,0.07599748467645452,-0.15272074400502197,0.04364846628880176,9,8.338848639153602
CDMS-9-5A-VVAAR,0.03926288729807887,0.17287087541306534,0.2827944353836041,-0.10834837869978718,-0.03668099967225608,11,8.453894440959704
CDMS-9-5C-JDMADE,-0.003976700588163217,-0.29173675060317283,0.12493222392628213,0.8494530685058912,0.07291346920345643,12,8.855580931681295
CDMS-9-5C-LVIZAC,0.14432161858059156,0.16419882955798223,-0.01604548276173631,-0.2919754692506653,0.05989687671874593,8,8.164391994081917
CDMS-9-5C-MLOGO,-0.21880777157818543,0.15463231218652698,-0.07570873285239058,-0.4740022486566163,-0.06576657911434185,5,7.424342601221993
CDMS-9-5C-SCAAG,0.0362496933307846,0.11547174675596322,-0.0268036467695903,-0.13054221035490388,0.050112962792418156,9,8.14848416699167
CDMS-XX-10A-VGILO,0.100235112547411,0.0618034277111289,-0.002448781512098262,0.48924337273911883,0.0979622171821077,8,8.850790969904667
CDMS-XX-5C-MJSARU,0.17869582726043962,0.15112045259367257,0.2638081032315642,-0.15416509664733077,0.06484388520469904,9,8.608298792880042
CDMS-XX-5C-MPCAQU,0.15375207428951312,0.15123565363156394,-0.01191007337109232,-0.3964853661442927,-0.04800529413375748,5,7.952582615508937
CDMS-XX-6A-MAGICA,0.17077514418055648,0.10610697545860114,-0.017063253529112733,0.31777882396924617,0.09106193916327886,7,8.77265525047957
CDMS-XX-6B-SPUCA,0.1392336259004882,-0.378174580807403,0.14529352600584805,0.4187426577486125,0.09934190421925676,10,8.528432754303802
CSO-10-4A-ICAPA,0.005186055149476315,0.15347633583305295,-0.0024868788827806113,-0.14875688447955054,-0.03397919081263683,8,8.077435058044564
CSO-10-4A-KCOMO,-0.2573303546790831,-0.5812871130291725,0.11794556001884193,-0.11968070232054874,-0.04110126009794682,7,7.22254175112909
CSO-10-4A-LRAVI,-1.1701269370382623,-0.6576394097866117,0.11130303412723278,-0.5510382657413568,-0.03778058005253115,3,5.798713462745467
CSO-10-4A-LSCAVA,0.034012001328919836,-0.5469510328786275,0.11650544044831726,-0.14422690569245952,0.07424874877555955,8,7.637583873218704
CSO-10-5A-ACAVA,0.1605868270762578,0.10904693680369427,-0.02447236669597792,0.21950858879965524,0.01570621780097524,6,8.5843718250216
