subject,nodes_T2W20,edges_T2W20,l2_T2W20,lcc_T2W20,y_true,y_pred
CSO-10-5A-JLCARI,-0.04095440420543157,0.1042059164277215,0.0,0.004841508981687476,2,2.947535771065187
CSO-10-5A-MAARAN,-0.036751843231325264,0.168328862903605,0.0,-0.011019769533489349,3,3.0
CSO-10-5A-RVMOIB,0.1428063147579668,0.061014294449145856,0.0,-0.14436591239885388,1,2.9388974466694684
CSO-10-5A-SVHEES,-0.041605729207726455,0.05262097624600133,0.0,0.010442904001419631,3,2.900900900900904
CSO-11-5A-MDVOSPE,0.051482570584484175,0.16832886290360516,0.0,-0.09925418334929896,3,3.0
CSO-11-5A-MTAGA,0.13035736374498863,-0.46570312827124205,0.0,-0.046670987908960404,3,2.497425997425996
CSO-11-6A-CAPAMU,-0.0428975237956119,0.0668008643167833,0.0,0.07479381422810913,5,2.97813990461049
CSO-11-6A-DSCACH,0.20571951429510926,0.16832886290360444,0.0,-0.2534911270599269,4,2.9999999999999964
CSO-11-6A-EROMO,0.2213667404686508,0.04203793783219331,0.0,-0.15432842135036814,3,2.9885190068116856
CSO-11-6A-FSOVRE,-0.0005594110349628756,-0.2692425112874851,0.0,0.0993428039800826,2,2.7089836315188442
CSO-11-6B-ANREVA,0.06361715414763724,0.16832886290360458,0.0,-0.111388766912455,4,2.9999999999999964
CSO-11-6B-DISEMO,0.10503301543927669,-1.490503882885663,0.0,-0.006310307796728809,2,1.4876615746180946
CSO-11-6B-LHFDLACH,0.011585530687442308,0.16832886290360477,0.0,-0.05935714345226025,2,2.9999999999999964
CSO-11-6B-RJGIHE,-0.03897835038491194,0.1683288629036051,0.0,-0.0087932623799028,6,3.0
CSO-11-6B-SFLVA,0.14749286659477912,0.16832886290360466,0.0,-0.19526447935959695,2,2.9999999999999964
CSO-11-6B-VCOMA,0.09504261414452664,0.16832886290360463,0.0,-0.14281422690934445,5,2.9999999999999964
CSO-12-6A-DGISE,0.009955329057243278,-0.9217612271864825,0.0,0.1404712563761383,2,2.108108108108109
