"target","window","set","metric","mean","std","ci_lower","ci_upper","t_critical","df","significant","run_name"
"MOT","T7W20","TEST","rho","-0.001706","0.190106","-0.020393","0.01698","1.9659","399","False","W20_z_top5"
"COG","T7W20","VALIDATION","R2","-0.014104","0.023991","-0.016463","-0.011746","1.9659","399","True","W20_z_top5"
"COG","T7W20","VALIDATION","RMSE","2.254296","0.14791","2.239757","2.268835","1.9659","399","True","W20_z_top5"
"COG","T7W20","VALIDATION","MAE","1.744282","0.091468","1.735291","1.753273","1.9659","399","True","W20_z_top5"
"COG","T7W20","VALIDATION","rho","-0.016919","0.121312","-0.028843","-0.004994","1.9659","399","True","W20_z_top5"
"COG","T7W20","TEST","R2","-0.015928","0.036787","-0.019544","-0.012312","1.9659","399","True","W20_z_top5"
"COG","T7W20","TEST","RMSE","2.216321","0.228183","2.193891","2.238751","1.9659","399","True","W20_z_top5"
"COG","T7W20","TEST","MAE","1.711594","0.143572","1.697482","1.725707","1.9659","399","True","W20_z_top5"
"COG","T7W20","TEST","rho","-0.005687","0.201363","-0.02548","0.014107","1.9659","399","False","W20_z_top5"
"MOT_V4","T7W20","VALIDATION","R2","-0.008694","0.024241","-0.011077","-0.006311","1.9659","399","True","W20_z_top5"
"MOT_V4","T7W20","VALIDATION","RMSE","3.448801","0.178938","3.431212","3.466389","1.9659","399","True","W20_z_top5"
"MOT_V4","T7W20","VALIDATION","MAE","2.856707","0.115448","2.845359","2.868055","1.9659","399","True","W20_z_top5"
"MOT_V4","T7W20","VALIDATION","rho","0.050389","0.125315","0.038071","0.062707","1.9659","399","True","W20_z_top5"
"MOT_V4","T7W20","TEST","R2","-0.008365","0.031467","-0.011458","-0.005271","1.9659","399","True","W20_z_top5"
"MOT_V4","T7W20","TEST","RMSE","3.484698","0.273312","3.457832","3.511563","1.9659","399","True","W20_z_top5"
"MOT_V4","T7W20","TEST","MAE","2.888045","0.181261","2.870228","2.905862","1.9659","399","True","W20_z_top5"
"MOT_V4","T7W20","TEST","rho","0.066142","0.192733","0.047197","0.085087","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","VALIDATION","R2","-0.018057","0.030136","-0.021019","-0.015095","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","VALIDATION","RMSE","1.347515","0.077414","1.339905","1.355124","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","VALIDATION","MAE","1.037434","0.054753","1.032051","1.042816","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","VALIDATION","rho","-0.100084","0.115294","-0.111417","-0.088751","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","TEST","R2","-0.022385","0.037421","-0.026064","-0.018707","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","TEST","RMSE","1.357893","0.114839","1.346605","1.369182","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","TEST","MAE","1.042926","0.081212","1.034943","1.050908","1.9659","399","True","W20_z_top5"
"COG_V1","T7W20","TEST","rho","-0.116879","0.171924","-0.133779","-0.09998","1.9659","399","True","W20_z_top5"
"MOT","T7W30","VALIDATION","R2","-0.008183","0.025381","-0.010678","-0.005688","1.9659","399","True","W30_raw_all"
"MOT","T7W30","VALIDATION","RMSE","7.625509","0.318911","7.594161","7.656857","1.9659","399","True","W30_raw_all"
"MOT","T7W30","VALIDATION","MAE","6.482082","0.231221","6.459353","6.50481","1.9659","399","True","W30_raw_all"
"MOT","T7W30","VALIDATION","rho","0.056636","0.117266","0.045109","0.068163","1.9659","399","True","W30_raw_all"
"MOT","T7W30","TEST","R2","-0.009481","0.035943","-0.013014","-0.005948","1.9659","399","True","W30_raw_all"
"MOT","T7W30","TEST","RMSE","7.749322","0.497237","7.700445","7.798198","1.9659","399","True","W30_raw_all"
"MOT","T7W30","TEST","MAE","6.565015","0.376823","6.527974","6.602055","1.9659","399","True","W30_raw_all"
"MOT","T7W30","TEST","rho","0.082795","0.196762","0.063454","0.102136","1.9659","399","True","W30_raw_all"
"COG","T7W30","VALIDATION","R2","-0.012075","0.037156","-0.015727","-0.008423","1.9659","399","True","W30_raw_all"
"COG","T7W30","VALIDATION","RMSE","2.251746","0.148763","2.237123","2.266369","1.9659","399","True","W30_raw_all"
"COG","T7W30","VALIDATION","MAE","1.746393","0.095163","1.737039","1.755747","1.9659","399","True","W30_raw_all"
"COG","T7W30","VALIDATION","rho","0.047639","0.120841","0.035761","0.059518","1.9659","399","True","W30_raw_all"
"COG","T7W30","TEST","R2","-0.020137","0.075412","-0.02755","-0.012724","1.9659","399","True","W30_raw_all"
"COG","T7W30","TEST","RMSE","2.219567","0.233404","2.196624","2.24251","1.9659","399","True","W30_raw_all"
"COG","T7W30","TEST","MAE","1.71741","0.151499","1.702519","1.732302","1.9659","399","True","W30_raw_all"
"COG","T7W30","TEST","rho","0.051073","0.210577","0.030374","0.071772","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","VALIDATION","R2","-0.00407","0.027164","-0.00674","-0.001399","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","VALIDATION","RMSE","3.440781","0.1789","3.423196","3.458366","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","VALIDATION","MAE","2.849916","0.117117","2.838404","2.861428","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","VALIDATION","rho","0.091636","0.122342","0.079611","0.103662","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","TEST","R2","-0.004744","0.040939","-0.008768","-0.00072","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","TEST","RMSE","3.478346","0.2792","3.450902","3.50579","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","TEST","MAE","2.882331","0.186895","2.86396","2.900702","1.9659","399","True","W30_raw_all"
"MOT_V4","T7W30","TEST","rho","0.112791","0.192017","0.093916","0.131666","1.9659","399","True","W30_raw_all"
"COG_V1","T7W30","VALIDATION","R2","-0.01272","0.019959","-0.014682","-0.010758","1.9659","399","True","W30_raw_all"
"COG_V1","T7W30","VALIDATION","RMSE","1.344072","0.076153","1.336587","1.351558","1.9659","399","True","W30_raw_all"
"COG_V1","T7W30","VALIDATION","MAE","1.032681","0.053056","1.027466","1.037896","1.9659","399","True","W30_raw_all"
"COG_V1","T7W30","VALIDATION","rho","-0.101055","0.117123","-0.112568","-0.089543","1.9659","399","True","W30_raw_all"
