subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,y_true,y_pred
CDMS-11-7C-IMOIB,7.488039181843906e-06,0.00019667370608592597,0.00033932600102169275,6.271904828673712e-05,6.410634550567631e-05,0.00032400910049469774,0.0011092272290809876,7.570310894218289e-05,5,8.003478183740892
CDMS-11-7C-SALMA,0.0,-0.0010354012061498088,-0.0010025950729750995,0.00020654589289213497,3.817033830213492e-05,0.00021776389933078285,-0.0001889302373667405,0.0006219005011841318,10,8.00015638527751
CDMS-11-7C-SPGAVE,0.0,-0.00014887221963852924,-0.00012723423363194966,-0.0004935167594416643,0.0,0.0,-0.0001543287388306253,-0.0012916237747732638,8,7.999083355435976
CDMS-12-5A-SRIGO,1.369784050953525e-05,0.0005077752990602636,0.0007800271570155261,0.00011920374227911407,3.8009259662688176e-05,0.0005195785840773167,0.001873254846741424,0.0011894426014875438,10,8.006339920493126
CDMS-12-6A-FAROPA,0.0,0.00035285552795743825,0.00024308351023745017,5.0595188984638335e-05,0.0,0.00034719250320308333,0.0013202546325896181,0.0,14,8.003612912525265
CDMS-12-6A-JGIGA,0.0,0.0,-0.00041499886238996025,0.0,0.0,0.00015825036798056743,-0.0013972487935675728,-0.000569275665931263,7,7.999075658208384
CDMS-12-6A-JSOTGU,0.0,-0.0005769812216781491,-0.00037690507599825605,-6.650140859012794e-06,-7.313269121411947e-05,-0.00026405228676102256,-0.0014227520275081774,-0.0005862226379629044,8,7.997992235080311
CDMS-12-6A-SROAL,1.265920991973691e-05,0.0005958730971000404,0.0008299869550290587,0.00018104375255420958,2.903950240365643e-05,0.000330743958873862,0.0018813517424672978,0.001215873920636186,10,8.006375503301276
CDMS-12-6B-IJDAGA,0.0,-7.826954344601405e-05,-0.00021800698666857407,-0.0002592903067708815,0.0,-0.00017061665228777388,-0.0010441659181326622,-0.0004325505305832299,11,7.999096031224403
CDMS-12-6B-SCLAG,0.0,-0.0002699842442981544,-0.0004114685547332584,-0.00019109068791019725,0.0,-0.00013964738202692194,-0.0012431610817740287,-0.00041700520053177974,9,7.998626574011018
CDMS-12-7C-ARAHE,0.0,-4.647971378646363e-05,-0.000536964545365307,0.00013683496254300758,-2.4218495856707586e-05,-0.000634610444175082,-0.0013480966716702036,-0.00022791007436566115,13,7.998617486179616
CDMS-12-7C-CATRAR,2.1398617657950557e-05,0.0,6.183969836465554e-05,0.00026228438468564044,7.160666522699959e-05,-0.00010438887217708498,0.000821392243696698,0.0010113069240031117,8,8.00344437082375
