subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50
CDMS-17-10A-ASSAMO,49.0,1.878228782287823,2.2287822878228782,0.0,0.3505535055350554,1.1771217712177122,37.16605166051661,34.601476014760145
CDMS-18-7C-VVECA,48.90993788819876,4.090062111801243,5.186335403726708,0.1521739130434782,1.096273291925466,1.7018633540372672,32.29192546583851,30.17391304347826
CDMS-8-4A-DBEVA,49.0,4.401486988847584,5.397769516728625,0.9814126394052044,1.1524163568773234,2.817843866171004,29.31970260223048,27.847583643122675
CDMS-8-4A-DJAVDA,48.847533632287,5.053811659192825,6.766816143497758,2.807174887892377,2.031390134529148,2.3408071748878925,28.385650224215247,26.278026905829595
CDMS-8-4A-DOSTR,49.0,5.158645276292335,6.163992869875223,1.2263814616755793,1.3475935828877006,2.415329768270945,30.20855614973262,28.32976827094474
CDMS-8-4A-LGOPA,48.90214067278288,5.284403669724771,7.027522935779817,0.764525993883792,1.853211009174312,2.853211009174312,29.810397553516815,27.819571865443425
CDMS-8-4C-JDBUTU,48.95563139931741,5.191126279863481,6.610921501706485,2.3515358361774745,1.9146757679180888,1.819112627986348,29.26962457337884,27.63481228668942
CDMS-9-4A-ACDUTR,49.0,3.713235294117647,4.4338235294117645,1.0808823529411764,0.7205882352941176,2.022058823529412,31.904411764705884,29.96323529411765
CDMS-9-4A-CARGA,49.0,3.9320113314447593,4.195467422096317,0.6883852691218131,0.5439093484419264,1.8696883852691215,32.240793201133144,30.3342776203966
CDMS-9-4A-CRAAG,48.62878787878788,5.632575757575758,6.579545454545454,1.1136363636363635,0.946969696969697,3.378787878787879,29.59469696969697,27.473484848484848
CDMS-9-4A-EROHI,49.0,3.693950177935943,4.195729537366548,1.2455516014234875,0.501779359430605,1.4341637010676156,32.97864768683274,31.04270462633452
CDMS-9-4A-ILOSE,49.0,5.5054945054945055,6.058608058608058,0.0,0.5531135531135531,2.2967032967032965,30.35897435897436,28.952380952380956
CDMS-9-4A-TGAFR,49.0,5.871244635193133,7.356223175965665,0.2746781115879828,1.4849785407725322,2.236051502145923,30.29184549356223,28.527896995708154
CDMS-9-4C-SCAMO,48.47027027027027,1.6864864864864866,1.945945945945946,0.2648648648648649,0.2594594594594595,0.7837837837837838,37.28108108108108,33.25945945945946
CDMS-9-5A-ABERO,48.88939051918736,4.7313769751693,5.799097065462754,1.0564334085778782,1.1760722347629795,0.7697516930022573,32.0744920993228,29.336343115124155
CDMS-9-5A-PAGACO,49.0,3.3793103448275863,4.590038314176245,0.7279693486590039,1.210727969348659,1.471264367816092,32.12643678160919,30.379310344827587
CDMS-9-5A-VVAAR,49.0,4.945205479452055,6.917808219178082,0.6712328767123288,1.9726027397260275,1.952054794520548,29.883561643835616,28.315068493150687
CDMS-9-5C-JDMADE,49.0,4.708333333333333,5.619047619047619,2.6607142857142856,1.5952380952380951,1.0892857142857142,32.089285714285715,28.791666666666668
CDMS-9-5C-LVIZAC,49.0,3.663492063492064,4.526984126984127,0.6222222222222222,0.8634920634920635,2.2222222222222223,33.91111111111111,31.13015873015873
CDMS-9-5C-MLOGO,49.0,4.357142857142857,4.970779220779221,1.0649350649350648,0.6136363636363636,3.633116883116883,31.12987012987013,29.113636363636363
CDMS-9-5C-SCAAG,48.58474576271186,3.4279661016949152,4.313559322033898,0.576271186440678,0.885593220338983,1.9703389830508475,32.50847457627118,30.555084745762716
CDMS-XX-10A-VGILO,48.69565217391305,3.0559006211180124,3.1832298136645965,1.670807453416149,0.2919254658385093,0.953416149068323,33.37267080745342,30.8944099378882
CDMS-XX-5C-MJSARU,49.0,2.2602230483271377,3.836431226765799,0.3643122676579926,1.5762081784386617,1.2936802973977697,34.553903345724905,31.97769516728625
CDMS-XX-5C-MPCAQU,49.0,4.3108108108108105,5.04054054054054,0.0,0.7297297297297297,2.310810810810811,31.653153153153152,29.666666666666668
CDMS-XX-6A-MAGICA,48.8801652892562,2.65702479338843,3.3057851239669422,0.1349862258953168,0.6487603305785123,1.0206611570247934,34.82231404958678,32.16528925619835
CDMS-XX-6B-SPUCA,49.0,3.186836518046709,4.813163481953291,0.1040339702760085,1.6263269639065818,1.394904458598726,34.32059447983015,32.074309978768575
CSO-10-4A-ICAPA,48.8849765258216,4.539906103286385,5.835680751173709,0.2300469483568075,1.295774647887324,1.9530516431924885,31.309859154929576,29.112676056338028
CSO-10-4A-KCOMO,49.0,4.865509761388286,6.613882863340564,0.7093275488069414,1.7483731019522777,1.572668112798265,30.45553145336225,28.19305856832972
CSO-10-4A-LRAVI,48.73943661971831,5.598591549295775,7.570422535211268,0.0,1.971830985915493,3.126760563380281,28.47183098591549,26.823943661971832
CSO-10-4A-LSCAVA,49.0,4.115830115830116,5.853281853281853,0.1891891891891892,1.7374517374517375,1.0694980694980696,35.092664092664094,31.08880308880309
CSO-10-5A-ACAVA,49.0,2.717647058823529,3.223529411764706,1.423529411764706,0.6352941176470588,1.2509803921568627,34.90588235294118,31.933333333333334
