subject,density_T6W30,z_l1_T6W30,z_diameter_T6W30,z_asp_T6W30,y_true,y_pred
CSO-16-10A-SMOUT,-0.6926265225753993,-0.21661580939305514,0.0,0.0,0,4.35155683675793
CSO-16-10A-YKMUJO,0.5657174115909176,-0.08437295797029742,0.0,0.0,5,5.742143622347005
CSO-16-10B-JESUGU,-0.6831859187891611,-0.0009676717334947682,0.0,0.0,3,4.5766455782037285
CSO-16-10B-LTVIFA,-1.5886677113625416,0.04408239090254873,0.0,0.0,10,3.7162138482663916
CSO-16-10B-VVILI,-0.6266799351174113,-0.064709613084041,0.0,0.0,13,4.569409620524932
CSO-16-10C-ACALGU,-0.27955018404385656,0.14889099534888084,0.0,0.0,6,5.130139980031409
CSO-16-10C-MAVAVE,-0.6981791020635358,-0.02929277504214778,0.0,0.0,4,4.533327291620701
CSO-16-11A-JAVABO,-0.4103210750553648,-0.08138985697420548,0.0,0.0,4,4.769088236696814
CSO-16-11A-JDMUVA,-0.8153947024202645,0.01023960113568545,0.0,0.0,4,4.455644067441805
CSO-16-11A-VZAOR,-0.9055826498332964,-0.14985248446002064,0.0,0.0,1,4.205364034433067
CSO-16-11B-KRORE,-0.5246714113045037,0.0839301093707705,0.0,0.0,3,4.820057866792651
CSO-16-11B-LLOZA,-0.8674678757041147,-0.06388614583023278,0.0,0.0,4,4.329445147192037
CSO-16-11B-YAROMO,-0.9712204185418193,-0.1663983645749475,0.0,0.0,4,4.123180385609618
CSO-16-9A-JALEMO,-0.45744745425511685,0.07617692433165196,0.0,0.0,5,4.8795286388029195
CSO-16-9A-JPROSO,-0.7373471336067183,-0.1958016959924267,0.0,0.0,0,4.327650339127239
CSO-16-9A-JSMAGU,0.10288523911217327,0.10263224497145719,0.0,0.0,9,5.466316652810015
CSO-16-9B-SJPAJI,-0.08650498586811797,0.04348931124066849,0.0,0.0,7,5.217783494098935
CSO-17-10A-YVGOCA,-0.25647982881357345,0.12822432948827922,0.0,0.0,13,5.13254366940109
CSO-17-10B-EHECO,-0.5154020570661144,0.012067858014051858,0.0,0.0,8,4.757464969674322
CSO-17-10B-YCQUVE,-0.19169932446129942,0.09730206364896873,0.0,0.0,4,5.166401907914054
CSO-17-11A-DJAPA,-0.3450338966602128,0.059549753082795864,0.0,0.0,7,4.9753150251489675
CSO-17-11A-JDAMO,-0.16413252673864598,0.16569946706156546,0.0,0.0,3,5.262366109049304
CSO-17-11A-NPAHE,-0.6000976030475768,0.11633717025581503,0.0,0.0,6,4.777038735934623
CSO-17-11A-RLPAIG,-0.14964022516661357,-0.2778837233895106,0.0,0.0,1,4.83327522017026
CSO-17-11A-SPUVA,0.4739305939576321,0.0644959491675397,0.0,0.0,2,5.799225711851556
CSO-17-11B-CDBEBU,-0.5052983106182619,0.025395051228482735,0.0,0.0,5,4.780895909336605
CSO-17-11C-JDAAG,-0.86208732090512,0.11488713190168365,0.0,0.0,3,4.513598979722948
CSO-17-11C-MAPAMA,-0.20995865990925866,-0.060040041055433147,0.0,0.0,2,4.990800467761693
CSO-17-11C-MCAAG,-0.5029622290840096,0.12514082515464764,0.0,0.0,3,4.8829777647970225
CSO-17-11C-SARJA,-0.4041165742046512,0.0837776255022914,0.0,0.0,3,4.940460220024025
CSO-18-11A-ADBAHO,-0.8010527720427018,0.12344686006244088,0.0,0.0,7,4.5831932567461235
CSO-18-11B-YLLRE,-0.46012775443250004,0.16633850195520378,0.0,0.0,10,4.967009916249088
CSO-18-9B-MAMOLO,-0.5667306024616835,-0.2168624613722544,0.0,0.0,1,4.4772061048924465
CSO-8-3A-AIPRBR,0.4878889143357283,0.013518459816012796,0.0,0.0,0,5.7622065428781255
CSO-8-3A-DAPAVA,0.23290788546875782,-0.1612320604408621,0.0,0.0,3,5.33247499375428
CSO-8-3A-KVPECO,0.24642268512425902,-0.04945351569596079,0.0,0.0,7,5.457768338154683
CSO-8-4A-ARAGR,-0.509688124954007,0.049176327639404716,0.0,0.0,10,4.800287371411782
CSO-8-4A-JRAAR,1.5274079635212285,0.20000468519900738,0.0,0.0,1,6.98821181744662
CSO-9-2A-EXMOCO,0.36494115191079196,0.0905977555630399,0.0,0.0,5,5.716338076200216
CSO-9-4A-AGAPE,0.05847966456650777,0.1302430146833169,0.0,0.0,1,5.449521847976209
CSO-9-4A-DKVIMO,0.6682609142596582,-0.017226415530493422,0.0,0.0,3,5.911833667455549
CSO-9-4A-DSMOMU,-0.5889322660460578,-0.20860214574603664,0.0,0.0,7,4.46326475693429
CSO-9-4A-DVGATO,-0.25823240306876244,-0.20594616092575307,0.0,0.0,4,4.796620604731869
CSO-9-4A-EGCAMO,0.5882893494030093,0.002417258210769546,0.0,0.0,8,5.851505776340163
CSO-9-4A-FAGIGA,-0.49549181133065373,-0.4357496554395989,0.0,0.0,9,4.329557701956132
CSO-9-4A-GSBRCO,1.064549099477895,-0.255244919761233,0.0,0.0,3,6.070103348443046
CSO-9-4A-KEMOCO,0.7420971868496742,0.07188508307445707,0.0,0.0,2,6.074781438650516
CSO-9-4A-LCOMO,-0.5771389249059373,-0.053708399645851834,0.0,0.0,3,4.629951844174595
CSO-9-4A-MLORO,0.3851337610481047,-0.010689163561897086,0.0,0.0,3,5.635243766212592
CSO-9-4A-MPAME,0.4788565039276236,0.018670173381486244,0.0,0.0,10,5.758325846035494
CSO-9-4A-NSARPA,-0.2056741975533032,0.023250618854471244,0.0,0.0,3,5.0783755900275525
CSO-9-4A-SLOCA,0.643896563929244,0.05987759227118916,0.0,0.0,4,5.964573324926818
CSO-9-4A-YVDITR,2.0843883378760695,0.3158564838660891,0.0,0.0,8,7.661043990468542
