subject,pe_T2W10,l2_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l3_T2W10,y_true,y_pred
CDMS-9-5C-LVIZAC,-1.4673744353841303,-1.0599675741147445,-2.358736692916046,-1.1582844900190832,-1.3675024717107227,-1.1481343358552722,6,6.0
CDMS-9-5C-MLOGO,-1.1728231240401303,-1.1739606009518326,-2.3002449042916338,-1.4985248134699507,-1.4415325950605673,-1.9729139621858838,5,5.0
CDMS-9-5C-SCAAG,2.3880516985143196,1.4790443006166543,0.14272265998669406,-0.0011588101780377613,2.2440363752642876,0.18730377579608343,21,21.0
CDMS-XX-10A-VGILO,-0.031203109267798016,-0.02557275895717037,1.5535703589979915,0.6437299278020888,-0.36448462963681394,0.6639602110617031,17,17.0
CDMS-XX-5C-MPCAQU,0.8407401174482786,0.7562517797893573,3.8460885377195777,1.3680574487114414,1.5721226469856735,1.0567394693456722,24,24.0
CDMS-XX-6B-SPUCA,-2.3264499666617877,-2.154598347889786,-1.3229943395107728,-1.9295597565877436,-2.3048353001809843,-2.5215622891689247,2,2.0
CSO-10-4A-KCOMO,-0.6831479388618894,-0.7741993497827291,-2.6393212815708953,-0.4695670232086053,-0.9075648441963511,-1.0861995623795284,8,8.0
CSO-10-4A-LRAVI,-0.1608670165908035,-0.33260642146299885,0.32376464128515636,0.19355238783269946,0.09833899662822863,1.3178174123077193,16,16.0
CSO-10-4A-LSCAVA,1.3981330961467204,1.175625333307867,0.23462798564949683,1.3231073517076817,1.7304573964877699,1.5780488367004657,22,22.0
CSO-10-5A-ACAVA,-0.7748555384890954,-0.8575286278457539,-1.3501976230730857,-1.0903377997073087,-0.900151951299797,-0.586928459584958,9,9.0
CSO-10-5A-ARACA,-1.88654493584662,-1.3491064954958976,-2.2324935606130243,-1.1459487500774515,-1.539801464562231,-1.4061047934047741,5,5.0
CSO-10-5A-DABRZA,-0.6797890177400748,-0.6459531152623265,-0.4878369648897383,-1.0767829072700998,-0.3195434576266223,-1.3500945372111375,10,10.0
CSO-10-5A-GZAMA,0.48741358847270955,0.4820988162391116,2.971931593842338,0.8798202952502616,0.03818368088187807,0.5805520253137023,20,20.0
CSO-10-5A-IPECA,2.008543440547194,1.9677758055369619,0.9707796133060906,2.4065592859630818,2.2179028587251453,2.8684389959215295,27,27.0
