subject,pe_T2W10,diameter_T2W10,asp_T2W10,z_l3_T2W10
CSO-16-10C-MAVAVE,0.0808823529411764,7.654411764705882,3.2543183940242764,0.0935966796880601
CSO-16-11A-JAVABO,0.188235294117647,6.941176470588236,3.0541083099906627,0.1134230982598316
CSO-16-11A-JDMUVA,0.1927710843373494,7.734939759036145,3.2685264868999813,-0.2236129241510173
CSO-16-11A-VZAOR,0.1126760563380281,7.570422535211268,3.228694388553543,0.2655694881350899
CSO-16-11B-KRORE,0.0808823529411764,7.404411764705882,3.16530112044818,0.2428804787622343
CSO-16-11B-LLOZA,0.3390804597701149,7.224137931034483,3.104565772669221,0.1642643083439653
CSO-16-11B-YAROMO,0.2645914396887159,7.428015564202335,3.1778055709962323,0.0397631681150766
CSO-16-9A-JALEMO,0.1428571428571428,7.626728110599078,3.243050983834394,0.0100140873133213
CSO-16-9A-JPROSO,0.2154471544715447,7.288617886178862,3.1301458252677765,0.0395548409744433
CSO-16-9A-JSMAGU,0.1666666666666666,7.013888888888889,3.034617504409171,-0.0892049458898546
CSO-16-9B-SJPAJI,0.1818181818181818,6.0227272727272725,2.7058982683982684,-0.2740848491318147
CSO-17-10A-YVGOCA,0.0,7.846153846153846,3.307030932030932,-0.1205073038836291
CSO-17-10B-EHECO,0.0,7.495049504950495,3.2055241238409558,0.3221358364078438
CSO-17-10B-YCQUVE,0.3128491620111732,7.189944134078212,3.0971889686973486,-0.1218628607456819
CSO-17-11A-DJAPA,0.296875,6.078125,2.713169642857143,-0.2213284376938212
CSO-17-11A-JDAMO,0.0,6.4603174603174605,2.881204333585286,-0.0488239740788199
CSO-17-11A-NPAHE,0.5161290322580645,6.716129032258064,2.950332821300563,-0.0879702604977556
CSO-17-11A-RLPAIG,0.2142857142857142,6.669642857142857,2.9538690476190474,0.4722196608886559
CSO-17-11A-SPUVA,0.0952380952380952,6.904761904761905,2.976039304610733,-0.0803711684731268
CSO-17-11B-CDBEBU,0.5494505494505495,6.2967032967032965,2.8156985871271583,0.0627235050211984
CSO-17-11C-JDAAG,0.2666666666666666,7.54,3.2173544973544974,-0.0068555964434789
CSO-17-11C-MAPAMA,0.1736526946107784,7.467065868263473,3.1954662104362703,0.0113385521619032
CSO-17-11C-MCAAG,0.1834862385321101,7.596330275229357,3.2241153342070774,0.0102318420822867
CSO-17-11C-SARJA,0.0757575757575757,7.325757575757576,3.1591810966810967,0.0206149775529143
CSO-18-11A-ADBAHO,0.0666666666666666,7.541666666666667,3.199041005291005,0.123105391005301
CSO-18-11B-YLLRE,0.1904761904761904,7.547619047619047,3.215561224489796,0.3092819732269412
CSO-18-9B-MAMOLO,0.3593314763231198,6.615598885793872,2.896332404828226,0.1667872891477837
CSO-8-3A-AIPRBR,0.0,5.25,2.4166666666666665,-0.1713597220725484
CSO-8-3A-DAPAVA,0.238095238095238,6.956709956709957,3.020638356352642,0.5170052585392357
CSO-8-3A-KVPECO,0.813953488372093,5.790697674418604,2.6272425249169435,-0.4457883874617442
CSO-8-4A-ARAGR,0.0,6.382716049382716,2.820987654320988,0.1293539596777168
CSO-8-4A-JRAAR,0.2962962962962963,5.851851851851852,2.633656672545561,0.5299148748009458
CSO-9-2A-EXMOCO,0.1438848920863309,7.503597122302159,3.191903619961174,-0.1632747645771803
CSO-9-4A-AGAPE,0.2560975609756097,7.621951219512195,3.228779519938056,0.078258934809085
CSO-9-4A-DKVIMO,0.1012658227848101,7.6075949367088604,3.2317058468957205,-0.0922942154498344
CSO-9-4A-DSMOMU,0.226950354609929,6.886524822695035,3.027637059551953,0.2569027870036355
CSO-9-4A-DVGATO,0.3511904761904761,6.714285714285714,2.9537414965986395,-0.0801521068472957
CSO-9-4A-FAGIGA,0.3457943925233644,7.196261682242991,3.09411808337042,-0.1374643907259957
CSO-9-4A-GSBRCO,0.0273972602739726,7.232876712328767,3.123929115025005,0.0321726983738889
CSO-9-4A-KEMOCO,0.0,6.372549019607843,2.8285869903516963,-0.1130262096560306
CSO-9-4A-LCOMO,0.3134328358208955,6.104477611940299,2.7503672115612416,-0.3674914694664012
CSO-9-4A-MLORO,0.3870967741935484,6.096774193548387,2.7422043010752684,0.2655002646752515
CSO-9-4A-MPAME,0.4509803921568627,6.666666666666667,2.9341581076875194,-0.5246673330670791
CSO-9-4A-NSARPA,0.0142857142857142,7.357142857142857,3.1494671201814057,0.4575745510666226
CSO-9-4A-SLOCA,0.55,6.15,2.7548809523809523,-0.1813909702913643
CSO-9-4A-YVDITR,0.0,6.821428571428571,2.9637188208616783,-0.1106895909437205
