subject,z_pe_T2W20,z_l2_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20,y_true,y_pred
CDMS-12-7C-VQURA,-0.7888554010391229,-1.4902923418680822,0.24126777871449553,0.07671043936411559,-0.08413885529836046,13,13.124814
CDMS-13-6B-ASUMO,0.7101658337910952,0.36804102357228485,-2.0972783365249623,-1.3018155549367256,-1.0185554860432942,5,11.83068
CDMS-13-6B-JDTAHE,-0.2113078896204632,-0.3078729041417455,1.177160015106199,-0.5501284615198767,-0.9911823256810482,21,14.286791
CDMS-13-7C-MVEAR,2.8235328292846678,2.017173477808634,1.9889137236277246,-0.1465156269073482,0.19978412310282456,27,22.05301
CDMS-13-7C-RAIZAC,-0.7203491242726651,-0.7332084560394285,0.8131692425409951,-0.6549599870045989,-0.7061206007003783,5,13.1686535
CDMS-13-7C-SSOSLO,2.5283487532933555,2.0415632635752337,1.3939934832255054,-0.17414871946970578,0.10250445747375436,23,21.062384
CDMS-14-10A-IMORTO,-0.6637069565455106,-1.095353473663331,-2.166974255879718,1.7105900344848597,0.8109634504318239,11,13.765641
CDMS-14-10A-JCVANI,-0.6959908256530765,-0.6193472537994374,0.3893731807072948,0.4941263284683209,0.07234409395853786,22,14.810628
CDMS-14-6B-KDCAHE,-0.2203840211232504,-0.07770013523101794,-1.9735314896901432,0.05249050426483004,0.19298656908670953,22,13.143984
CDMS-15-10A-AMALOS,-0.7275047432581571,-1.3647643283208206,0.865236205736795,-1.4483031816482552,-0.6873332106272391,16,11.807453
CDMS-15-10A-JJMACH,-0.7248557484944655,-1.6158614838918048,0.35258731396993015,-0.11310399500529034,-0.18349154281616376,6,12.885397
CDMS-15-10A-MAALCA,1.8330819816589348,1.7920947109858214,1.1009975134531653,0.46498892815907794,-0.2793839975992851,13,20.081902
CDMS-15-10A-MAALRI,-0.7657190154393524,-0.7320845578511571,1.0128018658955869,-1.4601709260940527,-0.6459559828440337,12,12.578994
CDMS-15-10A-SGOMO,0.8381512025197352,0.45708749961852796,0.9680410706202184,-0.4744894310633329,-0.10811319478352854,12,16.8508
CDMS-15-10A-SHEGA,-0.7647539208730074,-0.739353587468464,0.9864288291931151,-1.5400565996170057,-0.6906857035954789,13,12.421701
CDMS-15-11B-JEMOLO,-0.376059383392334,0.06486208852132025,0.9730152044296259,-0.7119925759633391,-0.5852340021133404,19,14.534714
CDMS-15-11B-VSAHO,-0.7495518589019765,-1.0024706999460842,0.8106735881169631,-0.4529399267832467,-0.6986736345291136,12,13.07716
CDMS-16-10A-SGALO,-0.5999021733601891,-0.11630615997314486,-2.266573538462319,2.092711216926574,1.1519054861068707,20,15.431957
CDMS-16-11B-NGABE,0.6587679602305108,3.191529445012406,1.0847825934092206,0.5429998057683316,-0.054229058265685026,28,20.593973
CDMS-17-10A-ASSAMO,-0.34480931599935133,-0.2928651348749793,-2.2429710642496747,0.14288156032562327,-0.10509081204732254,11,12.327268
CDMS-18-7C-VVECA,-0.9570633834203084,-0.6518654101689655,0.3196666485468551,-1.641633997917176,-0.601515699386598,5,11.637711
CDMS-8-4A-DJAVDA,-0.17816562747955317,-0.4316573279698702,0.3943454478581745,-0.3123916858037312,-0.03634387270609518,5,14.605909
CDMS-8-4A-DOSTR,-1.0147182925542189,-0.799365150133769,1.2706876357396422,-0.41763859430948735,-0.5081946102778128,17,13.700893
CDMS-8-4A-LGOPA,-0.8741241432825712,-1.5075201759338377,0.25073474311828214,0.061912856737776245,-0.05222699737549041,12,13.048899
CDMS-8-4C-JDBUTU,-1.1183939409255979,-0.6996307007471707,0.22204994360605834,-0.9258426618576051,-0.8897477340698267,7,11.758557
CDMS-9-4A-ACDUTR,-0.7147531096140546,-1.3677024968465177,0.6966441329320254,-1.0413726059595736,-1.1412442270914707,5,11.601694
CDMS-9-4A-CARGA,-0.6066125453313189,-1.2616754719416297,0.2976736485163358,0.03908770751953063,0.0040186122258505375,8,13.642614
CDMS-9-4A-CRAAG,4.40473671722412,-0.037324020385742784,1.3038976046244277,-0.08888338120778277,0.13030512777964484,32,20.882854
CDMS-9-4A-EROHI,-0.8865538593928041,-0.8306142613093058,0.4902514588038116,-1.0633426376978552,-0.553992600123086,5,12.3258705
CDMS-9-4A-ILOSE,-0.9561757434209183,-0.3342787659962967,-2.231965611457824,0.08619319788614854,0.3697498340606668,7,12.103645
