run_name,target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
W30_raw_all,MOT,T6W30,VALIDATION,rho,0.054359,0.111871,0.043363,0.065356,1.9659,399,True
W30_raw_all,MOT,T6W30,TEST,R2,-0.000161,0.027866,-0.0029,0.002578,1.9659,399,False
W30_raw_all,MOT,T6W30,TEST,RMSE,7.78085,0.487546,7.732926,7.828774,1.9659,399,True
W30_raw_all,MOT,T6W30,TEST,MAE,6.638724,0.383989,6.600979,6.676469,1.9659,399,True
W30_raw_all,MOT,T6W30,TEST,rho,0.085548,0.188059,0.067063,0.104034,1.9659,399,True
W30_raw_all,COG,T6W30,VALIDATION,R2,-0.009611,0.074325,-0.016917,-0.002305,1.9659,399,True
W30_raw_all,COG,T6W30,VALIDATION,RMSE,2.251016,0.193905,2.231956,2.270077,1.9659,399,True
W30_raw_all,COG,T6W30,VALIDATION,MAE,1.759722,0.130164,1.746927,1.772516,1.9659,399,True
W30_raw_all,COG,T6W30,VALIDATION,rho,0.122785,0.129605,0.110045,0.135525,1.9659,399,True
W30_raw_all,COG,T6W30,TEST,R2,-0.013683,0.076224,-0.021176,-0.00619,1.9659,399,True
W30_raw_all,COG,T6W30,TEST,RMSE,2.177315,0.273665,2.150415,2.204216,1.9659,399,True
W30_raw_all,COG,T6W30,TEST,MAE,1.69989,0.189515,1.681262,1.718519,1.9659,399,True
W30_raw_all,COG,T6W30,TEST,rho,0.113216,0.201868,0.093373,0.133059,1.9659,399,True
W30_raw_all,MOT_V4,T6W30,VALIDATION,R2,0.001323,0.033384,-0.001959,0.004604,1.9659,399,False
W30_raw_all,MOT_V4,T6W30,VALIDATION,RMSE,3.446064,0.176616,3.428704,3.463425,1.9659,399,True
W30_raw_all,MOT_V4,T6W30,VALIDATION,MAE,2.84656,0.118383,2.834924,2.858197,1.9659,399,True
W30_raw_all,MOT_V4,T6W30,VALIDATION,rho,0.107672,0.122951,0.095586,0.119758,1.9659,399,True
W30_raw_all,MOT_V4,T6W30,TEST,R2,-0.002968,0.044331,-0.007325,0.00139,1.9659,399,False
W30_raw_all,MOT_V4,T6W30,TEST,RMSE,3.462751,0.266758,3.43653,3.488972,1.9659,399,True
W30_raw_all,MOT_V4,T6W30,TEST,MAE,2.87358,0.177934,2.856089,2.89107,1.9659,399,True
W30_raw_all,MOT_V4,T6W30,TEST,rho,0.114896,0.191826,0.09604,0.133752,1.9659,399,True
W30_raw_all,COG_V1,T6W30,VALIDATION,R2,-0.012226,0.051372,-0.017276,-0.007177,1.9659,399,True
W30_raw_all,COG_V1,T6W30,VALIDATION,RMSE,1.389128,0.078371,1.381424,1.396831,1.9659,399,True
W30_raw_all,COG_V1,T6W30,VALIDATION,MAE,1.078794,0.058642,1.073029,1.084558,1.9659,399,True
W30_raw_all,COG_V1,T6W30,VALIDATION,rho,0.094718,0.126311,0.082302,0.107134,1.9659,399,True
W30_raw_all,COG_V1,T6W30,TEST,R2,-0.02114,0.079466,-0.028952,-0.013329,1.9659,399,True
W30_raw_all,COG_V1,T6W30,TEST,RMSE,1.348123,0.119629,1.336364,1.359882,1.9659,399,True
W30_raw_all,COG_V1,T6W30,TEST,MAE,1.039961,0.085644,1.031542,1.048379,1.9659,399,True
W30_raw_all,COG_V1,T6W30,TEST,rho,0.090038,0.193948,0.070973,0.109102,1.9659,399,True
W30_raw_top5,MOT,T6W30,VALIDATION,R2,-0.005937,0.026092,-0.008502,-0.003373,1.9659,399,True
W30_raw_top5,MOT,T6W30,VALIDATION,RMSE,7.619984,0.322566,7.588277,7.651691,1.9659,399,True
W30_raw_top5,MOT,T6W30,VALIDATION,MAE,6.45743,0.250174,6.432839,6.482021,1.9659,399,True
W30_raw_top5,MOT,T6W30,VALIDATION,rho,0.057461,0.117015,0.045959,0.068963,1.9659,399,True
W30_raw_top5,MOT,T6W30,TEST,R2,-0.004207,0.034946,-0.007642,-0.000772,1.9659,399,True
W30_raw_top5,MOT,T6W30,TEST,RMSE,7.79607,0.493525,7.747558,7.844582,1.9659,399,True
W30_raw_top5,MOT,T6W30,TEST,MAE,6.645626,0.394218,6.606875,6.684376,1.9659,399,True
W30_raw_top5,MOT,T6W30,TEST,rho,0.079276,0.189415,0.060658,0.097895,1.9659,399,True
W30_raw_top5,COG,T6W30,VALIDATION,R2,0.010988,0.04982,0.006091,0.015885,1.9659,399,True
W30_raw_top5,COG,T6W30,VALIDATION,RMSE,2.228679,0.187369,2.210261,2.247096,1.9659,399,True
W30_raw_top5,COG,T6W30,VALIDATION,MAE,1.750507,0.125461,1.738175,1.762839,1.9659,399,True
W30_raw_top5,COG,T6W30,VALIDATION,rho,0.152323,0.12488,0.140047,0.164598,1.9659,399,True
W30_raw_top5,COG,T6W30,TEST,R2,0.003278,0.076569,-0.004249,0.010804,1.9659,399,False
W30_raw_top5,COG,T6W30,TEST,RMSE,2.15845,0.268231,2.132084,2.184817,1.9659,399,True
W30_raw_top5,COG,T6W30,TEST,MAE,1.691486,0.186615,1.673142,1.709829,1.9659,399,True
W30_raw_top5,COG,T6W30,TEST,rho,0.141189,0.193682,0.122151,0.160227,1.9659,399,True
W30_raw_top5,MOT_V4,T6W30,VALIDATION,R2,0.000752,0.03183,-0.002377,0.003881,1.9659,399,False
W30_raw_top5,MOT_V4,T6W30,VALIDATION,RMSE,3.447057,0.175697,3.429787,3.464328,1.9659,399,True
