subject,pe_T2W30,z_diameter_T2W30,z_asp_T2W30,y_true,y_pred
CSO-17-11C-MAPAMA,-0.04235013095074436,0.0,0.0,2,5.059943815582914
CSO-17-11C-MCAAG,-0.004534980353639639,0.0,0.0,3,5.0977589661800184
CSO-17-11C-SARJA,-0.1832475324214542,0.0,0.0,3,4.919046414112204
CSO-18-11A-ADBAHO,-0.19079597082515587,0.0,0.0,7,4.911497975708502
CSO-18-11B-YLLRE,-0.006323333661955921,0.0,0.0,10,5.095970612871702
CSO-18-9B-MAMOLO,0.2581493673330373,0.0,0.0,1,5.360443313866695
CSO-8-3A-DAPAVA,0.023451971305051167,0.0,0.0,3,5.125745917838709
CSO-8-3A-KVPECO,0.788482325249479,0.0,0.0,7,5.890776271783137
CSO-8-4A-ARAGR,-0.28650447284944747,0.0,0.0,10,4.815789473684211
CSO-8-4A-JRAAR,0.11228095225176737,0.0,0.0,1,5.2145748987854255
CSO-9-2A-EXMOCO,-0.11224529549429452,0.0,0.0,5,4.990048651039364
CSO-9-4A-AGAPE,0.11505029548163659,0.0,0.0,1,5.217344242015295
CSO-9-4A-DKVIMO,-0.09725037280141358,0.0,0.0,3,5.0050435737322445
CSO-9-4A-DSMOMU,0.049661753268932074,0.0,0.0,7,5.15195569980259
CSO-9-4A-DVGATO,0.2901176958779841,0.0,0.0,4,5.392411642411642
CSO-9-4A-FAGIGA,0.4239753075032908,0.0,0.0,9,5.526269254036949
CSO-9-4A-GSBRCO,-0.2714559662418541,0.0,0.0,3,4.830837980291804
CSO-9-4A-KEMOCO,-0.28650447284944747,0.0,0.0,2,4.815789473684211
CSO-9-4A-LCOMO,-0.023475788208220827,0.0,0.0,3,5.078818158325437
CSO-9-4A-MLORO,0.4446021398361122,0.0,0.0,3,5.54689608636977
CSO-9-4A-MPAME,0.16373713613579444,0.0,0.0,10,5.2660310826694525
CSO-9-4A-NSARPA,-0.11901459430693695,0.0,0.0,3,4.983279352226721
CSO-9-4A-SLOCA,0.7104590899035887,0.0,0.0,4,5.812753036437247
CSO-9-4A-YVDITR,-0.28650447284944747,0.0,0.0,8,4.815789473684211
