subject,l3_T2W30,z_pe_T2W30
CSO-16-10B-JESUGU,0.5606060606060606,-0.8041626993176912
CSO-16-10B-LTVIFA,1.4583333333333333,-0.0298534385439227
CSO-16-10B-VVILI,0.0,0.0008295505579686
CSO-16-10C-ACALGU,1.4082840236686391,-0.1326271760594236
CSO-16-10C-MAVAVE,0.3879310344827586,-0.2372760883504343
CSO-16-11A-JAVABO,1.2,0.1994784655224999
CSO-16-11A-JDMUVA,0.047945205479452,0.5310670676304198
CSO-16-11A-VZAOR,1.4836065573770492,-0.0035822360752325
CSO-16-11B-KRORE,1.4655172413793105,-0.5987153653671702
CSO-16-11B-LLOZA,0.8701298701298701,0.8327680063210368
CSO-16-11B-YAROMO,0.7552742616033755,0.4840653433253989
CSO-16-9A-JALEMO,0.8477157360406091,0.1311723681464411
CSO-16-9A-JPROSO,0.8230088495575221,0.3406432056141776
CSO-16-9A-JSMAGU,0.7258064516129032,-0.1630292114480757
CSO-16-9B-SJPAJI,1.2916666666666667,-0.423073763793408
CSO-17-10A-YVGOCA,0.0172413793103448,-0.6247591385833554
CSO-17-10B-EHECO,1.0987654320987654,-0.7277215121464099
CSO-17-10B-YCQUVE,0.4465408805031446,0.704421484135703
CSO-17-11A-DJAPA,1.2045454545454546,0.2604842668347444
CSO-17-11A-JDAMO,0.2093023255813953,-0.880487517384888
CSO-17-11A-NPAHE,0.7407407407407407,1.5504445921414096
CSO-17-11A-RLPAIG,1.641304347826087,-0.0413836572165146
CSO-17-11A-SPUVA,2.390625,-0.7208946431951413
CSO-17-11B-CDBEBU,0.8732394366197183,2.040823512064611
CSO-17-11C-JDAAG,0.5230769230769231,0.7998291268064132
CSO-17-11C-MAPAMA,0.6666666666666666,0.1056712093578744
CSO-17-11C-MCAAG,0.5707070707070707,0.5768980150615344
CSO-17-11C-SARJA,0.5982142857142857,-0.3801858989740803
CSO-18-11A-ADBAHO,0.81,-0.3506921181361633
CSO-18-11B-YLLRE,1.353448275862069,0.1479924670309981
CSO-18-9B-MAMOLO,2.129793510324484,0.3521087659361825
CSO-8-3A-DAPAVA,2.5545023696682465,0.0141686860655304
CSO-8-3A-KVPECO,0.0,2.03923168639335
CSO-8-4A-ARAGR,0.360655737704918,-0.9249511037804256
CSO-8-4A-JRAAR,2.0,0.3945462525169057
CSO-9-2A-EXMOCO,0.2436974789915966,-0.2072925988148904
CSO-9-4A-AGAPE,0.4375,0.6920485089531936
CSO-9-4A-DKVIMO,0.864406779661017,-0.3986393694295154
CSO-9-4A-DSMOMU,1.0909090909090908,0.3842091372634918
CSO-9-4A-DVGATO,0.8716216216216216,0.6710334757412959
CSO-9-4A-FAGIGA,1.0229885057471264,1.0436205168363586
CSO-9-4A-GSBRCO,1.471698113207547,-0.92747977209512
CSO-9-4A-KEMOCO,1.2258064516129032,-0.9183165662192568
CSO-9-4A-LCOMO,2.148936170212766,-1.3040894549540485
CSO-9-4A-MLORO,1.9523809523809523,0.4954845548842874
CSO-9-4A-MPAME,0.0,0.6959220878513998
CSO-9-4A-NSARPA,1.62,-0.3451050553102529
CSO-9-4A-SLOCA,0.6166666666666667,0.8094748555438941
CSO-9-4A-YVDITR,0.375,-0.6456926071519136
