subject,nodes_T6W40,lcc_T6W40,lsc_T6W40
CSO-13-7A-KRAMA,-0.79991822025089,-0.7592258239831247,-0.009644992350214425
CSO-13-7A-RXCHLU,-0.11674526585967715,-0.07824622181175026,0.6617637920549004
CSO-13-7A-YAMEZA,0.8897650251646373,0.9250326304284049,1.0416782479597075
CSO-13-7A-YBOSO,-1.1232054218824448,-1.2784727706387973,-5.908967311893081
CSO-13-8A-KIGAGU,-0.034952540586233496,0.0032839048702356754,0.4789532087128435
CSO-13-8A-MBUAN,0.8508370186602153,0.7886983404810783,0.5446537875338604
CSO-13-8A-MGAAN,1.2507488327620615,1.2848574860640596,1.2980781062279214
CSO-13-8A-MGAHE,0.34724303233102183,0.38425242466297505,0.5240060133227186
CSO-13-8A-MJAGA,-1.683214983543275,-1.6396867301121214,-1.2484625956060633
CSO-13-8A-VHODU,-0.005946403459681443,0.03219691671299754,0.6155457159407175
CSO-13-8B-FCJISA,0.8956217260893493,0.9308705281966225,0.10446368500971341
CSO-13-8B-JEMABE,-1.2733867808159307,-1.4621152046591435,-1.3943482694603073
CSO-13-9B-DMLLLU,-0.9005173146337716,-0.859501941225942,-0.12984705337700758
CSO-14-7A-MVEBE,-0.426384806339147,-0.38689165301172496,0.4846488058437536
CSO-14-7B-EALHU,-0.2699345597282873,-0.2309436957457413,0.2073127702463308
CSO-14-7B-EVEGO,1.26223736809068,1.2963091370220312,1.107433430750674
CSO-14-8A-AQUMA,-0.7882323670836737,-0.7475774886828266,-0.0770228443750727
CSO-14-8A-MCIDOS,-0.450905950072769,-1.6104503266973431,-1.8831923695963393
CSO-14-8A-SZARA,0.2595710739002984,0.2968619403207758,-0.02812679244434131
CSO-14-8B-JLLORA,-0.29840716509552323,-0.25932488875277565,0.1989905473738775
CSO-14-9A-AEDCAGO,1.1441543825710623,1.0601740261660497,0.5564637604009489
CSO-14-9A-HASACA,0.7077846731037298,0.7436365330669761,0.19949631865398565
CSO-14-9A-JSMAAL,0.5090899584308445,0.5291632626250374,0.18833911416505517
CSO-14-9A-MARJA,0.4153775215514607,0.45216816556760514,0.6735042747003867
CSO-14-9A-SORZU,0.013013233594496751,-0.3369300317274993,-0.8671753110963827
CSO-14-9B-ERAGA,-1.186594112436316,-1.1604200924623744,-1.1635476056159035
CSO-14-9B-MFEGA,-0.6502976971817384,-0.6100856631769954,-0.2092188521694597
CSO-15-10A-LJRAGU,0.2270719801665946,0.19317279105369775,0.40421871052150343
CSO-15-10A-MAARLO,-0.37730909693998327,-0.4052410002934326,0.08196403008170948
CSO-15-10A-SFEGA,-1.5489972714186666,-1.5155137586299212,-1.585622250312129
CSO-15-10B-MEBUAR,0.4961889691581889,0.5327201650113794,0.06967362707220888
CSO-15-10B-YVBUAN,0.4252985387428249,0.4593692535867034,0.4285412662624464
CSO-15-10C-ALBAHO,0.2856107035962253,0.32281796881552777,0.33469741031027245
CSO-15-10C-SSCAMO,0.5374325573277227,0.5738313391046762,0.7218956606163534
CSO-15-11C-JETALO,-0.4514135359222088,-0.41184002692608257,-0.3477521033960929
CSO-15-7B-JCRAGA,0.195722364099582,0.23321821918138605,-0.07566416630294474
CSO-15-8A-VBMABR,-0.2682854484700908,-0.22929987902067242,0.42835708990156107
CSO-15-8B-KEPOGO,1.628651443423683,1.6615468263164095,1.713409030373412
CSO-15-9B-ALRIHE,0.658507521514699,0.6945175876088092,0.9444352684454175
CSO-15-9B-AMSAGO,1.2780862996782827,1.1540140406333415,0.8904692461666069
CSO-15-9B-JCAPA,0.31685236646491866,0.3539593291617573,0.5594714959954451
CSO-15-9B-KSBEJA,-1.2631177143275825,-1.2209381988288361,-0.895831003021646
CSO-15-9B-RMCHLU,-0.18884560371724818,-0.15011507884872596,0.5558839217799931
CSO-15-9B-SJAGRO,1.9779835722369097,2.0097574113166554,1.4859844253490153
CSO-16-10A-JEGAHE,-0.045670208035858424,-0.007399353108784448,0.3460420844243185
CSO-16-10A-MSACO,1.0208378425598286,1.0556846336605847,1.0954906630318075
CSO-16-10A-SARI,-0.4130855342726521,-0.5022397511636981,-3.234373295500803
CSO-16-10A-SMOUT,1.0948820620753283,1.1294911314510123,0.707893470115192
CSO-16-10A-YKMUJO,-0.8892562219789714,-0.8482770027286117,-0.22521397782801608
CSO-16-10B-JESUGU,1.1793173821472491,1.213655368782432,1.7398835808338444
CSO-16-10B-LTVIFA,3.2905798441664964,3.318139544017979,1.7441130120853137
CSO-16-10B-VVILI,0.8232434902346205,0.8587246653643613,0.7809304296378865
CSO-16-10C-ACALGU,0.43371154602012246,0.44140404817438544,-0.005841666294224353
CSO-16-10C-MAVAVE,1.3566588437023466,1.3904274689688292,0.6907230541460367
CSO-16-11A-JAVABO,0.8483446292043686,0.8837452161923718,0.8739706293968629
CSO-16-11A-JDMUVA,1.2676590363031532,1.3017133987667386,1.2240247770901298
CSO-16-11A-VZAOR,1.6609336476796348,1.6193589956514498,-1.6985454325779807
CSO-16-11B-KRORE,0.728681265199449,0.7644660358753258,0.9935022532863376
CSO-16-11B-LLOZA,1.5987779307227024,1.6296073836339167,1.5854757732404647
CSO-16-11B-YAROMO,1.3047176473787188,1.3386530317909275,0.411038268711616
CSO-16-9A-JALEMO,0.7457907645430824,0.7815206045339481,1.00620749358823
CSO-16-9A-JPROSO,1.2851256365510928,1.319123921843911,0.06162512010140385
CSO-16-9A-JSMAGU,-0.28402217307458527,-0.24498608028459495,0.18685041973539868
CSO-16-9B-SJPAJI,0.28485665821535994,0.3220663443254476,0.8612135022224467
CSO-17-10A-YVGOCA,0.17387782695690585,0.21144381473896576,0.6968731955233782
CSO-17-10B-EHECO,0.6129969176024939,0.37558309091560943,0.36243852220325434
CSO-17-10B-YCQUVE,0.1704570485192577,-0.15687248508877308,-0.8250090900313974
