subject,nodes_T6W40,lcc_T6W40,lsc_T6W40,y_true,y_pred
CSO-12-6A-FJOVRE,-0.6627579888561056,1.0217208773698303,-0.14332639713329315,1,5.756799843007481
CSO-12-6B-GQULO,-0.541241278253,0.7991122241680261,-0.1867226257251079,4,5.612311671816967
CSO-12-6B-LJHEFE,1.4262507972767602,-2.297279651909026,0.24644362881462517,2,4.916578125809409
CSO-12-6B-VPAMA,-2.069661684461908,3.589382067688644,-1.7066508070794233,9,5.354232927774362
CSO-12-7A-DALRE,-2.3224831367805443,3.605278173386033,-0.5545047195119807,8,6.269453668720557
CSO-12-7A-ESALA,-1.0269004703164724,1.5634310214585183,0.05095868423056598,7,6.128652586999661
CSO-12-7A-IMERO,0.3594004697669676,-0.6182961743252571,-0.01788139775236144,9,5.264386249316399
CSO-12-7A-JHEZA,1.8301536661120201,-1.8970197732176877,-0.6431240567435047,9,4.8311731877778765
CSO-12-7A-LSARAR,-1.3809456783223835,2.1206188848649505,-0.1676622873311514,6,6.113174270838465
CSO-12-7A-SCAHO,-0.18847826955413235,0.24394225530217178,0.0046443088998383755,1,5.6012716462749275
CSO-12-7B-DVAGRO,1.4386484755327449,-2.316790820828836,-0.13700821998050147,8,4.5260127863504565
CSO-12-7B-SMUGU,0.42705163624598125,-0.7247639588200696,0.07473787526706313,4,5.318188904320024
CSO-12-7B-SSARA,1.6709233069901417,-2.6823393839396665,0.42322710500158556,2,4.952974379679111
