subject,z_diameter_T2W30,z_asp_T2W30
CDMS-XX-5C-MPCAQU,0.6508334164195879,0.8458051342811551
CDMS-XX-6B-SPUCA,0.2510475783678512,0.4977658036137637
CSO-10-4A-KCOMO,0.0918437442759255,0.1112813352605256
CSO-10-4A-LRAVI,-0.198346680554303,-0.2689551360232124
CSO-10-4A-LSCAVA,0.5794202032238652,0.6287916173633735
CSO-10-5A-ACAVA,0.892888126006958,0.8462765395611429
CSO-10-5A-ARACA,0.9996985170337146,1.3266416471690143
CSO-10-5A-DABRZA,1.3829239087302885,1.997565709360356
CSO-10-5A-GZAMA,0.9657962514680484,1.1375897645534696
CSO-10-5A-IPECA,-0.1989613036108639,-0.1390648982746013
CSO-10-5A-JANORO,0.6265363548646273,0.7478007859974085
CSO-10-5A-JBUVE,0.9478076433122375,1.2687197703662156
CSO-10-5A-JJSEMO,1.0765636287689693,1.7458305779646084
CSO-10-5A-JLCARI,1.3042476055251353,1.5277513087342265
CSO-10-5A-MAARAN,-0.3195206994216945,-0.3944748621509013
CSO-10-5A-RVMOIB,0.792671341668145,0.9594306958463992
CSO-10-5A-SVHEES,0.8525219515845531,1.068401092098436
CSO-11-5A-MDVOSPE,0.6686583598247928,1.0751062714464708
CSO-11-5A-MTAGA,-0.2964202712669506,-0.3346938182525998
CSO-11-6A-CAPAMU,0.5945196497598864,0.6965880873868675
CSO-11-6A-DSCACH,0.2275329027807297,0.2235064156205488
CSO-11-6A-EROMO,-0.0356555391248124,0.0741955430487692
CSO-11-6A-FSOVRE,1.1603077632371974,1.590403804221865
CSO-11-6B-ANREVA,-0.3002368440450668,-0.3651116803137597
CSO-11-6B-DISEMO,0.2123529924743771,0.8677309098661907
CSO-11-6B-LHFDLACH,1.8757865766410209,2.391246886473095
CSO-11-6B-RJGIHE,0.4672690170929345,0.5905560616158393
CSO-11-6B-SFLVA,0.8552401789542391,0.9010387099802084
CSO-11-6B-VCOMA,0.4742110073424005,0.728563751466325
CSO-12-6A-DGISE,0.2166977947039906,0.7866525707072195
CSO-12-6A-FJOVRE,1.8450739461989591,2.29413414976534
CSO-12-6B-GQULO,0.8773707440958489,0.9991316527017728
CSO-12-6B-LJHEFE,1.2301294746019014,1.6642936703108264
CSO-12-7A-DALRE,0.3695598204529004,0.7060940363408319
CSO-12-7A-ESALA,-0.0776561785643882,0.0716352185636981
CSO-12-7A-IMERO,0.7013496608985448,1.0927243567189766
CSO-12-7A-JHEZA,0.7510391980387926,1.3010556432898994
CSO-12-7A-LSARAR,0.4925862762947669,0.6357523652465931
CSO-12-7A-SCAHO,0.7025370018406483,0.8239665600170673
CSO-12-7B-DVAGRO,0.8237369473054229,1.0707576770796263
CSO-12-7B-SMUGU,0.3236842632731659,0.5035939450921716
CSO-12-7B-SSARA,0.6199683173127578,0.8315936204042121
CSO-12-7B-VHOMA,0.4508006922124798,0.5937931843959328
CSO-12-8A-YTOME,0.2478658841678016,0.7563652175069598
CSO-13-6A-ANASA,-0.0170965065384709,-0.1509636839043468
CSO-13-6B-JETAVE,0.6842549191370728,0.9524702993203644
CSO-13-6B-LFMIES,-0.6023792140229609,-0.5589671159209313
CSO-13-6B-LJMAHU,1.0111153032946387,0.6992324991091797
CSO-13-7A-CAPAMU,0.1862435971611959,0.1846764644407761
CSO-13-7A-CDDITR,-0.721379068342632,-0.6510628570453338
CSO-13-7A-JJATFL,0.2922672328700905,0.1963636439703673
CSO-13-7A-KRAMA,2.436961367288382,2.76739069247235
CSO-13-7A-RXCHLU,0.99199001061808,1.4013968181942813
CSO-13-7A-YAMEZA,0.4478333050138455,0.6164867717363963
CSO-13-8A-KIGAGU,1.3775149242507851,1.8138488193458773
