subject,edges_T2W30,re_T2W30,l1_T2W30,lcc_T2W30,z_l3_T2W30,y_true,y_pred
CDMS-8-4A-LGOPA,-0.18553796997863103,0.06652901646538607,0.025590859608547692,-0.05852601873129065,0.039292717076104454,8,8.100392082700985
CDMS-8-4C-JDBUTU,-0.5486165009166931,-0.08569854077674202,-0.14704584409983054,-0.10095762438806043,0.040887939818844594,6,7.371612907898383
CDMS-9-4A-ACDUTR,-0.12238444940964151,-0.09110954870878926,-0.15953780290927477,-0.1635974094951655,0.10549884429488757,7,7.781913112032879
CDMS-9-4A-CARGA,0.12104950845399982,0.0416648649996991,0.07641272664211878,-0.0028589059324501723,0.07125266968991556,8,8.52056434211415
CDMS-9-4A-CRAAG,0.06376175391632134,-0.2685569225579576,-0.06912802280578101,-0.15705834768875176,0.055818379748296024,4,7.83788031887299
CDMS-9-4A-EROHI,0.08858052389117439,-0.22594122283902215,-0.03679667511378675,0.031378811847195306,0.07229624461105065,5,8.142561160657477
CDMS-9-4A-ILOSE,-0.20637614544308336,-0.09481269814195128,0.022074195022564466,-0.11940112124146492,-0.0018428168874178922,7,7.812684891569515
CDMS-9-4A-TGAFR,-0.28763221352210633,0.0910060558199013,0.012873930924655344,-0.003817087570869792,-0.00934248905213042,6,8.01613167486032
CDMS-9-4C-SCAMO,-0.251556900099354,-0.13987301067345165,-0.18235638003321933,-0.1726995022457813,-0.05358566011130859,2,7.41297202509775
CDMS-9-5A-ABERO,0.13052369171352757,-0.013306288867957747,-0.150008414697802,-0.1316773672987166,0.03203779533833495,8,8.080612894448256
CDMS-9-5A-VVAAR,0.16461778871554736,0.29700222165754103,0.1594691301185979,0.07991943118953762,0.06526059133701557,11,8.979312641279108
CDMS-9-5C-JDMADE,0.0007670468442155035,0.04173706870802134,0.053457167278846515,0.07309123935838224,0.03754401966778333,12,8.419640020118118
CDMS-9-5C-LVIZAC,-0.12639262748636937,-0.0194114268120566,-0.07986223510903585,-0.08972647973350685,-0.13214012041412232,8,7.765510588705773
CDMS-9-5C-MLOGO,0.10309051305792782,-0.021736294064640053,-0.027793432758161582,-0.03322444635085236,-0.3197895140940427,5,7.913590304051097
CDMS-9-5C-SCAAG,-0.1502998991780709,0.03384275383547132,0.07689372084490234,-0.0920951082772183,-0.1588165525770985,9,7.922568392908854
CDMS-XX-10A-VGILO,-0.08731810931707085,-0.10006180405333553,0.08071014912486052,-0.0816963639409045,0.030280505238935034,8,8.054957855313354
CDMS-XX-5C-MPCAQU,0.12783759685009863,-0.056999037168880454,0.002450701979384064,0.03862410070323357,-0.023626771234676054,5,8.301330069390028
CDMS-XX-6B-SPUCA,0.09990871783475222,0.09293377463850246,0.015281978001128623,0.09671159140780497,0.13295045910867528,10,8.650829999251734
CSO-10-4A-KCOMO,-0.25497019491959166,-0.10787831252960135,-0.1270320848356748,-0.10056623694972457,-0.027025985570540836,7,7.595570663455735
CSO-10-4A-LRAVI,0.0846370367396561,0.02793516267452192,-0.14870922790890917,-0.07740622599974085,0.043599555767761054,3,8.143099779534163
CSO-10-4A-LSCAVA,0.13106190710161944,-0.13909216200571844,-0.12131038051550053,-0.06642791009091184,0.04829178012972056,8,8.06556671288008
CSO-10-5A-ACAVA,-0.26682442411663376,-0.03297047048808804,-0.009636459992485418,0.04174388266320035,0.01747205860116653,6,7.962828064928028
CSO-10-5A-ARACA,0.08401498463408096,-0.1404696791752044,-0.05387627578873203,-0.07624573393927267,-0.034507840898628774,7,7.991958933093109
CSO-10-5A-DABRZA,-0.07822506749710417,-0.11883167482457112,-0.05313731572383841,-0.1021628498688187,-0.0593245349068248,6,7.801362035439707
CSO-10-5A-GZAMA,0.04236777958865684,-0.15684105457686962,-0.04075976362255172,-0.06967376679262048,0.03561571485335227,6,8.023752387710834
CSO-10-5A-IPECA,0.15346195529381065,0.13592120379176031,0.1416615245007317,0.042723979799934905,-0.017396218083416563,7,8.66941592356369
CSO-10-5A-JANORO,0.009598294114555657,0.030247275292941498,0.02010910531913132,-0.044331555441584874,-0.07720312042876197,7,8.15146347711715
CSO-10-5A-JBUVE,0.15700731998103498,0.10561116140026586,0.08120055717858347,-0.011880585356740775,0.08788568165489721,9,8.632867613118911
CSO-10-5A-JJSEMO,-0.1429382110588417,0.053430576924935476,-0.0025575229772390124,-0.08026057922066343,0.05731304559791348,10,8.098030787526971
CSO-10-5A-JLCARI,0.00717584062873481,-0.02959205245361526,0.04994031873284866,0.0599779956909243,0.05200480847492637,9,8.352550389334686
CSO-10-5A-MAARAN,0.09672009107177633,-0.01566878977780486,-0.027500615043519704,0.0928955933602716,-0.24842281709759664,9,8.111066940773998
CSO-10-5A-RVMOIB,-0.19143389563375093,-0.12852322555146176,-0.13470644871640367,-0.15049831472123534,-0.03337164657638721,4,7.574509947061628
CSO-10-5A-SVHEES,-0.14528455699387827,-0.0795501641594938,0.07571306952334761,0.0803458266859178,0.05706414960716615,6,8.201331802923924
CSO-11-5A-MDVOSPE,0.09387416962142475,0.01104209201123423,-0.07963604024309477,0.037372074815947474,-0.2217821836050307,7,8.053913590861352
CSO-11-5A-MTAGA,-0.2930932160513538,0.23823604219365752,-0.03930847570148471,-0.019390762150608996,-0.05692238201439337,6,8.042564684536686
CSO-11-6A-CAPAMU,-0.0813607999364018,-0.049780753913425846,0.03642390610494874,0.12435584049053207,0.04252777513673456,9,8.28520944614326
CSO-11-6A-DSCACH,0.1390573771634531,-0.17806122683834322,-0.17176018313898503,-0.09478400929602522,-0.005400454584502717,7,7.902094981566466
CSO-11-6A-EROMO,-0.2151324081264564,-0.08466484786010055,-0.15022447042584536,-0.12327420239623495,0.09765609384311816,7,7.737403643295347
CSO-11-6A-FSOVRE,-0.22178800925569686,0.029547513397495728,0.055383995099794844,0.08366888337300302,-0.03536144533803976,7,8.12449441553743
CSO-11-6B-ANREVA,0.15357850064964854,0.08566029897974242,0.05621987444043129,0.054344868791438405,0.15674171986490307,11,8.719588740987039
CSO-11-6B-DISEMO,-0.6429611791309002,-0.1166422921960616,0.054457544155270404,0.04192531240730906,0.12617868536749546,8,7.676001548863982
CSO-11-6B-LHFDLACH,0.13984660400417445,0.0389300170332626,0.06721375162554927,-0.0036985274929215877,-0.012151337645001169,6,8.44318398578593
CSO-11-6B-RJGIHE,0.16763705950937882,0.11102208213922253,-0.05998413597034392,0.07088177228456777,0.05755894069998051,8,8.560159196923674
CSO-11-6B-SFLVA,0.11911506951836058,-0.024173535610889158,-0.007867004554998922,-0.0894293838546904,0.05925469328350162,8,8.269943317042152
CSO-11-6B-VCOMA,0.15790737793724077,-0.01954899663580846,0.09571905042505327,-0.07124150394846117,0.017473985906542994,9,8.393353391945436
CSO-12-6A-DGISE,-0.6772380105229983,-0.04061461027647145,-0.03719780527337298,0.009599677588338731,-0.02785317550618594,5,7.439739554270181
CSO-12-6A-FJOVRE,-0.1259119849915781,0.01775903885742284,-0.15823290005225324,-0.11625929590089315,0.044799656721678814,7,7.875197992895242
CSO-12-6B-GQULO,0.15207973324659238,0.02852528687745255,-0.03483104095838872,-0.04936379556989329,0.034890863538718356,7,8.344344525395352
CSO-12-6B-LJHEFE,-0.05530840959286445,-0.06542626993119234,-0.07322555807488297,-0.03793192443618103,-0.03397569351225507,6,7.94717562271349
CSO-12-7A-DALRE,0.10846243215897555,-0.0402214745286961,0.06758741002433401,-0.035320959110097534,-0.04253848157575244,11,8.271012405229632
CSO-12-7A-ESALA,0.14922128860525222,-0.1229694829289684,0.12101689948539265,0.05836839729697506,0.08432145238731185,7,8.503002033106835
CSO-12-7A-IMERO,0.14133510919175735,-0.04086697894088586,-0.04900748746869375,0.04275474367216956,0.03525259312383336,10,8.342511457839048
CSO-12-7A-JHEZA,0.09727861330858245,0.003990752439284139,0.057229215837309846,0.027232138423893285,-0.20302422128935788,10,8.195749976980581
CSO-12-7A-LSARAR,-0.23565209344554042,-0.08898961399839755,0.04066931472463476,0.08460448319828315,0.09596662534360789,8,8.109642194083456
CSO-12-7A-SCAHO,-0.09569127054425258,0.020641212844353007,-0.04016540233728881,0.028485427753810813,-0.003455225234281508,8,8.12285822074321
CSO-12-7B-DVAGRO,0.1592830328279249,0.010798870476612597,0.08936333668222401,0.05325703505282547,0.057639105663970056,12,8.583384858964429
CSO-12-7B-SMUGU,-0.024958139255868088,0.05024274195807581,-0.022762457338925863,0.054180353675804545,0.09770350845358844,7,8.367449485753543
