subject,edges_T2W40,re_T2W40,l1_T2W40,l3_T2W40,lsc_T2W40,y_true,y_pred
CSO-10-5A-SVHEES,-0.21226483712556973,0.007109106377000512,0.0854632234371534,-0.026110213319581705,-0.005531027133184007,6,8.073891477461046
CSO-11-5A-MDVOSPE,0.10604130765468085,0.06519812722125594,-0.05406511722103903,-0.10552292641981334,0.04955745361113968,7,8.286434070071447
CSO-11-5A-MTAGA,-0.419237314829167,0.1798709918385157,-0.04995944591539526,-0.06603481583261502,-0.18523569224556014,6,7.684628948241
CSO-11-6A-CAPAMU,-0.10961559712630166,-0.08385973248016972,0.002640753221006247,0.028802423340689044,0.02281377190625474,9,8.086006844086695
CSO-11-6A-DSCACH,0.13721703918955044,-0.03808390852144321,-0.12062237692658923,-0.02155771010826915,0.011146869918771335,7,8.193325138777238
CSO-11-6A-EROMO,-0.2922761230753886,-0.05133241367392785,-0.08164642620991867,-0.04073414687022146,0.04386727414400447,7,7.803103389539761
CSO-11-6A-FSOVRE,-0.20994619003045073,-0.04384041053147224,0.019616000910122285,-0.0439370271470748,-0.03639426611475907,7,7.910723332311582
CSO-11-6B-ANREVA,0.15913754662931617,0.14478963024342495,0.04529521766628328,0.07614696356448758,0.02587610687082331,11,8.676470690199551
CSO-11-6B-DISEMO,-0.44341315386712615,0.05424583106510686,-0.018504778254069116,0.11189349474917556,-0.050878279229978264,8,7.878568339688334
CSO-11-6B-LHFDLACH,0.13816020144934005,-0.016307478775766243,0.03945810346470921,-0.01636133873004454,-0.17190167913501683,6,8.198273033498438
CSO-11-6B-RJGIHE,0.17366607451265417,0.07827247648047016,-0.02547409649443255,0.041894954734350794,0.05829163141030798,8,8.551876265868577
CSO-11-6B-SFLVA,0.12212978302070962,-0.037970636515216954,-0.06291416983477428,-0.01903501449825611,-0.06467873717824497,8,8.162756450219437
CSO-11-6B-VCOMA,0.16526672327487285,-0.012540315968964063,0.07898256663489896,0.02821041494644703,0.09049809089591837,9,8.575642705008391
CSO-12-6A-DGISE,-0.525278892336722,-0.019404933782463593,-0.04946907613187987,-0.04675952464179527,-0.14388751395514288,5,7.440425284377221
CSO-12-6A-FJOVRE,-0.1836986803802245,0.024944323673938864,-0.05096065699306696,-0.012825775536903054,-0.09128550546447689,7,7.911398930524491
CSO-12-6B-GQULO,0.12243865756810905,0.03453320026909653,-0.06076463039945908,-0.05319666167977986,-0.18061579987462587,7,8.08761999110856
CSO-12-6B-LJHEFE,-0.013048759680485073,-0.09354374265903811,-0.102432141483287,-0.04934396307680315,-0.21781803623958712,6,7.749038582086017
CSO-12-7A-DALRE,0.0937603432456576,-0.09519736754850427,0.042966599206772704,0.06035447739427556,0.04631469345850415,11,8.373423970981925
CSO-12-7A-ESALA,0.14992276794201834,-0.13765022980525118,0.03428404224793224,0.03181719596732631,0.2428357999146332,7,8.54643480149188
CSO-12-7A-IMERO,0.14455156979612765,-0.03468365930296098,0.008969910152701526,0.09431878401923705,0.09121259158864779,10,8.52959442147897
CSO-12-7A-JHEZA,0.09110282574744541,-0.0037356743539035185,0.01724425085109764,-0.2739278512285146,0.016088400017194783,10,8.071997176258543
CSO-12-7A-LSARAR,-0.2255189063535663,0.0039028081613357917,0.07881174735899295,0.08442929386769862,-0.0029788282957810526,8,8.16387133996389
CSO-12-7A-SCAHO,0.0009719756228674223,0.03740335018421698,-0.00691575973852993,0.010297844596737212,0.0791197396779085,8,8.34610237556842
CSO-12-7B-DVAGRO,0.15038670398247844,-0.018286037478562216,0.11028904455181435,0.15668996213594438,0.09321728173749948,12,8.7175221801544
CSO-12-7B-SMUGU,-0.0421956722702201,0.061267123176612225,-0.062471710206343234,-0.019896864430729213,0.05942566076095625,7,8.221353762255495
CSO-12-7B-SSARA,0.14333050431409924,-0.04601308319132788,-0.06664299699798427,0.022221242324249078,0.09657875545017401,8,8.374699647124427
CSO-12-7B-VHOMA,0.15823362023207715,-0.011441904422958416,-0.0912916669592826,0.0029031871488226697,-0.00022612055675268975,9,8.283402340667127
CSO-12-8A-YTOME,0.14786411340521025,0.04365314201298827,0.022671237411369696,0.1424717855907424,0.07221808831720396,10,8.654103591962729
CSO-13-6A-ANASA,-0.24751302655544122,0.04357362559267318,-0.10398813128447779,0.0007220663218373236,-0.0431668950897371,10,7.874852864210073
CSO-13-6B-JETAVE,-0.23887494879631477,-0.1020042581838283,-0.06351188360664103,-0.05868744931105136,-0.11921960673970837,5,7.642927078587674
CSO-13-6B-LFMIES,-0.08511466021043929,0.32701854177091144,0.0652558925021687,0.11545811598861,0.03287360791258794,14,8.680716723189061
CSO-13-6B-LJMAHU,-0.1269210283442581,-0.025752670972137355,0.05003460617567705,0.10414910080685516,0.03224752939322124,10,8.258982762284576
CSO-13-7A-CAPAMU,-0.3799001500984392,-0.0561314867633254,-0.07102015755592364,-0.057244883981467445,-0.059233046057955194,3,7.6016955007681055
CSO-13-7A-CDDITR,0.14336509730237657,0.018200549836437364,-0.03706297271577521,0.006395613285955565,0.024534145984706563,13,8.380657658918924
CSO-13-7A-JJATFL,-0.3126039091681593,0.035395515831536294,0.03906563134192131,-0.05255585333142223,0.05399502701872906,6,7.9885216369178265
CSO-13-7A-RXCHLU,0.07971575491806833,-0.22762912061652016,0.038801732150778874,-0.016249814812942975,-0.13363999119890332,8,7.9662237856657026
CSO-13-7A-YAMEZA,0.1303750166368155,-0.08994781927367786,-0.08939199679136493,0.029525778753200168,0.041020669777614566,7,8.246806874327806
CSO-13-8A-KIGAGU,0.1483275307256586,0.009382681604977355,0.09381653268880086,0.04416574279447511,0.039653149404397764,7,8.560570862443532
CSO-13-8A-MBUAN,-0.43416507236373675,0.2335198346833328,0.06857096499168609,-0.04573965489134916,-0.09218479923446102,7,7.955226498410696
CSO-13-8A-MGAAN,-0.30026143551113765,-0.09086864013175269,0.048302971150415826,-0.03662118393148893,-0.02688042512432854,10,7.818896511676924
CSO-13-8A-MGAHE,0.12998435116288395,0.03607150335718243,-0.0487050928848563,0.015314964945867001,0.08897249002698347,9,8.44686344183328
CSO-13-8A-MJAGA,0.11369919345318988,-0.07727918049513915,0.04633550457280258,0.0020922262824979807,0.029885407516275147,6,8.33995837655485
CSO-13-8A-VHODU,-0.2179287578047363,-0.1170219054205094,-0.061432128375646475,-0.017641690827631923,0.04687591910334399,8,7.858076661900038
CSO-13-8B-FCJISA,-0.18774084582511535,-0.10429180058338952,-0.08442392801412905,-0.08888765189086323,-0.12152808562288298,3,7.638352913288835
CSO-13-8B-JEMABE,-0.21560635928479413,-0.05369933596860289,-0.06120321868215694,-0.18250841495818354,-0.03241588858858917,5,7.679792007742895
CSO-13-9B-DMLLLU,-0.506289676895519,0.0506356944893762,-0.0630016389714533,-0.019585343816685984,-0.12449876485699439,7,7.562485495173948
CSO-14-7B-EVEGO,0.15284296523865087,-0.10764617595224811,-0.08547791595518381,-0.017023071140969064,0.0620174795578662,8,8.229938506973333
