subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50,y_true,y_pred
CDMS-8-4A-DJAVDA,0.00023570228412161885,0.0,-0.0008400540774772549,0.0,0.0,0.0004609398835242838,0.0,0.0,0.0,0.00023879517186319735,0.0,2,5.002284011829962
CDMS-8-4A-DOSTR,0.0004981443907120348,0.0,0.0,0.0,0.0,0.000838687448899415,0.00047084161712534936,0.0,0.0,0.00022144791373448808,0.0,9,5.004217749938402
CDMS-8-4A-LGOPA,0.0004706472384019747,0.0,0.0,0.0,0.0,0.0007256804561059718,0.0002137487487499822,0.0,0.0,0.0001301663691472394,0.0,6,5.003728871380336
CDMS-8-4C-JDBUTU,0.00016106908530588317,0.0,-0.0008256596972958598,0.0,0.0,0.00044496849727453347,0.0002715431769692981,0.0,0.0,0.00019123055119349053,0.0,3,5.002431780181378
CDMS-9-4A-ACDUTR,0.0012088043650988463,0.0,0.0,0.0,0.0,0.0014022686735902124,0.001193415461327011,0.0,0.0,0.0003437517615366239,0.0,3,5.006336868829483
CDMS-9-4A-CARGA,0.0011739083659636914,0.0,0.0,0.0,8.051856865306172e-05,0.0013076277135572975,0.001058590382379836,0.0,0.0,0.0003751539847870907,5.729552936339401e-05,3,5.006241723112635
CDMS-9-4A-CRAAG,0.00035167019544617454,0.0,0.0,0.0,0.0,0.0006654500508591878,9.465491569488668e-05,0.0,0.0,0.0002023317993300259,0.0,14,5.003502735529261
CDMS-9-4A-EROHI,0.0006507115855315935,0.0,-0.0005051237542253058,0.0,0.0,0.0006375492068664992,0.00026118607956182664,0.0,0.0,0.0,0.0,2,5.003232951685665
CDMS-9-4A-ILOSE,0.0006527293865433779,0.0,0.0002298922790512656,0.0,0.0,0.0009826225857425459,0.00086552199469391,0.0,0.0,0.00037148547945621205,5.737620089393651e-05,1,5.005348256494312
CDMS-9-4A-TGAFR,0.0005896191065943286,0.0,0.00013981067923620749,0.0,0.0,0.0009087520257029118,0.0006422532544386087,0.0,0.0,0.00030085004820447526,4.756543551066904e-05,2,5.004817479117618
CDMS-9-4C-SCAMO,-0.001554048950998875,0.0,0.0,0.0,-4.972670438729409e-05,-0.0018315204108422549,-0.0015972421471063783,0.0,0.0,-0.0003929145855324839,-5.691122575536823e-05,1,4.996706264543308
CDMS-9-5A-ABERO,0.001111760335221877,0.0,0.0,0.0,0.0,0.0012797672163063724,0.0014251556711204708,0.0,0.0,0.0,0.0,6,5.006005311790579
CDMS-9-5A-PAGACO,0.0012346083452661424,0.0,0.0,0.0,9.724091916501858e-05,0.0013928615471200322,0.001037993626458572,0.0,0.0,0.0003024020606807536,0.0,6,5.006253735066621
CDMS-9-5A-VVAAR,0.00036013188215707224,0.0,0.0,0.0,0.0,0.0006857729308277322,0.0005321987849652418,0.0,0.0,0.0002566998453979192,0.0,2,5.004023432011278
CDMS-9-5C-JDMADE,0.000861822608511134,0.0,-0.001271326881638634,0.0,0.0,0.0009759244649426988,0.0011157187691802643,0.0,0.0,-0.0003748655086318741,0.0,6,5.003495902020294
CDMS-9-5C-LVIZAC,0.0,0.0,0.0,0.0,0.0,-0.00026290836977825956,0.0,0.0,0.0,-0.00034710690605744735,0.0,2,5.001578613292095
CDMS-9-5C-MLOGO,0.0009063320146462626,0.0,0.0,0.0,-0.0008120878284004456,0.00116455410050012,0.0008690047531746169,0.0,0.0,0.00018818808237241677,0.0,5,5.004504619690223
CDMS-9-5C-SCAAG,0.0005832327030384305,6.204654833258479e-05,0.0,4.2577648265056025e-05,5.7200399408256104e-05,0.0011236646705962041,0.0009105405913051495,0.0,0.0,5.038695551734808e-05,0.0,10,5.0050182780843935
CDMS-XX-10A-VGILO,0.0,0.0,-0.000732128240382226,0.0,0.0,0.0002928702104612677,0.00047668130618817053,0.0,0.0,0.0,0.0,7,5.002226051844198
CDMS-XX-5C-MJSARU,-0.000869876379438618,0.0,0.0,0.0,0.0,-0.001131976597225814,-0.0012024152882292721,0.0,0.0,-0.00012979833116269143,0.0,2,4.998854561971874
CDMS-XX-5C-MPCAQU,0.0012749858666473168,0.0,0.00030261338159635957,5.005004543804075e-05,0.0,0.0014953717917859058,0.0012742413471542586,0.0,0.0,0.000407976862208328,5.585029273826914e-05,9,5.007049718155499
CDMS-XX-6A-MAGICA,-0.001193766164625352,0.0,0.0,0.0,0.0,-0.0014733606140871639,-0.0014954276893453244,0.0,0.0,-0.00028377331422586947,0.0,2,4.997742300785647
CDMS-XX-6B-SPUCA,-0.0005478480946458161,0.0,0.0,0.0,0.0,-0.0007744649905291832,-0.0012320481678814261,0.0,0.0,-0.0001351971671142869,0.0,0,4.99949907014776
CSO-10-4A-ICAPA,0.0012136990824374238,0.0,0.00021072169376965393,0.0,4.464398471847736e-05,0.0014847247418692936,0.0011864149295823631,0.0,0.0,0.0003595807182999171,6.296601314285977e-05,6,5.00675137973175
CSO-10-4A-KCOMO,0.0007289259096631128,0.0,0.0,0.0,7.038902052169775e-05,0.0010547514342613292,0.0005015618015235962,0.0,0.0,0.000287751177794616,0.0,4,5.004832007911695
CSO-10-4A-LRAVI,0.00031892287073005226,0.0,0.000140778759653223,0.0,0.0,0.0005651842058203642,0.0003171930558795738,0.0,0.0,0.0002682860777067898,4.954978500376454e-05,12,5.003848543322724
CSO-10-4A-LSCAVA,-0.0010492648082766386,0.0,0.0,0.0,0.0,-0.0013147769036269959,0.0,0.0,0.0,-0.00022023831807926495,0.0,11,4.9996043485379476
CSO-10-5A-ACAVA,-0.0012671600884409555,0.0,-0.000407714087081618,-5.0617881482921574e-05,-5.6286418618525216e-05,-0.0015547996198245386,-0.0012197526970220453,0.0,0.0,-0.00040842399675156067,-6.972565248135096e-05,4,4.997154148126227
CSO-10-5A-ARACA,0.0005068700857605581,-0.00043013508871889286,-0.00034692086260921026,0.0,0.0,0.0007535719411063792,-0.00039921068332322124,0.0,0.0,0.0,0.0,0,5.002272803960146
CSO-10-5A-DABRZA,0.0006886856837335914,0.0,0.0,0.0,0.0,0.0010334869167788392,0.0003908498222086141,0.0,0.0,0.0,0.0,3,5.0043016509906515
CSO-10-5A-GZAMA,0.0,0.0,0.00040542669075490994,0.0,0.0,0.0,-0.0003757096036944553,0.0,0.0,0.0,0.0,6,5.002218345654991
CSO-10-5A-IPECA,0.00018765456533512847,0.0,0.00028403020567031997,0.0,7.225835432235988e-05,4.5578910288461474e-05,0.00020419251289879485,0.0,0.0,0.00019173739774314445,0.0,11,5.003174080514189
CSO-10-5A-JANORO,0.0,0.0,0.00020780256662940972,0.0,0.0,0.0,0.00023098421345613582,0.0,0.0,7.22268568037781e-05,0.0,5,5.00269964220482
CSO-10-5A-JBUVE,-0.0015214946873562405,0.0,-0.0001522413457405984,-5.127642759055345e-05,-4.663852763466935e-05,-0.001822650794672672,-0.001365409680306504,0.0,0.0,-0.000432230731964556,-7.733482910004317e-05,2,4.996719351543565
CSO-10-5A-JJSEMO,0.0007913675466797522,0.0,0.00018038726354179047,5.041322554873162e-05,9.892513995524694e-05,0.0011145844705668876,0.0008908373110915434,0.0,0.0,0.00034477316847237937,5.963656784442291e-05,13,5.005719553261631
CSO-10-5A-JLCARI,0.0,0.0,0.0,0.0,0.0,-0.0003223010467666715,0.0010487861381399388,0.0,0.0,-0.00023968802595117182,0.0,9,5.0026754256333525
CSO-10-5A-MAARAN,0.0009417822736862547,0.0,0.00014809054849344123,0.0,0.0,0.0012336043550054208,0.0009995750469184385,0.0,0.0,0.00038406276190417604,0.0,4,5.005895743553938
CSO-10-5A-MAOSMO,-0.0021800209482767292,0.0,0.0,0.0,0.0,-0.0024194704095478435,-0.0024451854340719723,0.0,0.0,-0.000528336526377465,-8.391735995102838e-05,2,4.994531697889705
CSO-10-5A-RVMOIB,-0.0014941253846517224,0.0,0.0,0.0,0.0,-0.0017795438663913716,-0.0021073582510310164,0.0,0.0,-0.00022763798515082912,0.0,4,4.9965799630807055
CSO-10-5A-SVHEES,0.0012996277758083679,0.0,-0.0005384299603030699,0.0,0.00012000981899160535,0.0015225424215196642,0.0012727040998339598,0.0,0.0,0.000386869617811947,0.0,7,5.006251952341593
CSO-11-5A-MDVOSPE,0.0005473749466139492,0.0,0.0002314420953008242,4.264784055033749e-05,6.446081693221077e-05,0.0004874926384483104,0.00014472760135570418,0.0,0.0,0.00017815333200995166,0.0,3,5.003884927839142
CSO-11-5A-MTAGA,-0.002090464008492185,0.0,-0.0001067270104967116,-5.865486305089637e-05,-8.463369281362467e-05,-0.002293469812153896,-0.0020694904156438616,0.0,0.0,-0.00026845939727598324,-7.427114045452683e-05,5,4.995142458227549
CSO-11-6A-CAPAMU,-0.0013292108646541089,0.0,0.0,0.0,0.0,-0.001071711392665611,0.0016062384541323511,0.0,0.0,-0.0004028843992482927,0.0,1,5.000991060365495
CSO-11-6A-DSCACH,-0.002016839498456451,0.0,0.0,0.0,0.0,-0.0022874121328581958,-0.0023816691270095586,0.0,0.0,-0.0001367296091286819,0.0,0,4.995365978200478
CSO-11-6A-EROMO,0.0009393102384196695,0.0,0.0002888852092867682,-0.0006970143975634289,0.0,0.0010132332884929124,0.0011914542588149027,0.0,0.0,0.0002507383714926603,0.0,7,5.005175235536874
CSO-11-6A-FSOVRE,0.000881038964682969,0.0,8.469403595321392e-05,0.0,4.265076397286585e-05,0.0011042554309103416,0.0009025018402952039,0.0,0.0,0.00036354528199859565,6.034417975769263e-05,5,5.005627659065501
CSO-11-6B-ANREVA,0.000716390216144065,0.0,0.00021695583188032668,4.438846791219881e-05,7.249002679689835e-05,0.0007028416697412493,0.0004301683393044851,0.0,0.0,0.00031892624997954117,4.824370228421588e-05,5,5.004739033071973
