subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50
CDMS-9-4A-ILOSE,30.35897435897436,49.0,0.0,0.5531135531135531,2.2967032967032965,30.35897435897436,28.952380952380956,3.269816111567064,0.0995431024703861,6.981684981684982,3.2401207804425534
CDMS-9-4A-TGAFR,30.29184549356223,49.0,0.2746781115879828,1.4849785407725322,2.236051502145923,30.29184549356223,28.527896995708154,3.2572872486761124,0.0944178003086927,6.660944206008583,3.14292462979714
CDMS-9-4C-SCAMO,37.62162162162162,48.47027027027027,0.2648648648648649,0.2594594594594595,0.7837837837837838,37.28108108108108,33.25945945945946,2.5831168859487543,0.0676277185975323,9.956756756756755,4.367874948119116
CDMS-9-5A-ABERO,32.10158013544018,48.88939051918736,1.0564334085778782,1.1760722347629795,0.7697516930022573,32.0744920993228,29.336343115124155,3.0942792530606464,0.0869070702188868,8.227990970654627,3.6489813531956
CDMS-9-5A-PAGACO,32.12643678160919,49.0,0.7279693486590039,1.210727969348659,1.471264367816092,32.12643678160919,30.379310344827587,3.0739077676915016,0.088843387539008,7.628352490421456,3.527836394711673
CDMS-9-5A-VVAAR,29.883561643835616,49.0,0.6712328767123288,1.9726027397260275,1.952054794520548,29.883561643835616,28.315068493150687,3.333200414625,0.0991058773074722,6.883561643835616,3.1694361206414903
CDMS-9-5C-JDMADE,32.089285714285715,49.0,2.6607142857142856,1.5952380952380951,1.0892857142857142,32.089285714285715,28.791666666666668,3.08058416775771,0.0835628985697871,9.238095238095235,4.04973122400996
CDMS-9-5C-LVIZAC,33.91111111111111,49.0,0.6222222222222222,0.8634920634920635,2.2222222222222223,33.91111111111111,31.13015873015873,2.9053583383884853,0.0795071410082823,9.133333333333333,3.87497938090089
CDMS-9-5C-MLOGO,31.12987012987013,49.0,1.0649350649350648,0.6136363636363636,3.633116883116883,31.12987012987013,29.113636363636363,3.175518752100281,0.093455873114512,7.772727272727272,3.429135984490734
CDMS-9-5C-SCAAG,33.144067796610166,48.58474576271186,0.576271186440678,0.885593220338983,1.9703389830508475,32.50847457627118,30.555084745762716,2.96078677440251,0.0839418930307075,8.182203389830509,3.613604813581434
CDMS-XX-10A-VGILO,33.62111801242236,48.69565217391305,1.670807453416149,0.2919254658385093,0.953416149068323,33.37267080745342,30.8944099378882,2.918247267964222,0.0812316929311104,7.972049689440993,3.668169637835181
CDMS-XX-5C-MJSARU,34.553903345724905,49.0,0.3643122676579926,1.5762081784386617,1.2936802973977697,34.553903345724905,31.97769516728625,2.8590754365451083,0.0785678638282775,8.394052044609666,3.757596454853419
CDMS-XX-5C-MPCAQU,31.653153153153152,49.0,0.0,0.7297297297297297,2.310810810810811,31.653153153153152,29.666666666666668,3.141398518649964,0.093289902319443,7.400900900900901,3.374480679264062
