subject,lsc_T6W50,diameter_T6W50,asp_T6W50,z_re_T6W50,z_pe_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_lsc_T6W50,z_density_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-13-6B-JDTAHE,30.96283783783784,8.695945945945946,3.8168829417678234,4.151929976581886,0.0082993877215715,-0.3517407522644815,-0.4120342726104403,0.9416998649066576,-0.1497370467658134,-1.4713893497945632,0.7332344252908277,1.1671659901914506
CDMS-13-7C-MVEAR,29.404021937842774,7.276051188299817,3.341384044238538,3.2019628192124814,-0.8464124727214942,0.7028568108987558,-1.075932284028409,-0.1065284611512863,-0.028902999901439,-1.228660006496577,0.3440462681167658,0.6300941086174834
CDMS-13-7C-RAIZAC,31.85507246376812,8.53623188405797,3.8755871995124234,4.213327603139054,1.9785774372389011,-0.6255138226482869,0.4805767355063518,-0.854789429860917,0.102471638791167,-1.91615807793948,-0.0066111264076938,0.5116513042327356
CDMS-13-7C-SSOSLO,29.940119760479043,7.812874251497006,3.497496361360985,3.8260577453674047,-0.8176150989309771,-0.2574775535750709,-0.8273070204135321,1.4968611018920135,-0.3516940828951184,-1.3402391479141564,0.7462383951066315,1.1932408142310829
CDMS-14-10A-IMORTO,30.3960880195599,9.017114914425427,3.967983631466037,5.266768703293226,0.5212001424806166,-0.9833883317565876,-0.1010654190980468,-0.0580991276611887,-0.0460985365171234,-1.8522856389218487,0.6567395272522022,1.358225988713225
CDMS-14-10A-JCVANI,32.856,9.45,4.087543518502589,2.812233144364901,0.1853303277563256,-0.6401546407665639,-0.0334314187276845,-0.6041758812450361,-0.3043200860688769,-0.8482947990305183,0.5204435692393159,0.7958530468363477
CDMS-14-5A-LSDUCO,29.14214463840399,7.396508728179551,3.4285062393389154,4.562172938980438,0.7763691012656508,-0.926248234278865,-0.1153258801259255,1.1125593519135724,-0.3865921872899497,-1.8569940550438453,0.8481987283660524,1.744685047677756
CDMS-14-6B-KDCAHE,29.912778904665316,8.862068965517242,3.922127447406736,4.234758057106568,0.785746574091945,-0.0891726780817347,0.047661985587484,0.6359327021675691,-0.6380416665381802,-2.09949171835829,0.9040252833496104,1.8185813096777597
CDMS-15-10A-AMALOS,31.76428571428572,8.024285714285714,3.6868524805551086,3.4093928534135083,0.6385080531038718,0.2379702744060557,0.1059410272774373,-0.3344020238494497,-0.1601097102408094,-1.8950422670026013,0.3829543743561207,0.9393525877354728
CDMS-15-10A-JJMACH,33.797356828193834,8.933039647577093,3.9577207209321617,3.2674427376681576,-0.3684643465173214,-0.5024871753992969,-0.6011728518614122,0.2378057901703895,0.0165230894267405,-0.6996596044093312,0.1246878823990901,0.3814895678221189
CDMS-15-10A-MAALCA,32.50340136054422,8.764172335600907,3.9540618984946607,3.301179738063999,0.1074566431348956,-0.4682613625470007,-0.1830597174660272,0.0541937481575,-0.0243699896336701,-0.9944674025048488,0.1568299828922364,0.5796527353872906
CDMS-15-10A-MAALRI,32.91682785299807,10.121856866537716,4.347158165321504,3.940769501880443,0.6482713724262457,-0.6236834359053812,0.2382881686245885,0.4001639732006397,-0.2764320288672632,-1.5379849118504698,0.71835320361226,1.1314222126764857
CDMS-15-10A-SGOMO,33.54068241469816,8.73490813648294,3.96006552742719,4.341522903494026,-0.769982779791838,-0.7296919458670065,-0.7714832168883945,0.5344031911060521,0.077447563725774,-0.8675583764372651,-0.0122666849933897,0.3532641353800642
CDMS-15-10A-SHEGA,32.15151515151515,8.603729603729604,3.781758011016633,2.025677573450837,-0.3772989056118244,-0.9417195064913408,-0.3598884721853279,1.630291177844273,0.0548373337853639,-0.043652655347061,0.1253926196370458,0.2745318290161537
CDMS-15-11B-JEMOLO,32.148395721925134,9.044786096256685,4.031783465094602,4.976172578111924,0.077354896434734,-0.3551593296302779,-0.2390088241380584,0.1903946692091421,-0.3629864001537405,-1.7960843867354876,0.6879967008382443,1.3753014106076629
CDMS-15-11B-VSAHO,31.585284280936456,8.267558528428093,3.751407386406466,5.287379267912412,-0.1805656275126094,-0.5478258009189574,-0.6935335778117936,-0.2972633837073005,-0.1683975801842429,-1.6040007882214404,0.4230835261882641,1.1241685422579792
CDMS-16-10A-SGALO,32.56541019955654,9.394678492239468,4.1128225675884815,4.133032138299415,0.0529333419245508,-0.7385567161985896,-0.172158777438127,1.0056633020381809,-0.2113256726034105,-1.2490429448392624,0.8045879777501812,1.399950053493738
CDMS-16-11B-NGABE,33.14007782101167,9.237354085603112,4.0402226611467,3.542023112890725,0.0127503745903323,-0.7522655585389404,-0.2194658538709808,-0.206579943200858,-0.0123538617092246,-0.8792582075917948,0.2498606301154437,0.4704291632308892
CDMS-17-10A-ASSAMO,34.673202614379086,9.107843137254902,4.060014868018684,3.563360462729656,-0.6652402437927362,-0.913490615266102,-0.6675024020772731,0.2304728699058719,0.1553630975032181,-0.2811358720624196,-0.1030496073134571,0.0353186199233349
CDMS-18-7C-VVECA,30.56382978723404,7.638297872340425,3.4703345011979865,4.502535169698288,-0.2551021389047418,-0.9879650293752034,-0.4078684092416984,0.7811402484288568,-0.235871876053216,-1.3461922981872525,0.4489541119108525,0.7652363942624084
CDMS-8-4A-DBEVA,27.816326530612244,6.45578231292517,3.066126256143842,3.133575410409303,-0.1631007697249341,-0.507375171677376,-0.8153570207773538,1.3940239709568074,-0.2344675394081066,-0.8728490399141541,0.2284287619297621,0.5381804730657296
CDMS-8-4A-DJAVDA,26.42635658914729,6.837209302325581,3.1101403984755884,3.102254358291437,0.2242818624473145,0.7970790834868849,-0.4094599810928692,0.4426173083113767,-0.4587066985859535,-2.2182086701707124,0.8419246856696416,1.227926334463921
CDMS-8-4A-DOSTR,28.36390977443609,7.951879699248121,3.5397641934017403,4.534543676870426,-0.0075449295968708,-0.2042994340402265,-0.4550090605505055,1.4117668413056903,-0.3712800282767477,-1.82792515156371,0.7708068665175681,1.29514947552724
CDMS-8-4A-LGOPA,28.72938144329897,7.907216494845361,3.5237294800308256,4.148691215077965,0.6208063117571146,-0.6871721416880933,-0.2419252523411842,1.729303053601358,-0.4654762433899813,-1.859390011260044,1.308868062976241,2.0901917245169006
CDMS-8-4C-JDBUTU,28.395953757225435,6.921965317919075,3.2589773776738413,4.330214334627164,1.3415385700219251,0.6235271768993541,0.0664290589717731,-0.3926789516742375,-0.3761821310081252,-2.5445559660581845,0.6360008344167034,1.402992438802456
CDMS-9-4A-ACDUTR,30.151515151515152,7.555555555555555,3.3898618652129007,3.0535572297745235,-0.9106992129690722,-0.3087828113671361,-1.002607609105577,0.4604803831886092,-0.0873050421427498,-0.8580571717809331,0.3112554629204541,0.4777345201380515
CDMS-9-4A-CARGA,30.90521327014218,7.87914691943128,3.52211364476069,3.927282305271482,-0.8127458929973276,-0.5097951424368501,-0.9982822590664208,0.3689687812926764,-0.0910480283969756,-0.7932824967563206,0.300144235639701,0.5354013391480379
CDMS-9-4A-CRAAG,28.37883959044369,7.389078498293515,3.3507752651153164,4.181319963050052,0.6053753198537374,-0.4211542506627975,-0.669533034815786,2.3484970815732016,-0.2016921234536404,-1.549663548335301,0.6145917388370392,1.1301975109610716
CDMS-9-4A-EROHI,31.173441734417345,8.425474254742548,3.732980295575624,4.756421450598239,-0.6168879746897656,0.1530887749798016,-0.8661985225132662,-0.1075790317824883,-0.1669827779943898,-1.751725194427424,0.9134126175271934,1.5235128491119156
